n_events,iki_mean,iki_std,iki_p25,iki_p75,delete_rate,typing_speed_cps,user,file
124,385.55172413793105,1578.434860674833,98.75,227.0,0.03225806451612903,0.3300745025305712,userA,keystroke_s1_r1.csv
86,211.44871794871796,214.40816858218486,115.25,215.0,0.023255813953488372,0.40803515379786565,userA,keystroke_s1_r2.csv
202,264.26153846153846,232.10286912066252,149.5,267.0,0.12376237623762376,0.25029722795820036,userB,keystroke_s1_r1.csv
213,295.121359223301,820.58492033764,127.0,291.25,0.215962441314554,0.36972640246217797,userC,keystroke_s1_r1.csv
117,216.61818181818182,304.1686129829423,100.5,226.25,0.21367521367521367,0.35776753060899985,userC,keystroke_s1_r2.csv
387,205.64736842105262,211.0839864489489,101.5,245.25,0.21963824289405684,0.8109434687039843,userD,keystroke_s1_r1.csv
215,335.8269230769231,1016.9791895449264,106.25,270.25,0.22790697674418606,0.2542034353778553,userD,keystroke_s1_r2.csv
36,212.3448275862069,97.49421764005356,175.0,240.0,0.05555555555555555,0.20137944922720638,userD,keystroke_s2_r1.csv
221,11760.528037383177,58271.988933677196,172.0,232.75,0.027149321266968326,0.10490633002267494,userD,keystroke_s2_r2.csv
34,203.55555555555554,133.25868280607415,118.0,263.5,0.029411764705882353,1.442234704721421,userE,keystroke_s1_att1_r1.csv
101,137.7659574468085,57.74751086685328,105.0,166.0,0.019801980198019802,0.6730667044528676,userE,keystroke_s1_att1_r2.csv
281,239.16788321167883,585.9250103900914,66.25,224.0,0.05338078291814947,0.3510996245184571,userF,keystroke_s1_r1.csv
186,201.23463687150837,245.66257625067666,83.5,216.0,0.005376344086021506,0.21441283046377496,userF,keystroke_s1_r2.csv
104,400.3298969072165,410.05746948620833,162.0,482.0,0.18269230769230768,0.929368029739777,userG,keystroke_s1_r1.csv
90,338.421686746988,181.80852634729916,187.5,453.5,0.23333333333333334,1.1466858530443385,userG,keystroke_s1_r2.csv
224,189.30414746543778,96.4525127605371,142.0,216.0,0.0625,0.7502699141764415,userH,keystroke_r2.csv
219,189.41037735849056,346.0311858639675,84.25,192.25,0.2191780821917808,0.4606250853009417,userI,keystroke_s1_r1.csv
450,254.58465011286683,494.54176883129173,130.5,220.0,0.09111111111111111,0.5049913639158056,userK,keystroke_s1_r1.csv
412,190.94074074074075,450.4306158535593,98.0,192.0,0.05825242718446602,0.7293390229034225,userK,keystroke_s1_r2.csv
68,95.19672131147541,31.708622022435428,76.0,114.0,0.0,0.7726980038634901,userL,keystroke_s1_r1.csv
74,148.44776119402985,64.00053254957757,101.5,190.5,0.0,0.6813315164492896,userL,keystroke_s2_r1.csv
61,159.22222222222223,62.7811208549391,112.25,185.75,0.0,0.5937067088858105,userL,keystroke_s2_r2.csv
34,197.77777777777777,67.9876532000798,169.0,204.0,0.0,0.3622750875498128,userL,keystroke_s2_r3.csv
192,256.1945945945946,318.54382357589225,140.0,233.0,0.026041666666666668,0.4071718405571234,userM,keystroke_s1_r1.csv
167,267.5,314.55748679692874,137.25,254.5,0.08982035928143713,0.10887695597451409,userM,keystroke_s1_r2.csv
155,352.39864864864865,677.7978824528986,122.75,358.75,0.33548387096774196,0.16929886086052193,userN,keystroke_s1_r1.csv
114,181.54205607476635,187.33219433675808,98.0,214.5,0.2894736842105263,0.2826455624646693,userN,keystroke_s1_r2.csv
71,182.171875,164.19458299220585,91.5,200.0,0.056338028169014086,0.6116868163500288,userP,keystroke_s1_r1.csv
182,504.42857142857144,2820.761099781549,101.0,186.0,0.0989010989010989,0.29288034506629745,userP,keystroke_s1_r2.csv
272,218.21509433962265,224.52456048888493,110.0,235.0,0.125,0.5479118470717156,userQ,keystroke_s1_att1_r1.csv
271,357.3068181818182,2006.9949458533235,126.0,234.0,0.07011070110701106,0.1840744199410962,userQ,keystroke_s1_att1_r2.csv
