user,file,modality,activity,session,attempt,rep,kind,n_rows,fs_est,mag_zero_ratio
userA,inertial_sitting_s1_att1.csv,inertial,sitting,1,1,,,12059,,1.0
userA,inertial_sitting_s1_att2.csv,inertial,sitting,1,2,,,280,,1.0
userA,inertial_sitting_s1_att3.csv,inertial,sitting,1,3,,,15829,,1.0
userA,inertial_sitting_s1_att4.csv,inertial,sitting,1,4,,,19915,,1.0
userA,inertial_sitting_s2_att1.csv,inertial,sitting,2,1,,,8734,,1.0
userA,inertial_sitting_s2_att2.csv,inertial,sitting,2,2,,,28017,,1.0
userA,inertial_standing_s1_att1.csv,inertial,standing,1,1,,,244,,1.0
userA,inertial_standing_s1_att2.csv,inertial,standing,1,2,,,5119,,1.0
userA,inertial_standing_s2_att1.csv,inertial,standing,2,1,,,32909,,1.0
userA,inertial_standing_s3_att1.csv,inertial,standing,3,1,,,48120,,1.0
userA,inertial_walking_s1_att1.csv,inertial,walking,1,1,,,9195,,1.0
userA,inertial_walking_s2_att1.csv,inertial,walking,2,1,,,33572,,1.0
userA,inertial_walking_s2_att2.csv,inertial,walking,2,2,,,52213,,1.0
userA,keystroke_s1_r1.csv,keystroke,,1,,1,,124,,
userA,keystroke_s1_r2.csv,keystroke,,1,,2,,86,,
userB,inertial_sitting_s1_att1.csv,inertial,sitting,1,1,,,2180,49.928301675643304,0.0
userB,inertial_sitting_s1_att2.csv,inertial,sitting,1,2,,,8132,49.92976550412864,0.0
userB,inertial_sitting_s1_att3.csv,inertial,sitting,1,3,,,15574,0.9903919075467338,0.0
userB,inertial_sitting_s1_att4.csv,inertial,sitting,1,4,,,190903,49.42640483972817,0.0
userB,inertial_standing_s1_att1.csv,inertial,standing,1,1,,,15662,0.9956930308994667,0.0
userB,inertial_standing_s1_att2.csv,inertial,standing,1,2,,,20416,1.0456262556359226,0.0
userB,inertial_standing_s1_att3.csv,inertial,standing,1,3,,,29031,1.4727497005712404,0.0
userB,inertial_standing_s1_att4.csv,inertial,standing,1,4,,,5510,49.93762284188385,0.0
userB,inertial_walking_s1_att1.csv,inertial,walking,1,1,,,20568,1.0531436515836494,0.0
userB,inertial_walking_s1_att2.csv,inertial,walking,1,2,,,23138,1.1814535982180847,0.0
userB,inertial_walking_s1_att3.csv,inertial,walking,1,3,,,24360,1.2417236733408001,0.0
userB,inertial_walking_s1_att4.csv,inertial,walking,1,4,,,10517,47.148951630999754,0.0
userB,inertial_walking_s1_att5.csv,inertial,walking,1,5,,,1784,49.951042095561355,0.0
userB,inertial_walking_s1_att6.csv,inertial,walking,1,6,,,3695,49.951144832506074,0.0
userB,inertial_walking_s1_att7.csv,inertial,walking,1,7,,,198118,18.074919806067598,0.0
userB,inertial_walking_s1_att8.csv,inertial,walking,1,8,,,199297,18.064939911911484,0.0
userB,keystroke_s1_r1.csv,keystroke,,1,,1,,202,,
userC,inertial_sitting_s1_att1.csv,inertial,sitting,1,1,,,60646,50.000000102646545,0.0
userC,inertial_standing_s1_att1.csv,inertial,standing,1,1,,,80343,45.55140526033011,0.0
userC,inertial_standing_s1_att2.csv,inertial,standing,1,2,,,93852,46.07537125217849,0.0
userC,inertial_standing_s1_att3.csv,inertial,standing,1,3,,,19641,10.810961104414798,0.0
userC,inertial_standing_s1_att4.csv,inertial,standing,1,4,,,72453,25.11177741424093,0.0
userC,inertial_standing_s1_att5.csv,inertial,standing,1,5,,,78376,26.012753859974065,0.0
userC,inertial_standing_s1_att6.csv,inertial,standing,1,6,,,84243,26.621148208765085,0.0
userC,inertial_walking_s1_att1.csv,inertial,walking,1,1,,,78611,45.608659816661294,0.0
userC,inertial_walking_s1_att2.csv,inertial,walking,1,2,,,91505,46.01701993491843,0.0
userC,inertial_walking_s1_att3.csv,inertial,walking,1,3,,,99197,46.221051689721754,0.0
