phase,pointerId,pressure,size,timestamp,x,y
DOWN,0,1.0,0.0,580842449,312.0,333.0
UP,0,1.0,0.0,580842474,312.0,333.0
MOVE,0,1.0,0.0,580842720,581.0,995.6172
MOVE,0,1.0,0.0,580842728,580.6924,967.23047
MOVE,0,1.0,0.0,580842737,576.2002,930.48145
MOVE,0,1.0,0.0,580842745,566.9629,887.74023
MOVE,0,1.0,0.0,580842753,553.83594,844.5078
MOVE,0,1.0,0.0,580842762,539.89746,802.85156
MOVE,0,1.0,0.0,580842770,526.77637,763.8535
MOVE,0,1.0,0.0,580842778,513.9238,729.1299
MOVE,0,1.0,0.0,580842787,501.9297,698.32324
MOVE,0,1.0,0.0,580842795,489.88867,669.4082
MOVE,0,1.0,0.0,580842803,477.91113,641.45996
MOVE,0,1.0,0.0,580842811,465.88672,614.40137
MOVE,0,1.0,0.0,580842820,453.65137,586.30176
MOVE,0,1.0,0.0,580842828,440.76465,559.32324
MOVE,0,1.0,0.0,580842835,431.0,537.0
UP,0,1.0,0.0,580842840,431.0,537.0
DOWN,0,1.0,0.0,580843056,519.0,874.0
MOVE,0,1.0,0.0,580843177,517.49023,864.30176
MOVE,0,1.0,0.0,580843185,512.07324,844.58984
MOVE,0,1.0,0.0,580843194,501.7334,818.25586
MOVE,0,1.0,0.0,580843201,492.0,796.0
UP,0,1.0,0.0,580843205,492.0,796.0
DOWN,0,1.0,0.0,580843430,383.0,635.0
MOVE,0,1.0,0.0,580843493,380.80762,644.1553
MOVE,0,1.0,0.0,580843501,379.0,658.12695
MOVE,0,1.0,0.0,580843510,379.0,680.56934
MOVE,0,1.0,0.0,580843518,379.167,706.0
MOVE,0,1.0,0.0,580843526,381.1914,731.3008
MOVE,0,1.0,0.0,580843535,383.0,754.82324
MOVE,0,1.0,0.0,580843543,384.0,775.8369
MOVE,0,1.0,0.0,580843551,385.18262,796.6465
MOVE,0,1.0,0.0,580843559,387.18652,815.6787
MOVE,0,1.0,0.0,580843568,389.18848,834.88574
MOVE,0,1.0,0.0,580843576,391.1953,856.3496
MOVE,0,1.0,0.0,580843584,393.2002,881.2031
MOVE,0,1.0,0.0,580843592,396.0,901.0
UP,0,1.0,0.0,580843596,396.0,901.0
DOWN,0,1.0,0.0,580843729,490.0,1022.0
UP,0,1.0,0.0,580843853,490.0,1022.0
DOWN,0,1.0,0.0,580844735,594.0,1340.0
MOVE,0,1.0,0.0,580844773,605.7002,1294.8486
MOVE,0,1.0,0.0,580844781,613.4912,1259.2168
MOVE,0,1.0,0.0,580844789,619.33203,1225.0137
MOVE,0,1.0,0.0,580844802,624.0,1176.0
DOWN,1,1.0,0.0,580844802,612.0,730.0
MOVE,0,1.0,0.0,580844806,626.0,1158.1553
MOVE,1,1.0,0.0,580844806,612.0,730.0
MOVE,0,1.0,0.0,580844814,626.0,1124.0898
MOVE,1,1.0,0.0,580844814,612.0,730.0
MOVE,0,1.0,0.0,580844823,625.7705,1090.0449
MOVE,1,1.0,0.0,580844823,602.31055,694.8154
MOVE,0,1.0,0.0,580844831,622.64844,1057.0049
MOVE,1,1.0,0.0,580844831,590.1787,656.6533
MOVE,0,1.0,0.0,580844839,617.66797,1024.1182
MOVE,1,1.0,0.0,580844839,577.2246,617.78613
MOVE,0,1.0,0.0,580844848,611.5537,990.99023
MOVE,1,1.0,0.0,580844848,563.10645,578.8779
MOVE,0,1.0,0.0,580844856,603.46875,956.0869
MOVE,1,1.0,0.0,580844856,547.04297,541.0869
MOVE,0,1.0,0.0,580844864,594.4502,921.1299
MOVE,1,1.0,0.0,580844864,530.1201,506.01953
MOVE,0,1.0,0.0,580844873,584.42285,887.0381
MOVE,1,1.0,0.0,580844873,513.9619,471.0381
MOVE,0,1.0,0.0,580844881,574.31445,854.28516
MOVE,1,1.0,0.0,580844881,496.9707,438.1709
MOVE,0,1.0,0.0,580844889,563.4502,824.45996
MOVE,1,1.0,0.0,580844889,480.00977,407.24023
MOVE,0,1.0,0.0,580844897,554.0,798.0
MOVE,1,1.0,0.0,580844897,463.0,378.0
UP,1,1.0,0.0,580844901,463.0,378.0
MOVE,0,1.0,0.0,580844906,544.0801,771.791
MOVE,0,1.0,0.0,580844914,535.2969,749.2412
MOVE,0,1.0,0.0,580844923,527.28125,729.20215
MOVE,0,1.0,0.0,580844931,520.45703,710.55273
MOVE,0,1.0,0.0,580844939,514.4961,694.4873
MOVE,0,1.0,0.0,580844947,509.43262,677.29785
MOVE,0,1.0,0.0,580844956,503.4463,660.1553
MOVE,0,1.0,0.0,580844964,497.23438,640.89355
MOVE,0,1.0,0.0,580844972,490.0703,619.9541
MOVE,0,1.0,0.0,580844981,481.04492,597.89844
MOVE,0,1.0,0.0,580844989,472.23047,577.0762
MOVE,0,1.0,0.0,580844997,464.2295,557.2666
MOVE,0,1.0,0.0,580845006,457.23438,540.66016
MOVE,0,1.0,0.0,580845014,450.2256,526.83887
MOVE,0,1.0,0.0,580845022,443.20508,515.8076
MOVE,0,1.0,0.0,580845031,436.21387,504.8203
MOVE,0,1.0,0.0,580845039,428.08203,492.89844
MOVE,0,1.0,0.0,580845047,418.87598,480.68848
MOVE,0,1.0,0.0,580845055,408.03613,466.65137
MOVE,0,1.0,0.0,580845064,398.04785,453.85742
MOVE,0,1.0,0.0,580845072,389.19824,441.99805
MOVE,0,1.0,0.0,580845080,383.0,433.0
UP,0,1.0,0.0,580845083,383.0,433.0
DOWN,0,1.0,0.0,580845275,512.0,781.0
DOWN,1,1.0,0.0,580845284,433.0,418.0
UP,0,1.0,0.0,580845350,512.0,781.0
UP,1,1.0,0.0,580845366,433.0,418.0
DOWN,0,1.0,0.0,580845583,409.0,601.0
UP,0,1.0,0.0,580845616,409.0,601.0
DOWN,0,1.0,0.0,580845840,180.0,160.0
