answerId,holdMs,phase,pressure,size,timestamp,x,y
mc_q1_choice_C,0,DOWN,1.0,0.0,192984007,101.0,33.0
mc_q1_choice_C,74,UP,1.0,0.0,192984081,101.0,33.0
mc_q1_choice_D,0,DOWN,1.0,0.0,193006589,326.0,56.0
mc_q1_choice_D,61,UP,1.0,0.0,193006650,326.0,56.0
mc_q2_choice_C,0,DOWN,1.0,0.0,193006780,100.0,20.0
mc_q2_choice_C,82,UP,1.0,0.0,193006862,100.0,20.0
mc_q3_choice_D,0,DOWN,1.0,0.0,193007852,313.0,19.0
mc_q3_choice_D,66,UP,1.0,0.0,193007918,313.0,19.0
mc_q3_choice_C,0,DOWN,1.0,0.0,193008010,66.0,71.0
mc_q3_choice_C,57,UP,1.0,0.0,193008067,66.0,71.0
mc_q4_choice_D,0,DOWN,1.0,0.0,193008816,90.0,13.0
mc_q4_choice_D,74,UP,1.0,0.0,193008890,90.0,13.0
mc_q3_choice_D,0,DOWN,1.0,0.0,193009281,281.0,79.0
mc_q3_choice_D,50,UP,1.0,0.0,193009331,281.0,79.0
mc_q4_choice_C,0,DOWN,1.0,0.0,193009581,114.0,69.0
mc_q4_choice_C,0,DOWN,1.0,0.0,193010312,68.0,74.0
mc_q4_choice_C,99,UP,1.0,0.0,193010411,68.0,74.0
mc_q6_choice_C,0,DOWN,1.0,0.0,193011991,130.0,84.0
mc_q6_choice_C,91,UP,1.0,0.0,193012082,130.0,84.0
mc_q6_choice_A,0,DOWN,1.0,0.0,193012406,85.0,66.0
mc_q5_choice_D,0,DOWN,1.0,0.0,193013113,48.0,58.0
mc_q5_choice_D,83,UP,1.0,0.0,193013196,48.0,58.0
mc_q7_choice_C,0,DOWN,1.0,0.0,193014343,117.0,18.0
mc_q7_choice_C,66,UP,1.0,0.0,193014409,117.0,18.0
mc_q7_choice_D,0,DOWN,1.0,0.0,193015183,111.0,39.0
mc_q7_choice_D,74,UP,1.0,0.0,193015257,111.0,39.0
mc_q8_choice_D,0,DOWN,1.0,0.0,193016296,175.0,68.0
mc_q8_choice_D,91,UP,1.0,0.0,193016387,175.0,68.0
mc_q8_choice_C,0,DOWN,1.0,0.0,193016495,138.0,66.0
mc_q8_choice_C,100,UP,1.0,0.0,193016595,138.0,66.0
mc_q8_choice_B,0,DOWN,1.0,0.0,193016678,251.0,45.0
mc_q8_choice_B,58,UP,1.0,0.0,193016736,251.0,45.0
mc_q9_choice_B,0,DOWN,1.0,0.0,193016961,170.0,69.0
mc_q9_choice_B,0,DOWN,1.0,0.0,193018241,272.0,84.0
mc_q9_choice_B,66,UP,1.0,0.0,193018307,272.0,84.0
mc_q9_choice_C,0,DOWN,1.0,0.0,193018806,259.0,66.0
mc_q9_choice_C,74,UP,1.0,0.0,193018880,259.0,66.0
mc_q11_choice_B,0,DOWN,1.0,0.0,193020934,265.0,30.0
mc_q10_choice_D,0,DOWN,1.0,0.0,193027898,307.0,42.0
mc_q10_choice_D,91,UP,1.0,0.0,193027989,308.0,42.0
mc_q11_choice_B,0,DOWN,1.0,0.0,193028198,162.0,92.0
mc_q11_choice_B,91,UP,1.0,0.0,193028289,162.0,92.0
mc_q12_choice_B,0,DOWN,1.0,0.0,193029120,264.0,52.0
mc_q12_choice_B,108,UP,1.0,0.0,193029228,264.0,52.0
mc_q13_choice_A,0,DOWN,1.0,0.0,193029752,303.0,56.0
mc_q13_choice_A,82,UP,1.0,0.0,193029834,303.0,56.0
mc_q14_choice_C,0,DOWN,1.0,0.0,193030782,139.0,80.0
mc_q14_choice_C,58,UP,1.0,0.0,193030840,139.0,80.0
mc_q14_choice_D,0,DOWN,1.0,0.0,193031015,196.0,63.0
mc_q14_choice_D,91,UP,1.0,0.0,193031106,196.0,63.0
mc_q14_choice_B,0,DOWN,1.0,0.0,193031273,199.0,98.0
