timestamp_ns,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,activity
60623571766000,-0.861345,2.9979591,10.118411,0.0019968748,0.001198125,0.0018637499,2.2125,34.3875,-36.975002,walking
60623591908000,-0.823063,3.055382,10.386385,0.004393125,0.003860625,-0.0046593747,3.3937502,35.193752,-36.956253,walking
60623611927000,-1.320729,3.457343,10.807487,0.00452625,0.0030618748,0.00213,3.8812501,35.756252,-37.575,walking
60623631947000,-2.852009,4.127278,11.553986,-0.001464375,3.9937499E-4,-0.0018637499,3.0937502,35.287502,-37.96875,walking
60623651966000,-3.7133539,4.4909573,11.132884,-3.9937499E-4,-0.0015974999,0.004925625,3.15,35.30625,-37.256252,walking
60623671986000,-3.904764,4.452675,10.826628,-0.004393125,3.9937499E-4,-0.001464375,2.2125,35.475002,-37.18125,walking
60623692005000,-2.813727,3.5339072,12.185639,0.0030618748,9.3187497E-4,-0.003860625,0.76875,35.7,-36.600002,walking
60623712025000,-1.110178,2.040909,14.272008,-0.001464375,0.00133125,-0.00239625,-0.20625001,36.05625,-35.7,walking
60623732044000,-0.689076,1.4092561,15.918134,-6.65625E-4,3.9937499E-4,0.001464375,-0.20625001,36.506252,-34.96875,walking
60623752064000,-0.995332,1.2752692,15.688442,0.23603062,0.3771431,-0.39977437,0.675,36.75,-34.65,walking
60623772083000,-1.894959,1.7537941,13.812624,0.27423748,0.42892873,-0.4916306,1.7437501,36.9375,-34.4625,walking
60623792103000,-2.373484,2.232319,12.223921,0.28688437,0.45142686,-0.56444997,2.3812501,36.9,-34.575,walking
60623812123000,-2.028946,2.0791912,11.305153,0.25799623,0.4351856,-0.60491997,2.71875,36.54375,-34.706253,walking
60623832142000,-1.3590109,1.6772301,10.596936,0.17918624,0.37701,-0.6041212,2.71875,36.018753,-35.0625,walking
60623852162000,-1.205883,1.8112171,9.352771,0.055246875,0.28528687,-0.5628525,2.53125,35.456253,-35.4375,walking
60623872181000,-1.646126,2.289742,8.012901,-0.0953175,0.17878687,-0.49229622,2.68125,35.081253,-35.68125,walking
60623892201000,-2.564894,2.787408,7.438671,-0.25000873,0.07707937,-0.4064306,3.16875,35.0625,-35.550003,walking
60623912220000,-3.043419,2.6342802,7.936337,-0.38779312,-0.0051918747,-0.32043186,3.99375,35.2125,-35.287502,walking
60623932240000,-2.928573,2.06005,9.218784,-0.4932281,-0.058974374,-0.24801187,4.5375004,35.456253,-34.893753,walking
60623952259000,-2.373484,1.48582,10.041847,-0.55806,-0.081339374,-0.19795687,4.6125,35.475002,-34.85625,walking
60623972279000,-1.703549,1.3135511,10.233257,-0.58042496,-0.07415062,-0.17226374,4.2375,35.2125,-34.987503,walking
60623992298000,-1.320729,1.543243,9.697309,-0.5672456,-0.045794997,-0.16480875,3.5625002,34.575,-35.34375,walking
60624012318000,-0.746499,1.7537941,8.740259,-0.53116876,-0.007588125,-0.16600686,2.775,34.050003,-35.662502,walking
60624032337000,-0.497666,1.7920761,7.764068,-0.48657185,0.028888123,-0.16653937,2.23125,33.675003,-35.943752,walking
60624052357000,-0.38282,1.7346531,6.692172,-0.43012685,0.042067498,-0.15322687,2.025,33.61875,-36.15,walking
60624072376000,-0.095705,1.600666,6.117942,-0.39884248,0.05604562,-0.13778438,2.11875,33.75,-36.075,walking
60624092396000,0.70821697,1.5241021,6.194506,-0.38912436,0.070023745,-0.12141,1.85625,33.787502,-35.98125,walking
60624112416000,1.646126,1.1795641,6.883582,-0.34932,0.06177,-0.100642495,1.0125,33.693752,-35.737503,walking
60624132435000,2.124651,0.75846213,7.438671,-0.31763625,0.053915624,-0.08067375,-0.26250002,33.412502,-35.850002,walking
60624152455000,1.741831,0.6818981,7.476953,-0.29047874,0.04725937,-0.06363375,-1.6125001,32.90625,-36.037502,walking
60624172474000,1.3015879,1.0072951,6.979287,-0.22564687,0.06296812,-0.0697575,-3.1875002,32.268753,-36.43125,walking
60624192494000,0.57423,2.06005,6.366775,-0.14310937,0.1038375,-0.09385312,-4.7625003,31.518751,-36.61875,walking
60624212513000,0.669935,2.6725621,5.945673,-0.062036246,0.15455812,-0.12473812,-6.5625005,30.7875,-36.65625,walking
60624232533000,1.760972,2.729985,5.849968,0.0127799995,0.21606186,-0.16201311,-8.231251,30.056252,-36.581253,walking
60624252552000,3.426239,2.5385752,5.811686,0.068426244,0.2780981,-0.19782375,-9.5625,29.587502,-36.412502,walking
