phase,pointerId,pressure,size,timestamp,x,y
DOWN,0,0.008,0.03529412,54985987,585.0,1099.0
MOVE,0,0.015000001,0.039215688,54986050,582.6338,963.9697
MOVE,0,0.016,0.039215688,54986067,596.2383,861.88574
MOVE,0,0.016,0.043137256,54986078,629.0,774.0
UP,0,0.016,0.043137256,54986086,629.0,774.0
DOWN,0,0.011000001,0.03529412,54986353,595.0,1055.0
MOVE,0,0.014,0.03529412,54986416,595.0,1041.5645
MOVE,0,0.015000001,0.043137256,54986433,594.08887,970.24414
MOVE,0,0.016,0.043137256,54986450,592.16895,837.70703
MOVE,0,0.016,0.03529412,54986466,620.4873,718.124
MOVE,0,0.008,0.039215688,54986477,672.0,649.0
UP,0,0.008,0.039215688,54986485,672.0,649.0
DOWN,0,0.009000001,0.03529412,54986702,567.0,842.0
MOVE,0,0.015000001,0.03529412,54986749,565.2715,962.708
MOVE,0,0.015000001,0.03529412,54986766,572.916,1005.41406
MOVE,0,0.015000001,0.03137255,54986782,579.91797,1044.7891
MOVE,0,0.015000001,0.03529412,54986799,589.5654,1081.5449
MOVE,0,0.009000001,0.039215688,54986810,594.0,1103.0
UP,0,0.009000001,0.039215688,54986818,594.0,1103.0
DOWN,0,0.013,0.03137255,54987168,468.0,907.0
DOWN,1,0.0050000004,0.043137256,54987168,368.0,682.0
MOVE,0,0.012,0.03137255,54987199,455.22852,856.6738
MOVE,1,0.017,0.039215688,54987199,358.43457,659.88086
MOVE,0,0.012,0.039215688,54987210,428.0,796.0
MOVE,1,0.017,0.043137256,54987210,323.0,581.0
UP,1,0.017,0.043137256,54987218,323.0,581.0
MOVE,0,0.014,0.03529412,54987227,363.0,698.0
UP,0,0.014,0.03529412,54987235,363.0,698.0
DOWN,1,0.015000001,0.03137255,54987235,260.0,593.0
MOVE,1,0.016,0.039215688,54987265,129.62305,484.38672
MOVE,1,0.013,0.03529412,54987276,60.0,432.0
UP,1,0.013,0.03529412,54987284,60.0,432.0
DOWN,0,0.020000001,0.039215688,54988200,503.0,405.0
MOVE,0,0.023000002,0.043137256,54988230,440.96094,581.7949
MOVE,0,0.021000002,0.043137256,54988247,407.90234,789.9082
MOVE,0,0.016,0.03529412,54988264,414.66406,1005.97363
MOVE,0,0.008,0.03529412,54988275,443.0,1155.0
UP,0,0.008,0.03529412,54988283,443.0,1155.0
DOWN,0,0.017,0.039215688,54988467,530.0,710.0
MOVE,0,0.022000002,0.043137256,54988497,543.751,519.1279
MOVE,0,0.021000002,0.039215688,54988513,608.2344,272.79004
MOVE,0,0.016,0.039215688,54988530,684.4033,90.49121
