answerId,holdMs,phase,pressure,size,timestamp,x,y
mc_q2_choice_B,0,DOWN,0.019000001,0.039215688,54619924,208.0,56.0
mc_q2_choice_B,100,UP,0.019000001,0.039215688,54620024,208.0,56.0
mc_q3_choice_A,0,DOWN,0.006,0.03529412,54620158,72.0,55.0
mc_q2_choice_D,0,DOWN,0.015000001,0.039215688,54620174,175.0,74.0
mc_q2_choice_D,83,UP,0.015000001,0.039215688,54620257,175.0,74.0
mc_q3_choice_A,99,UP,0.006,0.043137256,54620273,72.0,55.0
mc_q2_choice_B,0,DOWN,0.007,0.03529412,54620390,183.0,37.0
mc_q3_choice_C,0,DOWN,0.009000001,0.039215688,54620424,107.0,38.0
mc_q2_choice_B,66,UP,0.018000001,0.039215688,54620490,183.0,37.0
mc_q3_choice_C,116,UP,0.017,0.043137256,54620540,107.0,38.0
mc_q3_choice_C,0,DOWN,0.014,0.043137256,54620790,123.0,47.0
mc_q1_choice_B,0,DOWN,0.015000001,0.043137256,54620790,195.0,1.0
mc_q3_choice_C,83,UP,0.014,0.043137256,54620873,123.0,47.0
mc_q1_choice_B,99,UP,0.012,0.043137256,54620889,195.0,1.0
mc_q1_choice_B,0,DOWN,0.018000001,0.039215688,54621023,154.0,57.0
mc_q1_choice_B,99,UP,0.018000001,0.039215688,54621122,154.0,57.0
mc_q1_choice_D,0,DOWN,0.019000001,0.039215688,54621273,152.0,73.0
mc_q1_choice_D,99,UP,0.019000001,0.039215688,54621372,152.0,73.0
mc_q2_choice_A,0,DOWN,0.008,0.03137255,54621539,40.0,47.0
mc_q2_choice_A,133,UP,0.008,0.03137255,54621672,40.0,47.0
mc_q2_choice_D,0,DOWN,0.012,0.03529412,54621788,104.0,42.0
mc_q2_choice_A,0,DOWN,0.014,0.039215688,54621839,72.0,72.0
mc_q2_choice_D,33,UP,0.0050000004,0.039215688,54621872,104.0,42.0
mc_q2_choice_A,82,UP,0.017,0.039215688,54621921,72.0,72.0
mc_q2_choice_D,0,DOWN,0.014,0.03529412,54623153,140.0,15.0
mc_q2_choice_D,83,UP,0.014,0.03529412,54623236,140.0,15.0
mc_q2_choice_B,0,DOWN,0.011000001,0.03137255,54623353,176.0,49.0
mc_q2_choice_B,99,UP,0.011000001,0.03137255,54623452,176.0,49.0
mc_q2_choice_B,0,DOWN,0.015000001,0.03529412,54623802,163.0,69.0
mc_q2_choice_B,67,UP,0.015000001,0.03529412,54623869,163.0,69.0
mc_q3_choice_C,0,DOWN,0.013,0.03529412,54623869,133.0,15.0
