phase,pointerId,pressure,size,timestamp,x,y
MOVE,0,1.0,0.043137256,171483671,731.6952,1162.6035
MOVE,0,1.0,0.043137256,171483688,732.2,1187.7029
MOVE,0,1.0,0.04705883,171483704,732.2,1213.157
MOVE,0,1.0,0.04705883,171483721,732.2,1238.2037
MOVE,0,1.0,0.04705883,171483736,731.69037,1261.1726
MOVE,0,1.0,0.019607844,171483752,730.03595,1289.69
MOVE,0,1.0,0.043137256,171483769,727.9452,1319.6772
MOVE,0,1.0,0.043137256,171483786,729.124,1346.4591
MOVE,0,1.0,0.043137256,171483802,731.6,1375.7
MOVE,0,1.0,0.043137256,171483819,738.7268,1404.1072
MOVE,0,1.0,0.043137256,171483835,743.08325,1430.4656
MOVE,0,1.0,0.04705883,171483852,752.7851,1491.3984
UP,0,1.0,0.04705883,171483856,750.8,1480.0
DOWN,0,1.0,0.019607844,171491738,727.8,1452.4
MOVE,0,1.0,0.019607844,171491769,727.8,1452.4
MOVE,0,1.0,0.043137256,171491787,727.8,1452.4
MOVE,0,1.0,0.04705883,171491804,728.8439,1433.531
MOVE,0,1.0,0.019607844,171491821,730.9118,1372.388
MOVE,0,1.0,0.019607844,171491837,735.2062,1278.2819
MOVE,0,1.0,0.019607844,171491853,741.74084,1204.1735
MOVE,0,1.0,0.019607844,171491869,749.39996,1148.8
MOVE,0,1.0,0.019607844,171491885,755.7398,1125.1233
MOVE,0,1.0,0.019607844,171491902,762.9097,1107.9863
MOVE,0,1.0,0.019607844,171491919,771.4913,1091.2452
MOVE,0,1.0,0.019607844,171491935,790.99927,1062.3475
MOVE,0,1.0,0.019607844,171491952,816.05975,1030.2529
MOVE,0,1.0,0.019607844,171491968,860.4467,991.84863
MOVE,0,1.0,0.019607844,171491968,861.0,991.4
UP,0,1.0,0.019607844,171491975,861.0,991.4
DOWN,0,1.0,0.050980397,171492537,715.2,1296.4
MOVE,0,1.0,0.019607844,171492541,715.2,1296.4
MOVE,0,1.0,0.019607844,171492550,715.2,1296.4
MOVE,0,1.0,0.019607844,171492583,717.0908,1287.3619
MOVE,0,1.0,0.019607844,171492599,732.6965,1251.3137
MOVE,0,1.0,0.019607844,171492616,757.0,1197.9001
MOVE,0,1.0,0.019607844,171492633,765.48615,1164.949
MOVE,0,1.0,0.019607844,171492649,772.0119,1131.0238
MOVE,0,1.0,0.019607844,171492665,776.937,1103.5674
MOVE,0,1.0,0.019607844,171492682,782.2966,1076.0317
MOVE,0,1.0,0.019607844,171492698,789.3,1054.7999
