answerId,holdMs,phase,pressure,size,timestamp,x,y
mc_q2_choice_B,0,DOWN,1.0,0.04705883,171483497,182.79999,47.400024
mc_q1_choice_B,0,DOWN,1.0,0.04705883,171485391,325.8,107.79999
mc_q1_choice_B,70,UP,1.0,0.043137256,171485461,325.8,107.79999
mc_q1_choice_C,0,DOWN,1.0,0.043137256,171486855,299.2,108.400024
mc_q1_choice_C,93,UP,1.0,0.043137256,171486948,299.2,108.400024
mc_q1_choice_B,0,DOWN,1.0,0.043137256,171487306,188.60004,99.400024
mc_q1_choice_B,100,UP,1.0,0.04705883,171487406,188.60004,99.400024
mc_q2_choice_B,0,DOWN,1.0,0.019607844,171488702,185.60004,41.200073
mc_q2_choice_B,85,UP,1.0,0.04705883,171488787,185.60004,41.200073
mc_q2_choice_C,0,DOWN,1.0,0.019607844,171489052,286.2,90.80005
mc_q2_choice_C,84,UP,1.0,0.019607844,171489136,286.2,90.80005
mc_q2_choice_A,0,DOWN,1.0,0.043137256,171489535,353.0,114.0
mc_q2_choice_A,91,UP,1.0,0.019607844,171489626,353.0,114.0
mc_q2_choice_B,0,DOWN,1.0,0.019607844,171489784,168.60004,84.0
mc_q2_choice_B,115,UP,1.0,0.019607844,171489899,168.60004,84.0
mc_q2_choice_B,0,DOWN,1.0,0.043137256,171490824,184.40002,66.80005
mc_q2_choice_B,79,UP,1.0,0.043137256,171490903,184.40002,66.80005
mc_q2_choice_B,0,DOWN,1.0,0.043137256,171491315,201.20001,84.80005
mc_q2_choice_B,76,UP,1.0,0.019607844,171491391,201.20001,84.80005
mc_q7_choice_B,0,DOWN,1.0,0.058823533,171496416,218.40002,105.20007
mc_q7_choice_B,73,UP,1.0,0.04705883,171496489,218.40002,105.20007
mc_q6_choice_D,0,DOWN,1.0,0.050980397,171500381,115.0,121.80005
mc_q6_choice_B,0,DOWN,1.0,0.04705883,171500929,146.60004,45.0
mc_q6_choice_B,100,UP,1.0,0.04705883,171501029,146.60004,45.0
mc_q6_choice_C,0,DOWN,1.0,0.019607844,171501929,246.80002,65.400024
mc_q6_choice_C,84,UP,1.0,0.043137256,171502013,246.80002,65.400024
mc_q6_choice_C,0,DOWN,1.0,0.019607844,171503155,257.2,76.80005
