charCount,fieldId,interKeyMs,isDelete,timestamp
1,text_q1,0,false,1776347426057
2,text_q1,413,false,1776347426470
3,text_q1,172,false,1776347426642
4,text_q1,182,false,1776347426824
5,text_q1,207,false,1776347427031
6,text_q1,162,false,1776347427193
7,text_q1,224,false,1776347427417
8,text_q1,2075,false,1776347429492
9,text_q1,305,false,1776347429797
1,text_q2,0,false,1776347542827
2,text_q2,150,false,1776347542977
3,text_q2,126,false,1776347543103
1,text_q5,0,false,1776347567583
2,text_q5,169,false,1776347567752
3,text_q5,131,false,1776347567883
1,text_q4,0,false,1776347568877
2,text_q4,158,false,1776347569035
3,text_q4,188,false,1776347569223
4,text_q4,564,false,1776347569787
1,text_q6,0,false,1776347572259
2,text_q6,133,false,1776347572392
3,text_q6,139,false,1776347572531
4,text_q6,151,false,1776347572682
1,text_q7,0,false,1776347574594
2,text_q7,168,false,1776347574762
3,text_q7,185,false,1776347574947
1,text_q3,0,false,1776347650771
2,text_q3,204,false,1776347650975
3,text_q3,179,false,1776347651154
4,text_q3,186,false,1776347651340
4,text_q5,243232,false,1776347811115
5,text_q5,274,false,1776347811389
6,text_q5,229,false,1776347811618
7,text_q5,193,false,1776347811811
8,text_q5,192,false,1776347812003
9,text_q5,172,false,1776347812175
10,text_q5,273,false,1776347812448
11,text_q5,256,false,1776347812704
12,text_q5,160,false,1776347812864
13,text_q5,207,false,1776347813071
14,text_q5,191,false,1776347813262
15,text_q5,177,false,1776347813439
16,text_q5,298,false,1776347813737
17,text_q5,245,false,1776347813982
18,text_q5,168,false,1776347814150
19,text_q5,188,false,1776347814338
20,text_q5,220,false,1776347814558
21,text_q5,201,false,1776347814759
22,text_q5,173,false,1776347814932
23,text_q5,174,false,1776347815106
24,text_q5,181,false,1776347815287
25,text_q5,289,false,1776347815576
26,text_q5,202,false,1776347815778
27,text_q5,187,false,1776347815965
28,text_q5,173,false,1776347816138
29,text_q5,212,false,1776347816350
30,text_q5,146,false,1776347816496
5,text_q4,248446,false,1776347818233
6,text_q4,151,false,1776347818384
7,text_q4,184,false,1776347818568
8,text_q4,196,false,1776347818764
9,text_q4,165,false,1776347818929
10,text_q4,186,false,1776347819115
11,text_q4,183,false,1776347819298
12,text_q4,335,false,1776347819633
13,text_q4,235,false,1776347819868
14,text_q4,161,false,1776347820029
15,text_q4,164,false,1776347820193
14,text_q4,189,true,1776347820382
15,text_q4,3,false,1776347820385
16,text_q4,139,false,1776347820524
17,text_q4,168,false,1776347820692
18,text_q4,174,false,1776347820866
19,text_q4,186,false,1776347821052
20,text_q4,152,false,1776347821204
21,text_q4,176,false,1776347821380
22,text_q4,142,false,1776347821522
5,text_q6,251350,false,1776347824032
6,text_q6,210,false,1776347824242
7,text_q6,206,false,1776347824448
8,text_q6,232,false,1776347824680
9,text_q6,192,false,1776347824872
10,text_q6,326,false,1776347825198
11,text_q6,185,false,1776347825383
12,text_q6,192,false,1776347825575
13,text_q6,190,false,1776347825765
14,text_q6,178,false,1776347825943
15,text_q6,204,false,1776347826147
16,text_q6,190,false,1776347826337
17,text_q6,189,false,1776347826526
18,text_q6,185,false,1776347826711
19,text_q6,156,false,1776347826867
4,text_q7,255830,false,1776347830777
5,text_q7,274,false,1776347831051
4,text_q7,199,true,1776347831250
6,text_q7,3,false,1776347831253
7,text_q7,193,false,1776347831446
8,text_q7,192,false,1776347831638
9,text_q7,162,false,1776347831800
10,text_q7,182,false,1776347831982
11,text_q7,179,false,1776347832161
12,text_q7,215,false,1776347832376
11,text_q7,152,true,1776347832528
13,text_q7,3,false,1776347832531
14,text_q7,175,false,1776347832706
15,text_q7,202,false,1776347832908
16,text_q7,194,false,1776347833102
17,text_q7,392,false,1776347833494
18,text_q7,206,false,1776347833700
19,text_q7,201,false,1776347833901
20,text_q7,212,false,1776347834113
21,text_q7,160,false,1776347834273
22,text_q7,208,false,1776347834481
23,text_q7,205,false,1776347834686
24,text_q7,176,false,1776347834862
25,text_q7,218,false,1776347835080
