answerId,holdMs,phase,pressure,size,timestamp,x,y
mc_q1_choice_A,0,DOWN,1.0,0.019607844,164693307,301.0,105.0
mc_q1_choice_A,67,UP,1.0,0.019607844,164693374,301.0,105.0
mc_q2_choice_B,0,DOWN,1.0,0.019607844,164695661,238.0,72.0
mc_q2_choice_B,0,DOWN,1.0,0.019607844,164697192,278.0,65.0
mc_q2_choice_B,66,UP,1.0,0.019607844,164697258,278.0,65.0
mc_q3_choice_B,0,DOWN,1.0,0.019607844,164698795,242.0,48.0
mc_q3_choice_B,77,UP,1.0,0.019607844,164698872,242.0,48.0
mc_q4_choice_A,0,DOWN,1.0,0.019607844,164699646,336.0,102.0
mc_q4_choice_A,81,UP,1.0,0.019607844,164699727,336.0,102.0
mc_q5_choice_B,0,DOWN,1.0,0.019607844,164700907,235.0,89.0
mc_q5_choice_B,77,UP,1.0,0.019607844,164700984,235.0,89.0
mc_q6_choice_B,0,DOWN,1.0,0.019607844,164716304,207.0,41.0
mc_q6_choice_B,78,UP,1.0,0.019607844,164716382,207.0,41.0
mc_q6_choice_D,0,DOWN,1.0,0.019607844,164716610,67.0,126.0
mc_q7_choice_A,0,DOWN,1.0,0.019607844,164718859,355.0,21.0
mc_q7_choice_A,0,DOWN,1.0,0.019607844,164724468,336.0,77.0
mc_q7_choice_A,72,UP,1.0,0.019607844,164724540,336.0,77.0
mc_q8_choice_B,0,DOWN,1.0,0.019607844,164725727,216.0,59.0
mc_q8_choice_B,82,UP,1.0,0.019607844,164725809,216.0,59.0
mc_q9_choice_A,0,DOWN,1.0,0.019607844,164726750,328.0,27.0
mc_q9_choice_A,77,UP,1.0,0.019607844,164726827,327.0,27.0
mc_q10_choice_A,0,DOWN,1.0,0.019607844,164728748,293.0,106.0
mc_q10_choice_A,55,UP,1.0,0.019607844,164728803,293.0,106.0
mc_q10_choice_D,0,DOWN,1.0,0.043137256,164730422,154.0,137.0
mc_q11_choice_B,0,DOWN,1.0,0.019607844,164732337,188.0,57.0
mc_q11_choice_B,66,UP,1.0,0.019607844,164732403,188.0,57.0
mc_q12_choice_B,0,DOWN,1.0,0.050980397,164733734,260.0,27.0
mc_q12_choice_B,77,UP,1.0,0.019607844,164733811,260.0,27.0
mc_q12_choice_D,0,DOWN,1.0,0.019607844,164734151,109.0,97.0
mc_q13_choice_A,0,DOWN,1.0,0.019607844,164735063,189.0,100.0
mc_q13_choice_A,72,UP,1.0,0.019607844,164735135,189.0,100.0
mc_q14_choice_A,0,DOWN,1.0,0.019607844,164736321,122.0,69.0
mc_q14_choice_A,89,UP,1.0,0.019607844,164736410,122.0,67.0
mc_q9_choice_C,0,DOWN,1.0,0.019607844,166878005,222.0,29.0
mc_q10_choice_C,0,DOWN,1.0,0.019607844,166878561,272.0,12.0
mc_q11_choice_A,0,DOWN,1.0,0.019607844,166879363,328.0,101.0
mc_q12_choice_C,0,DOWN,1.0,0.019607844,166880566,167.0,117.0
mc_q12_choice_C,76,UP,1.0,0.019607844,166880642,167.0,117.0
mc_q14_choice_A,0,DOWN,1.0,0.019607844,166881834,254.0,25.0
mc_q14_choice_C,0,DOWN,1.0,0.019607844,166882412,192.0,60.0
mc_q14_choice_C,83,UP,1.0,0.019607844,166882495,192.0,60.0
mc_q9_choice_D,0,DOWN,1.0,0.07450981,166978525,65.0,105.0
mc_q9_choice_D,0,DOWN,1.0,0.058823533,166979482,269.0,67.0
mc_q8_choice_D,0,DOWN,1.0,0.050980397,166980000,206.0,45.0
mc_q6_choice_B,0,DOWN,1.0,0.058823533,166980951,232.0,115.0
mc_q4_choice_B,0,DOWN,1.0,0.054901965,166982387,159.0,30.0
mc_q3_choice_C,0,DOWN,1.0,0.058823533,166990481,339.0,58.0
mc_q3_choice_D,0,DOWN,1.0,0.054901965,166991009,212.0,56.0
mc_q1_choice_D,0,DOWN,1.0,0.054901965,166992384,275.0,133.0
