answerId,holdMs,phase,pressure,size,timestamp,x,y
mc_q1_choice_A,0,DOWN,1.0,0.033333335,43200455,345.78906,46.007812
mc_q1_choice_A,74,UP,1.0,0.033333335,43200529,345.78906,46.007812
mc_q2_choice_B,0,DOWN,1.0,0.019607844,43201296,298.72656,106.94531
mc_q2_choice_B,82,UP,1.0,0.021568628,43201378,298.72656,106.94531
mc_q3_choice_B,0,DOWN,1.0,0.027450982,43202378,429.5078,108.85547
mc_q3_choice_B,49,UP,1.0,0.029411767,43202427,429.5078,108.85547
mc_q4_choice_D,0,DOWN,1.0,0.029411767,43204234,398.92188,128.46094
mc_q4_choice_D,74,UP,1.0,0.027450982,43204308,398.92188,128.46094
mc_q5_choice_B,0,DOWN,1.0,0.023529414,43204549,252.67188,174.91016
mc_q5_choice_B,33,UP,1.0,0.025490198,43204582,252.67188,174.91016
mc_q12_choice_B,0,DOWN,1.0,0.019607844,43207312,367.28125,99.27734
mc_q12_choice_B,75,UP,1.0,0.025490198,43207387,367.28125,99.27734
mc_q13_choice_B,0,DOWN,1.0,0.023529414,43208153,279.03906,160.45312
mc_q13_choice_B,58,UP,1.0,0.027450982,43208211,279.03906,160.45312
mc_q14_choice_D,0,DOWN,1.0,0.019607844,43210575,391.53906,104.10156
mc_q14_choice_D,91,UP,1.0,0.023529414,43210666,391.53906,104.10156
mc_q12_choice_C,0,DOWN,1.0,0.019607844,43274764,196.02344,13.113281
mc_q8_choice_B,0,DOWN,1.0,0.019607844,43426344,372.5547,58.152344
mc_q8_choice_B,83,UP,1.0,0.023529414,43426427,372.5547,58.152344
mc_q7_choice_B,0,DOWN,1.0,0.03529412,43427784,418.2578,92.47656
mc_q7_choice_B,41,UP,1.0,0.03529412,43427825,418.2578,92.47656
mc_q6_choice_B,0,DOWN,1.0,0.033333335,43428607,282.20312,65.890625
mc_q6_choice_B,33,UP,1.0,0.03529412,43428640,282.20312,65.890625
mc_q9_choice_A,0,DOWN,1.0,0.021568628,43429972,120.4375,129.19922
mc_q9_choice_A,83,UP,1.0,0.027450982,43430055,120.4375,129.19922
mc_q10_choice_D,0,DOWN,1.0,0.025490198,43430338,216.10938,74.046875
mc_q10_choice_D,42,UP,1.0,0.025490198,43430380,216.10938,74.046875
mc_q10_choice_B,0,DOWN,1.0,0.019607844,43430646,239.3125,16.683594
mc_q11_choice_B,0,DOWN,1.0,0.03529412,43431670,417.90625,49.515625
mc_q11_choice_B,41,UP,1.0,0.03529412,43431711,417.90625,49.515625
