timestamp_ns,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,activity
1382131625004221,-2.1882362,3.4277184,9.139386,0.013744458,-0.39385507,-0.047647454,-25.875002,9.0,-27.13125,standing
1382131645004221,-1.7593229,3.07717,10.417153,0.016035201,-0.3498728,-0.03252855,-26.493752,8.3625,-27.69375,standing
1382131665004221,-0.9128618,2.8779674,10.014561,0.049174614,-0.29092434,-0.033902995,-32.41875,-0.1875,-28.44375,standing
1382131685004221,-1.4500505,3.211168,9.226724,0.058795735,-0.24083345,-0.050854493,-32.71875,-0.09375,-29.04375,standing
1382131705004221,-1.4853446,3.5174494,9.220144,0.021380268,-0.2319759,-0.060781047,-33.581253,0.1875,-27.69375,standing
1382131725004221,-1.3064811,3.5635111,9.311669,-0.013591741,-0.2423606,-0.04734202,-33.393753,-0.43125,-26.268751,standing
1382131745004221,-1.2107682,3.5066817,9.153145,-0.007941242,-0.24129158,-0.020311253,-32.34375,-0.0375,-25.031252,standing
1382131765004221,-1.329213,3.5413775,9.025727,0.049480047,-0.20998476,0.01924224,-33.0,0.76875,-24.937502,standing
1382131785004221,-1.5302101,3.5491543,9.012567,0.12079851,-0.17974696,0.07666353,-35.081253,-0.16875,-25.181252,standing
1382131805004221,-1.5858432,3.5162528,9.148957,0.1424842,-0.14966187,0.1075122,-34.518753,-0.35625002,-26.212502,standing
1382131825004221,-1.6384853,3.4827533,9.287741,0.1310305,-0.12522727,0.12492185,-33.375,0.975,-26.343752,standing
1382131845004221,-1.7545372,3.4827533,9.314062,0.10415245,-0.13729186,0.15546508,-34.40625,0.46875003,-25.687502,standing
1382131865004221,-1.6749759,3.5030923,9.0029955,0.06291907,-0.16432263,0.21792601,-35.325,-0.26250002,-25.0125,standing
1382131885004221,-1.7353946,3.510869,8.812167,0.025809037,-0.19486587,0.25579962,-35.006252,0.28125,-23.41875,standing
1382131905004221,-1.8364913,3.5365918,8.690732,0.01282816,-0.17928882,0.26419902,-34.65,-0.112500004,-22.96875,standing
1382131925004221,-1.922633,3.5988052,8.599805,0.016493348,-0.091477,0.25870124,-35.456253,0.35625002,-23.75625,standing
