timestamp_ns,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,activity
1473075550344793,-7.173682,4.8065825,-5.1876397,0.034208428,0.045662142,0.1434005,46.875,13.462501,-9.918751,walking
1473075570344793,-6.823134,4.788636,-5.1649075,-0.12110394,0.15057817,0.061544627,46.518753,12.7875,-8.418751,walking
1473075590344793,-6.916454,4.801797,-5.0183473,-0.2122755,0.21090107,0.027794348,45.956253,11.962501,-5.625,walking
1473075610344793,-7.0983086,4.7694936,-4.961518,-0.25137085,0.18982624,0.04444041,46.162502,12.618751,-5.9812503,walking
1473075630344793,-7.1449685,4.6785665,-4.8125644,-0.2310596,0.12858704,0.06887501,47.268753,13.762501,-6.4875,walking
1473075650344793,-7.0989065,4.6755753,-4.578068,-0.1404989,0.029168794,0.081397735,48.15,14.118751,-6.9,walking
1473075670344793,-6.908677,4.6929235,-4.391428,0.0042760535,-0.037415467,0.05574141,46.48125,12.468751,-7.9875,walking
1473075690344793,-6.9523463,4.7246284,-4.6372905,0.05650499,-0.045203995,0.055435978,45.75,10.650001,-8.175,walking
1473075710344793,-6.998408,4.7772703,-5.063213,-0.010231985,-0.060322896,0.06017018,46.987503,11.38125,-7.275,walking
1473075730344793,-6.8853474,4.8448677,-5.0165524,-0.06856957,-0.05222894,0.039553493,47.5875,12.6,-6.7500005,walking
1473075750344793,-6.806982,4.8652067,-4.822136,-0.08032872,-0.019089524,0.013439025,47.23125,12.8625,-7.2562504,walking
1473075770344793,-6.921838,4.8586264,-4.6881375,-0.065667965,-0.011911863,0.009315688,46.125,13.06875,-6.6562505,walking
1473075790344793,-6.9882383,4.8418765,-4.6642094,-0.060322896,-0.010537418,0.022754714,45.61875,13.25625,-6.675,walking
1473075810344793,-7.01097,4.8382874,-4.551149,-0.041233372,-0.022907428,0.038331766,45.28125,13.031251,-6.7500005,walking
1473075830344793,-6.921838,4.8975096,-4.581059,-0.023365578,-0.01970039,0.043065965,45.65625,12.243751,-7.0312505,walking
1473075850344793,-6.923034,4.9214377,-4.631308,-0.0151189035,-0.034361143,0.037873615,45.73125,12.243751,-6.3750005,walking
