answerId,holdMs,phase,pressure,size,timestamp,x,y
mc_q3_choice_A,0,DOWN,1.0,0.011764707,441484780,90.0,70.0
mc_q1_choice_B,0,DOWN,1.0,0.011764707,441488796,371.0,77.0
mc_q1_choice_B,75,UP,1.0,0.011764707,441488871,358.0,61.5
mc_q3_choice_C,0,DOWN,1.0,0.011764707,441492871,59.0,131.0
mc_q3_choice_A,0,DOWN,1.0,0.011764707,441494888,25.0,54.0
mc_q2_choice_B,0,DOWN,1.0,0.011764707,441500956,106.0,77.0
mc_q2_choice_B,48,UP,1.0,0.013725491,441501004,99.0,79.0
mc_q2_choice_A,0,DOWN,1.0,0.011764707,441502321,66.0,95.0
mc_q2_choice_A,75,UP,1.0,0.013725491,441502396,66.0,95.0
mc_q3_choice_A,0,DOWN,1.0,0.011764707,441504239,114.0,86.0
mc_q3_choice_A,82,UP,1.0,0.015686275,441504321,114.0,86.0
mc_q3_choice_C,0,DOWN,1.0,0.011764707,441504468,142.0,72.0
mc_q3_choice_C,70,UP,1.0,0.011764707,441504538,140.0,73.0
mc_q3_choice_B,0,DOWN,1.0,0.011764707,441505492,155.0,77.0
mc_q3_choice_B,79,UP,1.0,0.011764707,441505571,145.0,70.0
mc_q3_choice_A,0,DOWN,1.0,0.011764707,441507755,104.0,70.0
mc_q3_choice_A,107,UP,1.0,0.01764706,441507862,106.0,73.0
mc_q3_choice_C,0,DOWN,1.0,0.011764707,441520746,31.0,84.0
mc_q5_choice_A,0,DOWN,1.0,0.011764707,441527743,166.0,32.0
mc_q4_choice_B,0,DOWN,1.0,0.011764707,441531978,202.0,76.0
mc_q4_choice_B,50,UP,1.0,0.013725491,441532028,200.0,80.0
mc_q4_choice_C,0,DOWN,1.0,0.011764707,441563956,48.0,121.0
mc_q5_choice_A,0,DOWN,1.0,0.011764707,441582155,238.0,110.0
mc_q5_choice_C,0,DOWN,1.0,0.013725491,441583879,46.0,52.0
mc_q5_choice_A,0,DOWN,1.0,0.011764707,441586751,34.0,91.0
mc_q4_choice_C,0,DOWN,1.0,0.011764707,441605913,51.0,104.0
mc_q4_choice_A,0,DOWN,1.0,0.013725491,441616398,39.0,18.0
mc_q5_choice_A,0,DOWN,1.0,0.009803922,441633049,12.0,29.0
mc_q5_choice_C,0,DOWN,1.0,0.009803922,441635462,106.0,88.0
mc_q5_choice_C,70,UP,1.0,0.01764706,441635532,106.0,88.0
mc_q5_choice_A,0,DOWN,1.0,0.011764707,441635835,40.0,22.0
mc_q6_choice_B,0,DOWN,1.0,0.013725491,441641724,105.0,82.0
mc_q6_choice_B,49,UP,1.0,0.015686275,441641773,103.0,81.0
mc_q7_choice_D,0,DOWN,1.0,0.011764707,441683453,163.0,105.0
mc_q7_choice_D,50,UP,1.0,0.013725491,441683503,153.0,96.0
mc_q8_choice_A,0,DOWN,1.0,0.011764707,441713273,14.0,50.0
mc_q8_choice_A,0,DOWN,1.0,0.011764707,441717199,70.0,100.0
mc_q8_choice_A,100,UP,1.0,0.015686275,441717299,67.0,100.0
mc_q9_choice_B,0,DOWN,1.0,0.011764707,441720429,121.0,94.0
mc_q9_choice_B,62,UP,1.0,0.011764707,441720491,121.0,94.0
mc_q10_choice_A,0,DOWN,1.0,0.015686275,441727650,34.0,39.0
mc_q10_choice_C,0,DOWN,1.0,0.011764707,441732275,194.0,67.0
mc_q10_choice_C,74,UP,1.0,0.015686275,441732349,187.0,66.0
mc_q10_choice_C,0,DOWN,1.0,0.013725491,441734178,44.0,34.0
mc_q11_choice_C,0,DOWN,1.0,0.015686275,441744166,44.0,126.0
mc_q11_choice_D,0,DOWN,1.0,0.011764707,441749858,128.0,112.0
mc_q11_choice_D,75,UP,1.0,0.011764707,441749933,121.0,113.0
mc_q12_choice_A,0,DOWN,1.0,0.011764707,441763734,196.0,25.0
mc_q12_choice_A,0,DOWN,1.0,0.011764707,441773078,20.0,114.0
mc_q12_choice_A,0,DOWN,1.0,0.011764707,441774677,79.0,73.0
mc_q12_choice_A,91,UP,1.0,0.01764706,441774768,82.0,73.0
mc_q13_choice_A,0,DOWN,1.0,0.011764707,441776986,127.0,111.0
mc_q13_choice_A,90,UP,1.0,0.015686275,441777076,124.0,112.0
mc_q14_choice_D,0,DOWN,1.0,0.013725491,441786479,340.0,53.0
mc_q14_choice_D,47,UP,1.0,0.015686275,441786526,340.0,52.0
