charCount,fieldId,interKeyMs,isDelete,timestamp
1,text_q1,0,false,1776342072894
1,text_q1,158,false,1776342073052
2,text_q1,53,false,1776342073105
3,text_q1,439,false,1776342073544
6,text_q1,521,false,1776342074065
11,text_q1,344,false,1776342074409
10,text_q1,551,true,1776342074960
9,text_q1,186,true,1776342075146
8,text_q1,209,true,1776342075355
7,text_q1,161,true,1776342075516
6,text_q1,194,true,1776342075710
10,text_q1,743,false,1776342076453
9,text_q1,335,true,1776342076788
1,text_q2,0,false,1776342080133
2,text_q2,215,false,1776342080348
3,text_q2,208,false,1776342080556
4,text_q2,182,false,1776342080738
5,text_q2,442,false,1776342081180
10,text_q2,290,false,1776342081470
9,text_q2,576,true,1776342082046
8,text_q2,194,true,1776342082240
7,text_q2,189,true,1776342082429
6,text_q2,164,true,1776342082593
5,text_q2,190,true,1776342082783
12,text_q2,523,false,1776342083306
11,text_q2,303,true,1776342083609
1,text_q3,0,false,1776342085860
2,text_q3,157,false,1776342086017
3,text_q3,194,false,1776342086211
2,text_q3,318,true,1776342086529
1,text_q3,154,true,1776342086683
0,text_q3,200,true,1776342086883
1,text_q3,550,false,1776342087433
1,text_q3,186,false,1776342087619
2,text_q3,150,false,1776342087769
2,text_q3,231,false,1776342088000
3,text_q3,129,false,1776342088129
4,text_q3,327,false,1776342088456
4,text_q3,194,false,1776342088650
5,text_q3,265,false,1776342088915
10,text_q3,546,false,1776342089461
15,text_q3,298,false,1776342089759
14,text_q3,441,true,1776342090200
1,text_q4,0,false,1776342093562
2,text_q4,212,false,1776342093774
3,text_q4,120,false,1776342093894
3,text_q4,99,false,1776342093993
4,text_q4,427,false,1776342094420
7,text_q4,537,false,1776342094957
10,text_q4,442,false,1776342095399
15,text_q4,406,false,1776342095805
14,text_q4,465,true,1776342096270
1,text_q5,0,false,1776342098520
2,text_q5,168,false,1776342098688
3,text_q5,106,false,1776342098794
4,text_q5,218,false,1776342099012
5,text_q5,601,false,1776342099613
8,text_q5,389,false,1776342100002
12,text_q5,393,false,1776342100395
11,text_q5,369,true,1776342100764
1,text_q6,0,false,1776342103562
2,text_q6,90,false,1776342103652
3,text_q6,108,false,1776342103760
3,text_q6,124,false,1776342103884
4,text_q6,121,false,1776342104005
8,text_q6,550,false,1776342104555
13,text_q6,406,false,1776342104961
18,text_q6,559,false,1776342105520
22,text_q6,516,false,1776342106036
26,text_q6,468,false,1776342106504
25,text_q6,593,true,1776342107097
26,text_q6,725,false,1776342107822
27,text_q6,236,false,1776342108058
30,text_q6,757,false,1776342108815
33,text_q6,374,false,1776342109189
37,text_q6,396,false,1776342109585
42,text_q6,722,false,1776342110307
47,text_q6,426,false,1776342110733
51,text_q6,573,false,1776342111306
50,text_q6,346,true,1776342111652
1,text_q7,0,false,1776342114033
2,text_q7,178,false,1776342114211
3,text_q7,79,false,1776342114290
4,text_q7,476,false,1776342114766
10,text_q7,397,false,1776342115163
10,text_q7,415,false,1776342115578
11,text_q7,241,false,1776342115819
14,text_q7,790,false,1776342116609
18,text_q7,389,false,1776342116998
17,text_q7,372,true,1776342117370
