answerId,holdMs,phase,pressure,size,timestamp,x,y
mc_q2_choice_D,0,DOWN,1.0,0.0627451,161191290,324.76172,126.33301
mc_q2_choice_D,61,UP,1.0,0.0627451,161191351,324.76172,126.33301
mc_q2_choice_C,0,DOWN,1.0,0.0627451,161191456,127.549805,58.08496
mc_q2_choice_C,77,UP,1.0,0.0627451,161191533,127.549805,58.08496
mc_q3_choice_D,0,DOWN,1.0,0.0627451,161192694,260.76562,90.21387
mc_q3_choice_D,62,UP,1.0,0.0627451,161192756,260.76562,90.21387
mc_q4_choice_B,0,DOWN,1.0,0.59607846,161192959,288.51367,56.51367
mc_q5_choice_A,0,DOWN,1.0,0.0627451,161193601,114.61328,1.0869141
mc_q5_choice_A,100,UP,1.0,0.0627451,161193701,114.61328,1.0869141
mc_q5_choice_B,0,DOWN,1.0,0.5647059,161193833,273.20215,84.39746
mc_q5_choice_B,95,UP,1.0,0.5647059,161193928,273.20215,84.39746
mc_q5_choice_C,0,DOWN,1.0,0.0627451,161194434,184.29688,103.95508
mc_q5_choice_C,90,UP,1.0,0.0627451,161194524,184.29688,103.95508
mc_q5_choice_D,0,DOWN,1.0,0.09411766,161194599,249.8916,74.206055
mc_q5_choice_D,74,UP,1.0,0.09411766,161194673,249.8916,74.206055
mc_q5_choice_C,0,DOWN,1.0,0.627451,161194765,189.04688,8.644531
mc_q5_choice_C,65,UP,1.0,0.627451,161194830,189.04688,8.644531
mc_q4_choice_B,0,DOWN,1.0,0.15686275,161195059,250.1416,44.97754
mc_q4_choice_B,127,UP,1.0,0.1254902,161195186,250.1416,44.97754
mc_q4_choice_D,0,DOWN,1.0,0.627451,161196015,348.07324,45.66211
mc_q4_choice_D,103,UP,1.0,0.627451,161196118,348.07324,45.66211
mc_q6_choice_A,0,DOWN,1.0,0.59607846,161197544,220.98242,70.140625
mc_q6_choice_A,104,UP,1.0,0.59607846,161197648,220.98242,70.140625
mc_q6_choice_B,0,DOWN,1.0,0.03137255,161197732,234.01758,71.703125
mc_q6_choice_B,78,UP,1.0,0.03137255,161197810,234.01758,71.703125
mc_q6_choice_D,0,DOWN,1.0,0.5647059,161197988,314.7002,73.88672
mc_q6_choice_D,107,UP,1.0,0.5647059,161198095,314.7002,73.88672
mc_q6_choice_C,0,DOWN,1.0,0.0627451,161198373,152.11133,58.07422
mc_q5_choice_B,0,DOWN,1.0,0.627451,161198928,337.76172,33.03418
mc_q8_choice_A,0,DOWN,1.0,0.0627451,161200609,196.1709,80.7041
mc_q8_choice_A,104,UP,1.0,0.09411766,161200713,196.1709,80.7041
mc_q7_choice_B,0,DOWN,1.0,0.59607846,161200991,259.70312,69.90918
mc_q7_choice_B,65,UP,1.0,0.59607846,161201056,259.70312,69.90918
mc_q8_choice_D,0,DOWN,1.0,0.59607846,161201438,371.32227,85.512695
mc_q9_choice_C,0,DOWN,1.0,0.5647059,161202067,163.17285,76.39453
mc_q9_choice_C,66,UP,1.0,0.5647059,161202133,163.17285,76.39453
mc_q10_choice_A,0,DOWN,1.0,0.09411766,161203813,94.86426,84.96387
mc_q10_choice_A,124,UP,1.0,0.09411766,161203937,94.86426,84.96387
mc_q10_choice_D,0,DOWN,1.0,0.59607846,161204137,312.0752,94.646484
mc_q10_choice_D,69,UP,1.0,0.59607846,161204206,312.0752,94.646484
mc_q11_choice_A,0,DOWN,1.0,0.1254902,161205408,276.167,28.22168
mc_q11_choice_A,64,UP,1.0,0.1254902,161205472,276.167,28.22168
mc_q12_choice_A,0,DOWN,1.0,0.15686275,161205730,163.73535,36.8291
mc_q12_choice_A,101,UP,1.0,0.15686275,161205831,163.73535,36.8291
mc_q12_choice_B,0,DOWN,1.0,0.1254902,161206054,201.20703,29.329102
mc_q13_choice_C,0,DOWN,1.0,0.5647059,161206609,165.29785,50.8916
mc_q13_choice_C,97,UP,1.0,0.5647059,161206706,165.29785,50.8916
mc_q13_choice_D,0,DOWN,1.0,0.03137255,161206921,240.8916,17.705078
mc_q13_choice_D,78,UP,1.0,0.0627451,161206999,240.8916,17.705078
mc_q13_choice_A,0,DOWN,1.0,0.0627451,161207244,118.30078,38.583984
mc_q13_choice_A,82,UP,1.0,0.09411766,161207326,118.30078,38.583984
mc_q14_choice_D,0,DOWN,1.0,0.627451,161208118,317.6377,18.151367
mc_q14_choice_D,77,UP,1.0,0.627451,161208195,317.6377,18.151367
mc_q14_choice_C,0,DOWN,1.0,0.03137255,161208416,72.42871,66.08789
mc_q14_choice_C,108,UP,1.0,0.0627451,161208524,72.42871,66.08789
mc_q14_choice_B,0,DOWN,1.0,0.627451,161208694,205.95605,27.530273
mc_q14_choice_B,82,UP,1.0,0.627451,161208776,205.95605,27.530273
mc_q14_choice_A,0,DOWN,1.0,0.53333336,161209212,360.6621,55.655273
mc_q14_choice_A,53,UP,1.0,0.5647059,161209265,360.6621,55.655273
