answerId,holdMs,phase,pressure,size,timestamp,x,y
mc_q1_choice_C,0,DOWN,1.0,0.65882355,155607797,347.7246,80.66211
mc_q1_choice_C,35,UP,1.0,0.65882355,155607832,347.7246,80.66211
mc_q2_choice_C,0,DOWN,1.0,0.627451,155608905,99.61426,76.02246
mc_q2_choice_C,60,UP,1.0,0.627451,155608965,99.61426,76.02246
mc_q2_choice_B,0,DOWN,1.0,0.5647059,155609276,290.38867,59.401367
mc_q2_choice_B,49,UP,1.0,0.5647059,155609325,290.38867,59.401367
mc_q2_choice_D,0,DOWN,1.0,0.03137255,155609567,300.95117,0.21191406
mc_q3_choice_B,0,DOWN,1.0,0.09411766,155610507,294.07617,43.719727
mc_q3_choice_B,69,UP,1.0,0.09411766,155610576,294.07617,43.719727
mc_q3_choice_D,0,DOWN,1.0,0.627451,155610768,327.69922,72.90234
mc_q4_choice_C,0,DOWN,1.0,0.627451,155612102,44.679688,89.39844
mc_q4_choice_C,48,UP,1.0,0.627451,155612150,44.679688,89.39844
mc_q4_choice_B,0,DOWN,1.0,0.5647059,155613938,350.69824,74.15234
mc_q4_choice_B,38,UP,1.0,0.5647059,155613976,350.69824,74.15234
mc_q4_choice_B,0,DOWN,1.0,0.5647059,155614201,358.88477,99.02734
mc_q5_choice_D,0,DOWN,1.0,0.1254902,155615295,429.25586,130.33203
mc_q5_choice_D,65,UP,1.0,0.1254902,155615360,429.25586,130.33203
mc_q6_choice_C,0,DOWN,1.0,0.0627451,155616395,139.1748,75.456055
mc_q6_choice_C,60,UP,1.0,0.0627451,155616455,139.1748,75.456055
mc_q7_choice_C,0,DOWN,1.0,0.15686275,155618021,87.990234,64.583984
mc_q7_choice_C,69,UP,1.0,0.15686275,155618090,87.990234,64.583984
mc_q8_choice_A,0,DOWN,1.0,0.09411766,155620894,109.61426,42.591797
mc_q8_choice_A,112,UP,1.0,0.09411766,155621006,109.61426,42.591797
mc_q8_choice_D,0,DOWN,1.0,0.5647059,155621406,351.19824,5.151367
mc_q9_choice_A,0,DOWN,1.0,0.1254902,155622114,124.67578,62.711914
mc_q9_choice_A,128,UP,1.0,0.1254902,155622242,124.67578,62.711914
mc_q10_choice_C,0,DOWN,1.0,0.03137255,155623974,151.86133,88.33301
mc_q10_choice_C,123,UP,1.0,0.03137255,155624097,151.86133,88.33301
mc_q11_choice_A,0,DOWN,1.0,0.59607846,155626545,123.36328,101.15137
mc_q11_choice_A,135,UP,1.0,0.627451,155626680,123.36328,101.15137
mc_q12_choice_C,0,DOWN,1.0,0.5647059,155628383,105.92676,47.020508
mc_q12_choice_C,82,UP,1.0,0.5647059,155628465,105.92676,47.020508
mc_q13_choice_C,0,DOWN,1.0,0.09411766,155630576,56.554688,88.586914
mc_q13_choice_C,55,UP,1.0,0.1254902,155630631,56.554688,88.586914
mc_q14_choice_D,0,DOWN,1.0,0.59607846,155631835,361.82227,57.276367
mc_q14_choice_D,69,UP,1.0,0.59607846,155631904,361.82227,57.276367
