phase,pointerId,pressure,size,timestamp,x,y
DOWN,0,1.0,0.0,248717115,441.0,1418.25
MOVE,0,1.0,0.0,248717171,438.11816,1387.0566
MOVE,0,1.0,0.0,248717188,421.2754,1280.249
MOVE,0,1.0,0.0,248717205,400.3125,1152.9365
MOVE,0,1.0,0.0,248717221,378.38965,1061.5391
MOVE,0,1.0,0.0,248717238,347.73828,976.8965
MOVE,0,1.0,0.0,248717255,311.9961,903.3496
MOVE,0,1.0,0.0,248717271,280.4453,843.6221
MOVE,0,1.0,0.0,248717288,249.20898,794.708
MOVE,0,1.0,0.0,248717305,227.97754,762.3906
MOVE,0,1.0,0.0,248717321,214.76074,745.25977
MOVE,0,1.0,0.0,248717338,192.89355,718.4707
MOVE,0,1.0,0.0,248717355,180.75586,704.46484
MOVE,0,1.0,0.0,248717371,174.8711,698.91406
MOVE,0,1.0,0.0,248717388,172.17871,697.46484
MOVE,0,1.0,0.0,248717404,170.71875,697.375
MOVE,0,1.0,0.0,248717421,170.51172,697.375
MOVE,0,1.0,0.0,248717431,169.5,698.25
UP,0,1.0,0.0,248717435,169.5,698.25
MOVE,0,1.0,0.0,248718338,326.27637,1563.6826
MOVE,0,1.0,0.0,248718355,310.2754,1430.8857
MOVE,0,1.0,0.0,248718371,276.52344,1329.7646
MOVE,0,1.0,0.0,248718388,244.56738,1250.8984
MOVE,0,1.0,0.0,248718405,216.1543,1190.1865
MOVE,0,1.0,0.0,248718421,192.54395,1143.8066
MOVE,0,1.0,0.0,248718438,184.5039,1128.8906
MOVE,0,1.0,0.0,248718455,166.73047,1099.0752
MOVE,0,1.0,0.0,248718471,149.55566,1074.3545
MOVE,0,1.0,0.0,248718488,142.4502,1060.5342
MOVE,0,1.0,0.0,248718504,139.87012,1056.7451
MOVE,0,1.0,0.0,248718521,138.84375,1055.4688
UP,0,1.0,0.0,248718549,138.875,1055.5
MOVE,0,1.0,0.0,248719305,253.8457,1359.2842
MOVE,0,1.0,0.0,248719321,222.94629,1296.3125
MOVE,0,1.0,0.0,248719338,182.125,1235.4541
MOVE,0,1.0,0.0,248719349,140.875,1185.375
UP,0,1.0,0.0,248719354,140.875,1185.375
DOWN,0,1.0,0.0,248719593,258.375,1666.5
MOVE,0,1.0,0.0,248719671,255.06543,1627.1494
MOVE,0,1.0,0.0,248719688,242.02734,1545.6357
MOVE,0,1.0,0.0,248719705,227.80469,1487.4229
MOVE,0,1.0,0.0,248719721,212.98535,1444.585
MOVE,0,1.0,0.0,248719738,203.18262,1416.5332
MOVE,0,1.0,0.0,248719754,197.2207,1400.6045
MOVE,0,1.0,0.0,248719771,192.24805,1391.9131
MOVE,0,1.0,0.0,248719788,189.39453,1387.7803
MOVE,0,1.0,0.0,248719804,187.05176,1384.8018
MOVE,0,1.0,0.0,248719821,185.71582,1383.2158
MOVE,0,1.0,0.0,248719838,184.33301,1382.0586
MOVE,0,1.0,0.0,248719839,183.875,1381.875
UP,0,1.0,0.0,248719844,183.875,1381.875
