answerId,holdMs,phase,pressure,size,timestamp,x,y
mc_q3_choice_A,0,DOWN,1.0,0.0,249087719,133.75,34.625
mc_q1_choice_B,0,DOWN,1.0,0.0,249091185,244.5,129.375
mc_q1_choice_B,53,UP,1.0,0.0,249091238,244.5,129.375
mc_q3_choice_C,0,DOWN,1.0,0.0,249091457,136.625,32.625
mc_q2_choice_D,0,DOWN,1.0,0.0,249092000,245.375,107.25
mc_q2_choice_D,71,UP,1.0,0.0,249092071,245.375,107.25
mc_q3_choice_C,0,DOWN,1.0,0.0,249092220,105.0,1.75
mc_q3_choice_C,63,UP,1.0,0.0,249092283,105.0,1.75
mc_q4_choice_D,0,DOWN,1.0,0.0,249093595,302.5,101.125
mc_q4_choice_D,61,UP,1.0,0.0,249093656,302.5,101.125
mc_q5_choice_D,0,DOWN,1.0,0.0,249093880,257.875,14.625
mc_q5_choice_D,50,UP,1.0,0.0,249093930,257.875,14.625
mc_q6_choice_A,0,DOWN,1.0,0.0,249094083,195.875,120.625
mc_q6_choice_C,0,DOWN,1.0,0.0,249094968,386.875,117.75
mc_q6_choice_C,55,UP,1.0,0.0,249095023,386.875,117.75
mc_q7_choice_C,0,DOWN,1.0,0.0,249095309,174.375,80.5
mc_q7_choice_C,100,UP,1.0,0.0,249095409,174.375,80.5
mc_q8_choice_B,0,DOWN,1.0,0.0,249095533,196.75,118.25
mc_q8_choice_B,46,UP,1.0,0.0,249095579,196.75,118.25
mc_q9_choice_D,0,DOWN,1.0,0.0,249096652,302.375,62.375
mc_q9_choice_D,58,UP,1.0,0.0,249096710,302.375,62.375
mc_q11_choice_A,0,DOWN,1.0,0.0,249096924,186.875,27.75
mc_q11_choice_A,96,UP,1.0,0.0,249097020,186.875,27.75
mc_q10_choice_D,0,DOWN,1.0,0.0,249097694,159.0,37.375
mc_q10_choice_D,63,UP,1.0,0.0,249097757,159.0,37.375
mc_q13_choice_C,0,DOWN,1.0,0.0,249099018,96.5,34.625
mc_q13_choice_C,87,UP,1.0,0.0,249099105,96.5,34.625
mc_q14_choice_B,0,DOWN,1.0,0.0,249099333,242.875,98.25
mc_q14_choice_B,65,UP,1.0,0.0,249099398,242.875,98.25
mc_q12_choice_B,0,DOWN,1.0,0.0,249099684,235.0,76.125
mc_q12_choice_B,62,UP,1.0,0.0,249099746,235.0,76.125
mc_q14_choice_A,0,DOWN,1.0,0.0,249099876,214.25,107.125
