phase,pointerId,pressure,size,timestamp,x,y
DOWN,0,1.0,0.03137255,115335669,672.62695,718.18945
MOVE,0,1.0,0.027450982,115335702,671.83594,719.8594
UP,0,1.0,0.027450982,115335711,671.83594,719.8594
DOWN,0,1.0,0.03137255,115335836,612.2461,815.0449
MOVE,0,1.0,0.03137255,115335852,613.7233,813.52246
MOVE,0,1.0,0.027450982,115335866,614.8828,812.54004
MOVE,0,1.0,0.027450982,115335870,615.1465,812.2617
UP,0,1.0,0.027450982,115335878,615.1465,812.2617
DOWN,0,1.0,0.03529412,115336003,589.834,845.66016
MOVE,0,1.0,0.03137255,115336020,590.3613,844.5469
MOVE,0,1.0,0.027450982,115336045,589.834,845.1035
UP,0,1.0,0.027450982,115336054,589.834,845.1035
DOWN,0,1.0,0.023529414,115336213,538.68164,856.2363
MOVE,0,1.0,0.03137255,115336237,542.6558,856.79297
MOVE,0,1.0,0.03137255,115336250,545.8008,857.3496
MOVE,0,1.0,0.03137255,115336267,550.9424,857.3496
MOVE,0,1.0,0.03137255,115336284,556.6113,857.0713
MOVE,0,1.0,0.03137255,115336300,557.79785,854.8447
MOVE,0,1.0,0.03137255,115336317,557.5342,852.0615
MOVE,0,1.0,0.03137255,115336333,554.89746,849.0
MOVE,0,1.0,0.03137255,115336338,553.44727,848.44336
UP,0,1.0,0.03137255,115336346,553.44727,848.44336
DOWN,0,1.0,0.03137255,115336480,519.96094,855.6797
MOVE,0,1.0,0.03137255,115336497,519.96094,855.12305
MOVE,0,1.0,0.03137255,115336520,520.2595,854.5664
MOVE,0,1.0,0.027450982,115336522,520.2246,854.5664
UP,0,1.0,0.027450982,115336530,520.2246,854.5664
DOWN,0,1.0,0.03137255,115336647,498.07617,812.81836
MOVE,0,1.0,0.039215688,115336671,497.09137,814.89746
MOVE,0,1.0,0.03529412,115336685,496.23047,816.71484
MOVE,0,1.0,0.03137255,115336702,494.78027,817.8281
MOVE,0,1.0,0.03137255,115336715,489.375,819.49805
UP,0,1.0,0.03137255,115336723,489.375,819.49805
DOWN,0,1.0,0.027450982,115336990,765.7031,1285.4062
MOVE,0,1.0,0.023529414,115337039,763.76843,1281.8048
MOVE,0,1.0,0.023529414,115337053,758.2828,1273.752
MOVE,0,1.0,0.023529414,115337070,748.1684,1255.8602
MOVE,0,1.0,0.023529414,115337087,742.33875,1237.6553
MOVE,0,1.0,0.023529414,115337091,741.18164,1232.5254
UP,0,1.0,0.023529414,115337099,741.18164,1232.5254
DOWN,0,1.0,0.03137255,115337116,596.1621,821.7246
MOVE,0,1.0,0.03137255,115337140,597.4106,824.917
MOVE,0,1.0,0.03137255,115337154,597.876,827.0127
MOVE,0,1.0,0.03137255,115337170,597.876,832.02246
MOVE,0,1.0,0.03137255,115337187,596.1621,838.4238
MOVE,0,1.0,0.03137255,115337204,594.05273,841.20703
MOVE,0,1.0,0.03137255,115337221,592.33887,841.7637
MOVE,0,1.0,0.03137255,115337237,591.6797,842.3203
MOVE,0,1.0,0.03137255,115337249,592.4707,842.3203
MOVE,0,1.0,0.03137255,115337274,594.2116,841.7637
MOVE,0,1.0,0.03137255,115337283,594.84375,841.7637
MOVE,0,1.0,0.027450982,115337309,594.3164,841.7637
DOWN,1,1.0,0.023529414,115337317,716.9238,1214.7129
UP,0,1.0,0.027450982,115337325,594.3164,841.7637
MOVE,1,1.0,0.027450982,115337340,715.71027,1216.3091
MOVE,1,1.0,0.03137255,115337354,714.41895,1217.2178
