charCount,fieldId,interKeyMs,isDelete,timestamp
1,text_q1,0,false,1776267183350
2,text_q1,123,false,1776267183473
3,text_q1,90,false,1776267183563
4,text_q1,108,false,1776267183671
5,text_q1,69,false,1776267183740
6,text_q1,158,false,1776267183898
7,text_q1,85,false,1776267183983
8,text_q1,155,false,1776267184138
9,text_q1,88,false,1776267184226
1,text_q2,0,false,1776267185988
2,text_q2,95,false,1776267186083
3,text_q2,91,false,1776267186174
4,text_q2,98,false,1776267186272
5,text_q2,73,false,1776267186345
6,text_q2,122,false,1776267186467
7,text_q2,24,false,1776267186491
8,text_q2,37,false,1776267186528
9,text_q2,123,false,1776267186651
10,text_q2,24,false,1776267186675
11,text_q2,60,false,1776267186735
12,text_q2,149,false,1776267186884
1,text_q3,0,false,1776267188585
2,text_q3,92,false,1776267188677
3,text_q3,76,false,1776267188753
4,text_q3,105,false,1776267188858
5,text_q3,96,false,1776267188954
6,text_q3,104,false,1776267189058
7,text_q3,59,false,1776267189117
8,text_q3,139,false,1776267189256
9,text_q3,69,false,1776267189325
10,text_q3,147,false,1776267189472
1,text_q4,0,false,1776267190712
2,text_q4,76,false,1776267190788
3,text_q4,121,false,1776267190909
4,text_q4,77,false,1776267190986
5,text_q4,113,false,1776267191099
6,text_q4,84,false,1776267191183
7,text_q4,84,false,1776267191267
8,text_q4,91,false,1776267191358
9,text_q4,104,false,1776267191462
1,text_q5,0,false,1776267193070
2,text_q5,68,false,1776267193138
3,text_q5,98,false,1776267193236
4,text_q5,98,false,1776267193334
5,text_q5,76,false,1776267193410
6,text_q5,105,false,1776267193515
7,text_q5,63,false,1776267193578
8,text_q5,99,false,1776267193677
9,text_q5,60,false,1776267193737
10,text_q5,147,false,1776267193884
1,text_q6,0,false,1776267195538
2,text_q6,48,false,1776267195586
3,text_q6,132,false,1776267195718
4,text_q6,76,false,1776267195794
5,text_q6,91,false,1776267195885
6,text_q6,121,false,1776267196006
7,text_q6,114,false,1776267196120
8,text_q6,86,false,1776267196206
9,text_q6,83,false,1776267196289
1,text_q7,0,false,1776267198047
2,text_q7,65,false,1776267198112
3,text_q7,109,false,1776267198221
4,text_q7,76,false,1776267198297
5,text_q7,92,false,1776267198389
6,text_q7,115,false,1776267198504
7,text_q7,59,false,1776267198563
8,text_q7,175,false,1776267198738
9,text_q7,142,false,1776267198880
