charCount,fieldId,interKeyMs,isDelete,timestamp
1,text_q6,0,false,1776391407631
2,text_q6,189,false,1776391407820
3,text_q6,164,false,1776391407984
4,text_q6,110,false,1776391408094
5,text_q6,123,false,1776391408217
6,text_q6,159,false,1776391408376
7,text_q6,91,false,1776391408467
8,text_q6,222,false,1776391408689
9,text_q6,249,false,1776391408938
10,text_q6,361,false,1776391409299
11,text_q6,227,false,1776391409526
12,text_q6,321,false,1776391409847
13,text_q6,124,false,1776391409971
14,text_q6,92,false,1776391410063
15,text_q6,200,false,1776391410263
16,text_q6,103,false,1776391410366
17,text_q6,201,false,1776391410567
17,text_q6,58,false,1776391410625
18,text_q6,419,false,1776391411044
19,text_q6,150,false,1776391411194
20,text_q6,155,false,1776391411349
21,text_q6,135,false,1776391411484
22,text_q6,204,false,1776391411688
23,text_q6,100,false,1776391411788
24,text_q6,601,false,1776391412389
25,text_q6,200,false,1776391412589
1,text_q5,0,false,1776391416506
2,text_q5,209,false,1776391416715
3,text_q5,302,false,1776391417017
4,text_q5,248,false,1776391417265
5,text_q5,168,false,1776391417433
4,text_q5,1657,false,1776391419090
3,text_q5,187,false,1776391419277
2,text_q5,152,false,1776391419429
1,text_q5,142,false,1776391419571
0,text_q5,175,true,1776391419746
1,text_q5,2353,false,1776391422099
2,text_q5,140,false,1776391422239
3,text_q5,39,false,1776391422278
4,text_q5,177,false,1776391422455
5,text_q5,18,false,1776391422473
6,text_q5,124,false,1776391422597
7,text_q5,32,false,1776391422629
6,text_q5,580,false,1776391423209
1,text_q4,0,false,1776391426422
1,text_q4,149,false,1776391426571
2,text_q4,190,false,1776391426761
1,text_q4,334,false,1776391427095
0,text_q4,184,true,1776391427279
1,text_q4,1416,false,1776391428695
2,text_q4,109,false,1776391428804
3,text_q4,133,false,1776391428937
4,text_q4,116,false,1776391429053
5,text_q4,62,false,1776391429115
6,text_q4,172,false,1776391429287
7,text_q4,157,false,1776391429444
8,text_q4,10,false,1776391429454
9,text_q4,210,false,1776391429664
10,text_q4,28,false,1776391429692
11,text_q4,298,false,1776391429990
10,text_q4,146,true,1776391430136
9,text_q4,162,true,1776391430298
8,text_q4,158,true,1776391430456
7,text_q4,152,true,1776391430608
6,text_q4,149,true,1776391430757
7,text_q4,367,false,1776391431124
8,text_q4,107,false,1776391431231
9,text_q4,245,false,1776391431476
9,text_q4,60,false,1776391431536
10,text_q4,223,false,1776391431759
11,text_q4,367,false,1776391432126
12,text_q4,147,false,1776391432273
13,text_q4,117,false,1776391432390
14,text_q4,294,false,1776391432684
15,text_q4,250,false,1776391432934
16,text_q4,337,false,1776391433271
15,text_q4,224,false,1776391433495
16,text_q4,205,false,1776391433700
17,text_q4,208,false,1776391433908
16,text_q4,306,false,1776391434214
15,text_q4,165,false,1776391434379
14,text_q4,158,true,1776391434537
15,text_q4,174,false,1776391434711
15,text_q4,184,false,1776391434895
16,text_q4,249,false,1776391435144
17,text_q4,238,false,1776391435382
18,text_q4,204,false,1776391435586
19,text_q4,865,false,1776391436451
20,text_q4,65,false,1776391436516
21,text_q4,1607,false,1776391438123
22,text_q4,1348,false,1776391439471
23,text_q4,135,false,1776391439606
24,text_q4,178,false,1776391439784
1,text_q3,0,false,1776391446031
2,text_q3,584,false,1776391446615
3,text_q3,166,false,1776391446781
4,text_q3,133,false,1776391446914
5,text_q3,183,false,1776391447097
6,text_q3,276,false,1776391447373
7,text_q3,9,false,1776391447382
8,text_q3,210,false,1776391447592
9,text_q3,8,false,1776391447600
10,text_q3,130,false,1776391447730
11,text_q3,239,false,1776391447969
12,text_q3,194,false,1776391448163
13,text_q3,124,false,1776391448287
14,text_q3,165,false,1776391448452
15,text_q3,104,false,1776391448556
15,text_q3,161,false,1776391448717
16,text_q3,9,false,1776391448726
16,text_q3,993,false,1776391449719
1,text_q2,0,false,1776391454705
2,text_q2,242,false,1776391454947
2,text_q2,139,false,1776391455086
3,text_q2,153,false,1776391455239
4,text_q2,150,false,1776391455389
5,text_q2,442,false,1776391455831
6,text_q2,940,false,1776391456771
7,text_q2,281,false,1776391457052
1,text_q1,0,false,1776391460481
2,text_q1,116,false,1776391460597
3,text_q1,141,false,1776391460738
3,text_q1,97,false,1776391460835
4,text_q1,316,false,1776391461151
5,text_q1,179,false,1776391461330
4,text_q1,198,true,1776391461528
3,text_q1,164,true,1776391461692
4,text_q1,282,false,1776391461974
5,text_q1,77,false,1776391462051
6,text_q1,210,false,1776391462261
7,text_q1,108,false,1776391462369
8,text_q1,208,false,1776391462577
9,text_q1,440,false,1776391463017
8,text_q1,237,false,1776391463254
7,text_q1,149,true,1776391463403
6,text_q1,159,true,1776391463562
5,text_q1,157,true,1776391463719
4,text_q1,177,true,1776391463896
3,text_q1,156,true,1776391464052
4,text_q1,392,false,1776391464444
5,text_q1,358,false,1776391464802
6,text_q1,148,false,1776391464950
6,text_q1,248,false,1776391465198
7,text_q1,65,false,1776391465263
8,text_q1,156,false,1776391465419
9,text_q1,218,false,1776391465637
10,text_q1,114,false,1776391465751
10,text_q1,39,false,1776391465790
10,text_q1,152,false,1776391465942
11,text_q1,330,false,1776391466272
12,text_q1,726,false,1776391466998
13,text_q1,140,false,1776391467138
14,text_q1,116,false,1776391467254
1,text_q7,0,false,1776391632279
2,text_q7,184,false,1776391632463
2,text_q7,268,false,1776391632731
3,text_q7,327,false,1776391633058
4,text_q7,1265,false,1776391634323
5,text_q7,223,false,1776391634546
6,text_q7,489,false,1776391635035
6,text_q7,289,false,1776391635324
6,text_q7,409,false,1776391635733
7,text_q7,536,false,1776391636269
8,text_q7,566,false,1776391636835
9,text_q7,125,false,1776391636960
10,text_q7,150,false,1776391637110
11,text_q7,138,false,1776391637248
