phase,pointerId,pressure,size,timestamp,x,y
DOWN,0,1.0,0.037254903,301512328,789.96094,1353.4619
MOVE,0,1.0,0.04117647,301512359,788.4834,1352.9668
MOVE,0,1.0,0.04117647,301512364,787.85156,1351.748
MOVE,0,1.0,0.03529412,301512373,786.32227,1344.4043
MOVE,0,1.0,0.04117647,301512383,785.083,1317.7393
MOVE,0,1.0,0.04509804,301512393,785.9951,1268.1973
MOVE,0,1.0,0.050980397,301512402,789.1387,1210.6455
MOVE,0,1.0,0.060784318,301512410,797.7842,1145.0273
MOVE,0,1.0,0.04117647,301512418,816.666,1073.1074
MOVE,0,1.0,0.037254903,301512427,847.3965,999.4287
MOVE,0,1.0,0.023529414,301512435,878.2461,933.08496
MOVE,0,1.0,0.023529414,301512435,878.5547,932.4219
UP,0,1.0,0.023529414,301512443,878.5547,932.4219
DOWN,0,1.0,0.05686275,301512652,852.9785,887.8613
MOVE,0,1.0,0.050980397,301512668,850.88477,891.40625
MOVE,0,1.0,0.04509804,301512673,847.9209,896.51465
MOVE,0,1.0,0.04705883,301512683,839.5049,913.2549
MOVE,0,1.0,0.05686275,301512694,823.8379,948.1328
MOVE,0,1.0,0.050980397,301512702,793.9531,1024.7705
MOVE,0,1.0,0.04117647,301512710,751.1035,1153.3623
MOVE,0,1.0,0.04117647,301512719,713.08496,1292.0889
MOVE,0,1.0,0.013725491,301512727,660.7588,1517.4443
MOVE,0,1.0,0.013725491,301512727,660.2344,1519.707
UP,0,1.0,0.013725491,301512735,660.2344,1519.707
DOWN,0,1.0,0.04509804,301512911,778.8867,1439.1553
MOVE,0,1.0,0.04117647,301512926,779.57324,1434.544
MOVE,0,1.0,0.050980397,301512932,780.83984,1427.4023
MOVE,0,1.0,0.04509804,301512942,785.46875,1403.8457
MOVE,0,1.0,0.04509804,301512952,794.625,1364.6592
MOVE,0,1.0,0.050980397,301512961,817.93945,1275.5215
MOVE,0,1.0,0.04509804,301512969,861.2451,1133.2305
MOVE,0,1.0,0.037254903,301512977,915.4531,983.05566
MOVE,0,1.0,0.013725491,301512985,1002.66016,750.2324
MOVE,0,1.0,0.013725491,301512985,1003.53516,747.8955
UP,0,1.0,0.013725491,301512994,1003.53516,747.8955
DOWN,0,1.0,0.050980397,301513913,929.1797,839.30176
MOVE,0,1.0,0.04117647,301513927,927.54395,841.85547
MOVE,0,1.0,0.04509804,301513933,924.5654,846.1572
MOVE,0,1.0,0.04117647,301513942,915.4404,860.39746
MOVE,0,1.0,0.04117647,301513953,896.31445,892.39844
MOVE,0,1.0,0.05686275,301513962,857.0625,966.5283
MOVE,0,1.0,0.04117647,301513970,800.28613,1088.8691
MOVE,0,1.0,0.037254903,301513978,748.8154,1219.6143
MOVE,0,1.0,0.025490198,301513987,709.66797,1340.2598
MOVE,0,1.0,0.01764706,301513995,668.2949,1485.1211
MOVE,0,1.0,0.01764706,301513995,667.88086,1486.5723
UP,0,1.0,0.01764706,301514003,667.88086,1486.5723
DOWN,0,1.0,0.04117647,301514229,839.2676,925.5664
MOVE,0,1.0,0.05686275,301514244,836.9453,929.1113
MOVE,0,1.0,0.04117647,301514250,833.30273,934.97363
MOVE,0,1.0,0.04117647,301514260,821.8086,955.05176
MOVE,0,1.0,0.05686275,301514270,801.4678,994.92676
MOVE,0,1.0,0.04509804,301514279,763.1875,1081.7969
MOVE,0,1.0,0.04117647,301514288,714.5117,1214.4502
MOVE,0,1.0,0.04117647,301514295,676.6953,1344.7324
MOVE,0,1.0,0.023529414,301514303,629.5928,1554.167
MOVE,0,1.0,0.023529414,301514303,629.1211,1556.2695
UP,0,1.0,0.023529414,301514312,629.1211,1556.2695
DOWN,0,1.0,0.05686275,301514554,871.6992,979.2676
MOVE,0,1.0,0.04117647,301514570,870.55566,980.7549
MOVE,0,1.0,0.04705883,301514575,868.667,984.4092
MOVE,0,1.0,0.05686275,301514584,863.4131,994.86914
MOVE,0,1.0,0.050980397,301514594,852.8115,1016.8779
MOVE,0,1.0,0.05686275,301514604,826.8535,1079.2266
MOVE,0,1.0,0.05686275,301514612,789.2832,1179.3555
MOVE,0,1.0,0.04117647,301514621,753.667,1290.6484
MOVE,0,1.0,0.037254903,301514628,702.14746,1467.6572
MOVE,0,1.0,0.037254903,301514629,701.63086,1469.4336
UP,0,1.0,0.037254903,301514637,701.63086,1469.4336
DOWN,0,1.0,0.023529414,301514855,239.15039,1435.7275
MOVE,0,1.0,0.03137255,301514870,238.92188,1432.6787
MOVE,0,1.0,0.037254903,301514875,238.0957,1428.3008
MOVE,0,1.0,0.03529412,301514884,234.73242,1414.5479
MOVE,0,1.0,0.037254903,301514896,226.81152,1384.3789
MOVE,0,1.0,0.037254903,301514904,205.87207,1318.6934
MOVE,0,1.0,0.037254903,301514913,165.2041,1214.542
MOVE,0,1.0,0.023529414,301514921,112.06543,1103.7744
MOVE,0,1.0,0.003921569,301514929,12.079102,926.7715
MOVE,0,1.0,0.003921569,301514929,11.074219,924.9951
UP,0,1.0,0.003921569,301514937,11.074219,924.9951
DOWN,0,1.0,0.04117647,301515096,872.49023,976.41113
MOVE,0,1.0,0.04509804,301515112,872.0332,977.89844
MOVE,0,1.0,0.050980397,301515117,870.77637,980.41016
MOVE,0,1.0,0.050980397,301515126,867.0137,988.8965
MOVE,0,1.0,0.050980397,301515136,859.30176,1007.84375
MOVE,0,1.0,0.04509804,301515146,838.14453,1065.5664
MOVE,0,1.0,0.060784318,301515155,806.36426,1163.9482
MOVE,0,1.0,0.05686275,301515163,774.45996,1280.8799
MOVE,0,1.0,0.04117647,301515171,747.77637,1400.8223
MOVE,0,1.0,0.023529414,301515179,716.4463,1556.4238
MOVE,0,1.0,0.023529414,301515179,716.1328,1557.9834
UP,0,1.0,0.023529414,301515188,716.1328,1557.9834
MOVE,0,1.0,0.037254903,301519910,973.39746,1372.0918
MOVE,0,1.0,0.025490198,301519919,981.8301,1331.5869
MOVE,0,1.0,0.027450982,301519927,988.4404,1289.8945
MOVE,0,1.0,0.03137255,301519935,993.2041,1246.4941
MOVE,0,1.0,0.027450982,301519944,995.33984,1201.9443
MOVE,0,1.0,0.03137255,301519952,994.5781,1156.8184
MOVE,0,1.0,0.03137255,301519961,992.2207,1112.252
MOVE,0,1.0,0.04117647,301519969,991.1533,1071.085
MOVE,0,1.0,0.03529412,301519977,991.66504,1034.4766
MOVE,0,1.0,0.04117647,301519986,991.93066,1003.0049
MOVE,0,1.0,0.04117647,301519994,992.97754,976.6738
MOVE,0,1.0,0.037254903,301520002,994.5547,955.48535
MOVE,0,1.0,0.04117647,301520010,995.8369,941.00684
MOVE,0,1.0,0.04117647,301520018,996.9717,931.03125
MOVE,0,1.0,0.04117647,301520024,998.73926,922.72363
MOVE,0,1.0,0.04117647,301520032,1000.9131,914.14746
MOVE,0,1.0,0.04509804,301520040,1003.5342,904.84863
MOVE,0,1.0,0.037254903,301520049,1006.3125,895.6875
MOVE,0,1.0,0.03137255,301520057,1008.97363,887.1846
MOVE,0,1.0,0.03137255,301520065,1011.36426,878.501
MOVE,0,1.0,0.03137255,301520073,1012.7637,871.29395
MOVE,0,1.0,0.03137255,301520082,1013.81836,865.00977
MOVE,0,1.0,0.03137255,301520090,1014.7412,859.583
MOVE,0,1.0,0.03137255,301520098,1015.5322,855.29785
MOVE,0,1.0,0.03137255,301520107,1016.0596,852.4414
MOVE,0,1.0,0.03137255,301520115,1016.0596,850.72754
MOVE,0,1.0,0.03137255,301520119,1015.92773,850.15625
MOVE,0,1.0,0.025490198,301520151,1016.15625,850.15625
MOVE,0,1.0,0.025490198,301520157,1016.4551,850.15625
MOVE,0,1.0,0.023529414,301520165,1017.3779,849.8711
MOVE,0,1.0,0.01764706,301520173,1018.6963,849.58496
MOVE,0,1.0,0.01764706,301520178,1019.35547,849.58496
UP,0,1.0,0.01764706,301520186,1019.35547,849.58496
DOWN,0,1.0,0.03137255,301520361,151.875,902.14355
MOVE,0,1.0,0.03529412,301520402,150.9248,902.63965
MOVE,0,1.0,0.03137255,301520407,150.16113,903.28613
MOVE,0,1.0,0.01764706,301520415,147.91992,905.0
MOVE,0,1.0,0.01764706,301520419,146.33789,906.1426
UP,0,1.0,0.01764706,301520427,146.33789,906.1426
DOWN,0,1.0,0.037254903,301520536,903.6035,995.83496
MOVE,0,1.0,0.037254903,301520569,903.375,994.76855
MOVE,0,1.0,0.037254903,301520570,903.33984,994.6924
MOVE,0,1.0,0.03137255,301520594,902.8828,995.1885
MOVE,0,1.0,0.0058823535,301520595,902.8125,995.2637
UP,0,1.0,0.0058823535,301520603,902.8125,995.2637
DOWN,0,1.0,0.027450982,301520628,174.55078,1054.6777
MOVE,0,1.0,0.027450982,301520685,173.30273,1056.2402
MOVE,0,1.0,0.015686275,301520686,173.23242,1056.3916
UP,0,1.0,0.015686275,301520694,173.23242,1056.3916
UP,0,1.0,0.0058823535,301523623,892.2656,1062.6758
DOWN,0,1.0,0.023529414,301525268,902.5488,1326.6113
MOVE,0,1.0,0.025490198,301525283,902.5488,1326.1162
MOVE,0,1.0,0.025490198,301525288,902.68066,1325.1836
MOVE,0,1.0,0.027450982,301525296,903.33984,1322.3271
MOVE,0,1.0,0.03137255,301525305,904.79004,1316.8994
MOVE,0,1.0,0.025490198,301525314,908.83105,1301.3809
MOVE,0,1.0,0.027450982,301525326,919.8594,1262.9414
MOVE,0,1.0,0.023529414,301525334,930.13184,1229.2578
MOVE,0,1.0,0.01764706,301525342,940.9365,1194.4209
MOVE,0,1.0,0.025490198,301525350,951.4863,1160.7031
MOVE,0,1.0,0.03137255,301525359,962.55566,1126.4316
MOVE,0,1.0,0.03137255,301525367,972.8467,1092.1543
MOVE,0,1.0,0.03137255,301525376,983.3906,1057.877
MOVE,0,1.0,0.03137255,301525384,994.19824,1024.165
MOVE,0,1.0,0.03137255,301525392,1003.44336,994.41797
MOVE,0,1.0,0.03137255,301525401,1009.7998,966.4082
MOVE,0,1.0,0.03137255,301525409,1013.7793,940.67676
MOVE,0,1.0,0.03137255,301525417,1016.68945,918.3623
MOVE,0,1.0,0.025490198,301525426,1018.0244,898.3447
MOVE,0,1.0,0.025490198,301525434,1018.2969,881.81445
MOVE,0,1.0,0.025490198,301525442,1018.8047,866.83203
MOVE,0,1.0,0.025490198,301525450,1021.02734,848.68164
MOVE,0,1.0,0.029411767,301525459,1022.45605,833.7012
MOVE,0,1.0,0.025490198,301525466,1022.94434,823.36035
MOVE,0,1.0,0.025490198,301525473,1023.4053,814.03613
MOVE,0,1.0,0.025490198,301525481,1024.8828,803.64746
MOVE,0,1.0,0.025490198,301525490,1026.9062,792.1211
MOVE,0,1.0,0.023529414,301525497,1028.8008,783.9795
MOVE,0,1.0,0.023529414,301525505,1030.166,778.7451
MOVE,0,1.0,0.029411767,301525513,1030.957,774.1748
MOVE,0,1.0,0.029411767,301525522,1031.6162,770.4619
MOVE,0,1.0,0.029411767,301525530,1032.2754,767.8906
MOVE,0,1.0,0.029411767,301525538,1032.8027,766.4629
MOVE,0,1.0,0.029411767,301525542,1033.0664,766.17676
MOVE,0,1.0,0.023529414,301525584,1033.0664,766.17676
MOVE,0,1.0,0.01764706,301525616,1035.459,766.17676
MOVE,0,1.0,0.01764706,301525622,1036.7578,766.17676
MOVE,0,1.0,0.0058823535,301525626,1037.8125,766.17676
UP,0,1.0,0.0058823535,301525634,1037.8125,766.17676
DOWN,0,1.0,0.01764706,301528922,859.04297,1439.1553
MOVE,0,1.0,0.03137255,301528946,859.04297,1436.5264
MOVE,0,1.0,0.03137255,301528960,859.5703,1428.0156
MOVE,0,1.0,0.03137255,301528969,861.8037,1411.499
MOVE,0,1.0,0.03137255,301528980,868.4795,1368.1045
MOVE,0,1.0,0.03529412,301528989,876.10547,1325.8916
MOVE,0,1.0,0.037254903,301528997,885.5791,1277.96
