answerId,holdMs,phase,pressure,size,timestamp,x,y
mc_q1_choice_D,0,DOWN,1.0,0.04117647,301515706,387.24414,89.78906
mc_q1_choice_D,66,UP,1.0,0.0058823535,301515772,402.27344,80.07715
mc_q1_choice_C,0,DOWN,1.0,0.037254903,301515823,158.83203,40.658203
mc_q1_choice_C,74,UP,1.0,0.0058823535,301515897,138.79297,30.375
mc_q1_choice_B,0,DOWN,1.0,0.037254903,301516039,431.01367,41.979492
mc_q1_choice_B,50,UP,1.0,0.003921569,301516089,430.22266,37.40918
mc_q1_choice_A,0,DOWN,1.0,0.037254903,301516164,82.63086,89.396484
mc_q1_choice_A,75,UP,1.0,0.0058823535,301516239,76.302734,87.11133
mc_q1_choice_B,0,DOWN,1.0,0.025490198,301516373,372.47852,72.8291
mc_q1_choice_B,83,UP,1.0,0.013725491,301516456,372.47852,73.40039
mc_q1_choice_A,0,DOWN,1.0,0.03137255,301516498,64.17383,60.83203
mc_q1_choice_A,66,UP,1.0,0.0058823535,301516564,65.228516,62.5459
mc_q1_choice_D,0,DOWN,1.0,0.03137255,301516640,309.19727,86.36133
mc_q1_choice_D,74,UP,1.0,0.003921569,301516714,308.9336,89.21777
mc_q1_choice_C,0,DOWN,1.0,0.03137255,301516773,158.30469,61.22461
mc_q1_choice_C,83,UP,1.0,0.013725491,301516856,153.5586,64.65234
mc_q1_choice_B,0,DOWN,1.0,0.03137255,301516932,360.87695,123.10254
mc_q1_choice_B,74,UP,1.0,0.0058823535,301517006,363.25,119.674805
mc_q1_choice_A,0,DOWN,1.0,0.037254903,301517074,97.66016,96.25195
mc_q1_choice_A,74,UP,1.0,0.003921569,301517148,93.96875,93.9668
mc_q1_choice_B,0,DOWN,1.0,0.03137255,301517224,393.57227,101.96484
mc_q1_choice_B,75,UP,1.0,0.01764706,301517299,393.3086,102.53613
mc_q1_choice_A,0,DOWN,1.0,0.04117647,301517366,71.55664,68.25879
mc_q1_choice_A,74,UP,1.0,0.013725491,301517440,71.29297,68.83008
mc_q1_choice_D,0,DOWN,1.0,0.027450982,301517483,345.05664,58.939453
mc_q1_choice_D,74,UP,1.0,0.013725491,301517557,348.2207,56.654297
mc_q1_choice_C,0,DOWN,1.0,0.025490198,301517650,139.32031,57.225586
mc_q1_choice_C,41,UP,1.0,0.003921569,301517691,139.32031,56.654297
mc_q1_choice_D,0,DOWN,1.0,0.025490198,301518017,378.01562,56.083008
mc_q1_choice_D,74,UP,1.0,0.0058823535,301518091,380.38867,53.226562
mc_q2_choice_A,0,DOWN,1.0,0.037254903,301518485,224.22266,92.69141
mc_q2_choice_A,57,UP,1.0,0.01764706,301518542,215.52148,82.4082
mc_q2_choice_B,0,DOWN,1.0,0.023529414,301518684,364.3047,80.694336
mc_q2_choice_B,66,UP,1.0,0.0058823535,301518750,363.51367,80.12305
mc_q2_choice_C,0,DOWN,1.0,0.01764706,301518876,184.67188,55.378906
mc_q2_choice_C,66,UP,1.0,0.01764706,301518942,182.5625,53.66504
mc_q2_choice_D,0,DOWN,1.0,0.01764706,301519001,320.53516,99.368164
mc_q2_choice_D,66,UP,1.0,0.0058823535,301519067,322.38086,98.796875
mc_q2_choice_C,0,DOWN,1.0,0.025490198,301519151,156.19531,49.094727
mc_q2_choice_C,58,UP,1.0,0.0058823535,301519209,154.61328,51.379883
mc_q2_choice_B,0,DOWN,1.0,0.037254903,301519285,375.64258,91.54883
mc_q2_choice_B,83,UP,1.0,0.013725491,301519368,376.96094,86.978516
mc_q2_choice_C,0,DOWN,1.0,0.023529414,301519427,146.17578,37.097656
mc_q2_choice_C,58,UP,1.0,0.01764706,301519485,144.59375,38.811523
mc_q3_choice_B,0,DOWN,1.0,0.01764706,301519845,403.85547,3.4375
mc_q3_choice_C,0,DOWN,1.0,0.03137255,301521105,138.5293,51.661133
mc_q3_choice_C,65,UP,1.0,0.0058823535,301521170,134.57422,57.374023
mc_q3_choice_D,0,DOWN,1.0,0.023529414,301521304,304.97852,97.93555
mc_q3_choice_D,41,UP,1.0,0.0058823535,301521345,304.97852,97.93555
mc_q3_choice_A,0,DOWN,1.0,0.027450982,301521463,93.177734,81.546875
mc_q3_choice_A,91,UP,1.0,0.013725491,301521554,87.11328,88.97363
mc_q3_choice_B,0,DOWN,1.0,0.025490198,301521638,345.05664,120.39453
mc_q3_choice_B,91,UP,1.0,0.003921569,301521729,348.2207,107.82617
mc_q3_choice_A,0,DOWN,1.0,0.025490198,301521754,98.1875,124.96484
mc_q3_choice_A,91,UP,1.0,0.015686275,301521845,91.859375,131.82031
mc_q3_choice_B,0,DOWN,1.0,0.025490198,301521904,373.5332,44.984375
mc_q3_choice_B,83,UP,1.0,0.003921569,301521987,366.67773,50.697266
mc_q3_choice_C,0,DOWN,1.0,0.025490198,301522030,154.08594,119.64453
mc_q3_choice_C,82,UP,1.0,0.015686275,301522112,154.61328,121.3584
mc_q3_choice_D,0,DOWN,1.0,0.01764706,301522263,278.34766,120.78711
mc_q3_choice_D,66,UP,1.0,0.01764706,301522329,278.875,120.78711
mc_q3_choice_C,0,DOWN,1.0,0.027450982,301522380,124.55469,23.667969
mc_q3_choice_C,75,UP,1.0,0.01764706,301522455,121.12695,28.80957
mc_q3_choice_D,0,DOWN,1.0,0.027450982,301522539,302.86914,64.22949
mc_q3_choice_D,75,UP,1.0,0.0058823535,301522614,302.86914,64.22949
mc_q3_choice_A,0,DOWN,1.0,0.03137255,301522622,105.833984,78.69043
mc_q3_choice_A,66,UP,1.0,0.003921569,301522688,98.45117,82.68945
mc_q3_choice_B,0,DOWN,1.0,0.03137255,301522781,358.5039,58.124023
mc_q3_choice_B,66,UP,1.0,0.013725491,301522847,358.24023,58.124023
mc_q3_choice_A,0,DOWN,1.0,0.027450982,301522889,93.96875,72.97754
mc_q3_choice_A,83,UP,1.0,0.015686275,301522972,93.44141,74.12012
mc_q3_choice_D,0,DOWN,1.0,0.025490198,301523073,287.83984,109.36133
mc_q3_choice_D,66,UP,1.0,0.01764706,301523139,288.63086,109.93262
mc_q3_choice_C,0,DOWN,1.0,0.027450982,301523156,130.0918,83.08203
mc_q3_choice_C,83,UP,1.0,0.0058823535,301523239,126.13672,85.36719
mc_q3_choice_B,0,DOWN,1.0,0.037254903,301523307,351.64844,82.118164
mc_q3_choice_B,82,UP,1.0,0.003921569,301523389,358.24023,75.833984
mc_q3_choice_C,0,DOWN,1.0,0.025490198,301523423,144.59375,46.51953
mc_q3_choice_C,83,UP,1.0,0.003921569,301523506,140.63867,47.09082
mc_q3_choice_B,0,DOWN,1.0,0.01764706,301523548,354.54883,112.396484
mc_q3_choice_A,0,DOWN,1.0,0.023529414,301523732,111.89844,80.4043
mc_q3_choice_A,74,UP,1.0,0.0058823535,301523806,109.78906,80.975586
mc_q3_choice_B,0,DOWN,1.0,0.027450982,301523949,346.375,93.543945
mc_q3_choice_B,91,UP,1.0,0.0058823535,301524040,350.33008,85.5459
mc_q3_choice_A,0,DOWN,1.0,0.027450982,301524133,95.81445,73.54883
mc_q3_choice_A,82,UP,1.0,0.015686275,301524215,95.28711,75.833984
mc_q3_choice_D,0,DOWN,1.0,0.01764706,301524325,329.5,88.79492
mc_q3_choice_D,91,UP,1.0,0.0058823535,301524416,328.18164,92.793945
mc_q3_choice_C,0,DOWN,1.0,0.01764706,301524424,123.5,82.51074
mc_q3_choice_C,100,UP,1.0,0.01764706,301524524,119.54492,85.93848
mc_q3_choice_C,0,DOWN,1.0,0.027450982,301524834,146.17578,80.225586
mc_q3_choice_C,91,UP,1.0,0.003921569,301524925,139.58398,81.368164
mc_q4_choice_A,0,DOWN,1.0,0.037254903,301526036,142.2207,81.103516
mc_q4_choice_A,82,UP,1.0,0.013725491,301526118,143.01172,83.95996
mc_q4_choice_B,0,DOWN,1.0,0.03137255,301526227,301.2871,78.81836
mc_q4_choice_B,74,UP,1.0,0.013725491,301526301,301.2871,78.81836
mc_q4_choice_A,0,DOWN,1.0,0.013725491,301526452,138.00195,77.10449
mc_q4_choice_A,50,UP,1.0,0.0058823535,301526502,138.00195,79.96094
mc_q4_choice_D,0,DOWN,1.0,0.027450982,301526611,275.71094,95.20703
mc_q4_choice_D,75,UP,1.0,0.01764706,301526686,275.9746,93.493164
mc_q4_choice_C,0,DOWN,1.0,0.03137255,301526736,176.23438,76.35449
mc_q4_choice_C,83,UP,1.0,0.0058823535,301526819,172.80664,80.353516
mc_q4_choice_D,0,DOWN,1.0,0.03137255,301526919,288.63086,33.507812
mc_q4_choice_D,75,UP,1.0,0.0058823535,301526994,290.2129,30.651367
mc_q4_choice_C,0,DOWN,1.0,0.023529414,301527070,177.55273,51.789062
mc_q4_choice_C,91,UP,1.0,0.0058823535,301527161,178.60742,67.78516
mc_q4_choice_B,0,DOWN,1.0,0.03137255,301527262,318.1621,77.10449
mc_q4_choice_B,82,UP,1.0,0.01764706,301527344,320.79883,73.67676
mc_q4_choice_A,0,DOWN,1.0,0.025490198,301527420,138.79297,55.395508
mc_q4_choice_A,83,UP,1.0,0.01764706,301527503,134.83789,59.39453
mc_q4_choice_D,0,DOWN,1.0,0.03137255,301527621,278.34766,71.78418
mc_q4_choice_D,91,UP,1.0,0.013725491,301527712,278.34766,71.78418
mc_q4_choice_A,0,DOWN,1.0,0.01764706,301527745,119.80859,119.37988
mc_q4_choice_A,92,UP,1.0,0.013725491,301527837,118.75391,122.80762
mc_q4_choice_B,0,DOWN,1.0,0.025490198,301527912,330.81836,101.09863
mc_q4_choice_B,83,UP,1.0,0.0058823535,301527995,327.6543,95.38574
mc_q4_choice_C,0,DOWN,1.0,0.027450982,301528029,144.59375,65.5
mc_q4_choice_C,100,UP,1.0,0.003921569,301528129,146.17578,67.78516
mc_q4_choice_D,0,DOWN,1.0,0.023529414,301528238,282.83008,108.91797
mc_q4_choice_D,50,UP,1.0,0.01764706,301528288,282.83008,109.48926
mc_q4_choice_A,0,DOWN,1.0,0.023529414,301528388,138.26562,115.38086
mc_q4_choice_A,74,UP,1.0,0.013725491,301528462,137.21094,120.52246
mc_q4_choice_D,0,DOWN,1.0,0.03137255,301528580,297.5957,63.214844
mc_q4_choice_D,49,UP,1.0,0.0058823535,301528629,297.33203,64.92871
mc_q5_choice_B,0,DOWN,1.0,0.03137255,301529757,304.1875,84.41016
mc_q5_choice_B,66,UP,1.0,0.0058823535,301529823,304.1875,84.41016
mc_q5_choice_A,0,DOWN,1.0,0.023529414,301529974,111.89844,58.13086
mc_q5_choice_A,82,UP,1.0,0.013725491,301530056,112.16211,58.70215
mc_q5_choice_D,0,DOWN,1.0,0.01764706,301530107,260.1543,77.37598
mc_q5_choice_D,66,UP,1.0,0.01764706,301530173,262.0,77.947266
mc_q5_choice_C,0,DOWN,1.0,0.01764706,301530282,127.19141,9.963867
mc_q5_choice_C,100,UP,1.0,0.0058823535,301530382,128.2461,23.103516
mc_q5_choice_D,0,DOWN,1.0,0.025490198,301530516,271.4922,83.08887
mc_q5_choice_D,66,UP,1.0,0.013725491,301530582,271.4922,83.08887
mc_q5_choice_C,0,DOWN,1.0,0.015686275,301530616,153.5586,105.36914
mc_q5_choice_C,75,UP,1.0,0.013725491,301530691,152.76758,105.36914
mc_q5_choice_B,0,DOWN,1.0,0.027450982,301530783,330.29102,68.41406
mc_q5_choice_B,74,UP,1.0,0.003921569,301530857,330.29102,68.41406
mc_q5_choice_A,0,DOWN,1.0,0.027450982,301530891,115.853516,87.83789
mc_q5_choice_A,91,UP,1.0,0.013725491,301530982,110.58008,84.41016
mc_q3_choice_A,0,DOWN,1.0,0.04117647,301532444,266.14648,45.71289
mc_q6_choice_D,0,DOWN,1.0,0.037254903,301536765,284.93945,36.333984
mc_q6_choice_D,74,UP,1.0,0.013725491,301536839,285.99414,37.476562
mc_q6_choice_A,0,DOWN,1.0,0.023529414,301536915,134.83789,61.649414
mc_q6_choice_A,83,UP,1.0,0.013725491,301536998,127.98242,73.646484
mc_q6_choice_D,0,DOWN,1.0,0.03137255,301537174,314.99805,90.606445
mc_q6_choice_D,66,UP,1.0,0.013725491,301537240,313.94336,90.03516
mc_q6_choice_C,0,DOWN,1.0,0.025490198,301537341,175.44336,54.043945
mc_q6_choice_C,74,UP,1.0,0.003921569,301537415,163.57812,74.61035
mc_q6_choice_D,0,DOWN,1.0,0.023529414,301538501,325.54492,52.691406
mc_q6_choice_D,65,UP,1.0,0.0058823535,301538566,321.58984,57.26172
mc_q7_choice_B,0,DOWN,1.0,0.025490198,301538784,320.0078,71.018555
mc_q7_choice_B,0,DOWN,1.0,0.01764706,301539309,388.5625,53.73047
mc_q7_choice_B,58,UP,1.0,0.0058823535,301539367,388.29883,53.73047
mc_q7_choice_A,0,DOWN,1.0,0.04117647,301539569,108.99805,102.86133
mc_q7_choice_A,90,UP,1.0,0.013725491,301539659,108.4707,95.43457
mc_q7_choice_D,0,DOWN,1.0,0.03137255,301539726,313.94336,56.979492
mc_q7_choice_D,75,UP,1.0,0.01764706,301539801,315.5254,52.40918
mc_q7_choice_C,0,DOWN,1.0,0.03137255,301539885,132.46484,70.69043
mc_q7_choice_C,58,UP,1.0,0.01764706,301539943,129.30078,73.546875
mc_q7_choice_B,0,DOWN,1.0,0.03529412,301540044,370.36914,45.73242
mc_q7_choice_B,57,UP,1.0,0.0058823535,301540101,376.69727,39.448242
mc_q7_choice_A,0,DOWN,1.0,0.025490198,301540219,81.57617,55.444336
mc_q7_choice_A,49,UP,1.0,0.0058823535,301540268,82.103516,57.158203
mc_q7_choice_B,0,DOWN,1.0,0.03137255,301540511,372.47852,66.29883
mc_q7_choice_B,74,UP,1.0,0.01764706,301540585,374.85156,62.871094
mc_q8_choice_B,0,DOWN,1.0,0.03137255,301540828,324.22656,90.16016
mc_q8_choice_A,0,DOWN,1.0,0.037254903,301541412,99.50586,79.01953
mc_q8_choice_A,74,UP,1.0,0.01764706,301541486,101.87891,81.87598
mc_q8_choice_C,0,DOWN,1.0,0.025490198,301541654,145.91211,78.84082
mc_q8_choice_C,91,UP,1.0,0.01764706,301541745,140.63867,71.41406
mc_q8_choice_D,0,DOWN,1.0,0.037254903,301541762,350.59375,33.137695
mc_q8_choice_D,75,UP,1.0,0.003921569,301541837,348.2207,35.42285
mc_q8_choice_C,0,DOWN,1.0,0.023529414,301541912,133.25586,85.69629
mc_q8_choice_C,83,UP,1.0,0.013725491,301541995,132.20117,86.83887
mc_q8_choice_B,0,DOWN,1.0,0.025490198,301542062,372.47852,88.16016
mc_q8_choice_B,83,UP,1.0,0.025490198,301542145,390.14453,73.87793
mc_q8_choice_A,0,DOWN,1.0,0.027450982,301542196,91.859375,106.44141
mc_q8_choice_A,74,UP,1.0,0.013725491,301542270,92.91406,108.15527
mc_q8_choice_B,0,DOWN,1.0,0.03137255,301542396,349.2754,124.72266
mc_q8_choice_B,83,UP,1.0,0.003921569,301542479,350.33008,122.4375
mc_q8_choice_C,0,DOWN,1.0,0.027450982,301542722,158.30469,24.978516
mc_q8_choice_C,57,UP,1.0,0.003921569,301542779,157.25,24.407227
mc_q8_choice_C,0,DOWN,1.0,0.027450982,301542939,156.45898,46.11621
mc_q8_choice_B,0,DOWN,1.0,0.025490198,301542955,338.20117,125.7041
mc_q8_choice_B,42,UP,1.0,0.01764706,301542997,335.56445,127.41797
mc_q8_choice_C,50,UP,1.0,0.0058823535,301543005,156.19531,47.83008
mc_q8_choice_A,0,DOWN,1.0,0.027450982,301543139,93.44141,40.010742
mc_q8_choice_A,83,UP,1.0,0.015686275,301543222,98.1875,44.009766
mc_q8_choice_B,0,DOWN,1.0,0.03137255,301543222,352.9668,94.2832
mc_q8_choice_B,66,UP,1.0,0.0058823535,301543288,354.02148,93.140625
mc_q8_choice_A,0,DOWN,1.0,0.023529414,301543389,111.10742,76.00195
mc_q8_choice_A,74,UP,1.0,0.003921569,301543463,110.84375,76.00195
mc_q9_choice_B,0,DOWN,1.0,0.01764706,301543773,312.88867,23.310547
