timestamp_ns,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,activity
26569535299428,1.034,3.459,8.563,0.001861,0.002746,0.025802,-16.14,25.319992,-70.31999,sitting
26569555319018,0.899,3.526,8.908,0.008407,0.00859,0.081787,-0.83999634,25.5,-54.719986,sitting
26569575323332,0.746,3.564,9.224,0.028823,0.02275,0.239395,14.339996,25.319992,-38.87999,sitting
26569595322498,0.641,3.583,9.281,0.050079,0.030303,0.310043,29.339996,25.14,-23.339996,sitting
26569615326774,0.622,3.564,9.281,0.07315,0.035079,0.352264,29.219986,25.14,-23.279999,sitting
26569635323379,0.219,3.794,9.53,0.096679,0.042221,0.410766,29.459991,24.839996,-23.039993,sitting
26569655327669,0.239,3.784,9.578,0.119552,0.053512,0.489059,29.579987,24.419998,-22.799988,sitting
26569675331973,0.545,3.449,9.444,0.133255,0.061187,0.51799,30.179993,24.119995,-22.079987,sitting
26569695328635,0.976,2.951,9.262,0.139068,0.066101,0.517791,30.23999,24.059998,-21.839996,sitting
26569715332913,1.101,2.769,9.348,0.137756,0.073791,0.541458,30.419998,24.23999,-21.959991,sitting
26569735329548,1.034,2.769,9.569,0.138519,0.085845,0.594421,30.419998,24.119995,-22.079987,sitting
26569755326203,0.966,2.807,9.741,0.138443,0.092651,0.61621,30.419998,24.23999,-22.799988,sitting
26569775330473,0.938,2.865,9.703,0.136672,0.093368,0.608154,30.299988,24.23999,-22.679993,sitting
26569795327127,0.976,2.942,9.425,0.137146,0.097702,0.623641,30.0,24.0,-22.439987,sitting
26569815323761,1.081,2.999,9.08,0.140731,0.108108,0.665985,29.819992,24.299988,-22.799988,sitting
26569835328025,1.206,3.009,8.898,0.142745,0.113037,0.671356,29.939987,24.959991,-22.619995,sitting
26569855324645,1.263,2.932,8.927,0.14299,0.111999,0.641128,29.759995,25.199997,-22.979996,sitting
26569875321269,1.206,2.846,9.051,0.14537,0.116973,0.631942,30.0,24.899994,-23.159988,sitting
26569895325557,1.072,2.836,9.166,0.150817,0.131744,0.65892,30.0,24.959991,-22.979996,sitting
26569915322206,0.957,2.884,9.243,0.154541,0.141387,0.660491,29.819992,24.179993,-23.039993,sitting
26569935326489,0.88,2.903,9.3,0.156875,0.143966,0.633667,30.119995,23.819992,-22.37999,sitting
26569955330777,0.804,2.894,9.406,0.161193,0.149429,0.619598,30.23999,23.759995,-21.899994,sitting
26569975327411,0.746,2.894,9.559,0.167541,0.161117,0.630249,30.659988,23.64,-21.899994,sitting
26569995333137,0.737,2.942,9.693,0.720642,0.638183,2.399826,30.539993,23.579987,-21.959991,sitting
26570015323584,0.775,3.066,9.798,0.681655,0.531173,1.934158,30.179993,23.579987,-22.37999,sitting
26570035245376,0.813,3.181,9.904,0.504928,0.429946,1.593566,29.939987,23.64,-22.73999,sitting
26570055117285,0.852,3.238,9.961,0.343811,0.310638,1.240173,29.699997,23.219986,-22.679993,sitting
26570074989688,0.89,3.238,9.98,0.343811,0.310638,1.240173,29.579987,23.159988,-22.559998,sitting
26570094884721,0.919,3.2,10.009,0.226287,0.206878,0.943801,29.64,23.279999,-22.799988,sitting
26570114825514,0.919,3.181,9.99,0.151763,0.135604,0.710296,29.579987,23.219986,-23.219986,sitting
26570134954518,0.919,3.162,9.913,0.105468,0.095001,0.531005,29.219986,23.399994,-23.399994,sitting
26570155073951,0.938,3.095,9.798,0.080841,0.072357,0.392715,28.919998,22.979996,-23.579987,sitting
26570175186027,0.938,3.037,9.645,0.07199,0.059494,0.287353,28.619995,22.679993,-23.64,sitting
26570195320993,0.919,3.047,9.482,0.07051,0.052764,0.208648,28.37999,22.73999,-23.819992,sitting
26570215325262,0.88,3.104,9.348,0.078292,0.048217,0.154953,28.259995,22.319992,-24.539993,sitting
26570235329521,0.813,3.191,9.262,0.091262,0.036666,0.103912,28.37999,22.919998,-24.719986,sitting
26570255326155,0.708,3.286,9.205,0.102096,0.026046,0.048309,28.259995,22.919998,-25.199997,sitting
26570275330457,0.603,3.392,9.166,0.109802,0.025863,-0.007995,27.959991,22.259995,-25.019989,sitting
26570295327039,0.603,3.468,9.176,0.11975,0.028533,-0.05484,27.719986,22.14,-24.779999,sitting
26570315323687,0.717,3.468,9.252,0.130981,0.024551,-0.081512,27.479996,21.59999,-25.37999,sitting
26570335327951,0.871,3.43,9.262,0.143768,0.013916,-0.086975,27.23999,21.119995,-25.319992,sitting
26570355324604,1.034,3.449,9.166,0.157119,7.62E-4,-0.081817,27.299988,21.359985,-25.799988,sitting
26570375321282,1.11,3.574,9.09,0.170211,-0.01152,-0.070892,27.179993,21.359985,-25.979996,sitting
26570395325551,1.148,3.727,9.09,0.183319,-0.021667,-0.059951,27.179993,21.359985,-25.979996,sitting
26570415322190,1.158,3.823,9.138,0.196716,-0.026748,-0.060348,27.0,21.419998,-26.09999,sitting
26570435326440,1.158,3.89,9.214,0.211608,-0.041519,-0.063003,26.519989,20.87999,-26.64,sitting
26570455330700,1.225,3.947,9.166,0.228927,-0.090393,-0.058959,26.339996,21.419998,-27.839996,sitting
