charCount,fieldId,interKeyMs,isDelete,timestamp
1,text_q1,0,false,1776571961722
0,text_q1,98,true,1776571961820
1,text_q1,12,false,1776571961832
2,text_q1,67,false,1776571961899
3,text_q1,192,false,1776571962091
4,text_q1,228,false,1776571962319
5,text_q1,86,false,1776571962405
6,text_q1,115,false,1776571962520
4,text_q1,98,true,1776571962618
6,text_q1,6,false,1776571962624
1,text_q2,0,false,1776571964792
2,text_q2,221,false,1776571965013
3,text_q2,164,false,1776571965177
4,text_q2,173,false,1776571965350
1,text_q2,117,true,1776571965467
4,text_q2,8,false,1776571965475
5,text_q2,144,false,1776571965619
6,text_q2,795,false,1776571966414
7,text_q2,122,false,1776571966536
8,text_q2,179,false,1776571966715
9,text_q2,118,false,1776571966833
8,text_q2,119,true,1776571966952
9,text_q2,8,false,1776571966960
10,text_q2,110,false,1776571967070
11,text_q2,146,false,1776571967216
12,text_q2,118,false,1776571967334
11,text_q2,1441,true,1776571968775
10,text_q2,146,true,1776571968921
9,text_q2,171,true,1776571969092
8,text_q2,186,true,1776571969278
7,text_q2,236,true,1776571969514
8,text_q2,647,false,1776571970161
9,text_q2,248,false,1776571970409
8,text_q2,170,true,1776571970579
9,text_q2,9,false,1776571970588
7,text_q2,108,true,1776571970696
10,text_q2,8,false,1776571970704
11,text_q2,248,false,1776571970952
8,text_q2,155,true,1776571971107
11,text_q2,7,false,1776571971114
1,text_q3,0,false,1776571974256
2,text_q3,116,false,1776571974372
3,text_q3,229,false,1776571974601
4,text_q3,93,false,1776571974694
3,text_q3,167,true,1776571974861
4,text_q3,8,false,1776571974869
3,text_q3,247,true,1776571975116
2,text_q3,163,true,1776571975279
1,text_q3,165,true,1776571975444
0,text_q3,220,true,1776571975664
1,text_q3,718,false,1776571976382
2,text_q3,234,false,1776571976616
3,text_q3,148,false,1776571976764
4,text_q3,188,false,1776571976952
5,text_q3,115,false,1776571977067
4,text_q3,152,true,1776571977219
5,text_q3,8,false,1776571977227
6,text_q3,89,false,1776571977316
4,text_q3,170,true,1776571977486
6,text_q3,8,false,1776571977494
7,text_q3,190,false,1776571977684
6,text_q3,348,true,1776571978032
5,text_q3,206,true,1776571978238
6,text_q3,380,false,1776571978618
7,text_q3,210,false,1776571978828
8,text_q3,459,false,1776571979287
9,text_q3,154,false,1776571979441
10,text_q3,98,false,1776571979539
9,text_q3,172,true,1776571979711
10,text_q3,8,false,1776571979719
11,text_q3,70,false,1776571979789
12,text_q3,136,false,1776571979925
13,text_q3,285,false,1776571980210
14,text_q3,165,false,1776571980375
13,text_q3,219,true,1776571980594
14,text_q3,6,false,1776571980600
1,text_q4,0,false,1776571997040
2,text_q4,136,false,1776571997176
3,text_q4,133,false,1776571997309
2,text_q4,137,true,1776571997446
3,text_q4,7,false,1776571997453
1,text_q5,0,false,1776572001031
2,text_q5,225,false,1776572001256
1,text_q5,132,true,1776572001388
2,text_q5,5,false,1776572001393
3,text_q5,135,false,1776572001528
2,text_q5,503,true,1776572002031
1,text_q5,149,true,1776572002180
0,text_q5,193,true,1776572002373
1,text_q5,460,false,1776572002833
2,text_q5,277,false,1776572003110
3,text_q5,120,false,1776572003230
2,text_q5,200,true,1776572003430
3,text_q5,6,false,1776572003436
2,text_q5,212,true,1776572003648
3,text_q5,5,false,1776572003653
1,text_q6,0,false,1776572006175
2,text_q6,113,false,1776572006288
3,text_q6,135,false,1776572006423
4,text_q6,135,false,1776572006558
5,text_q6,217,false,1776572006775
9,text_q6,495,false,1776572007270
1,text_q7,0,false,1776572009527
2,text_q7,135,false,1776572009662
1,text_q7,184,true,1776572009846
2,text_q7,5,false,1776572009851
3,text_q7,95,false,1776572009946
4,text_q7,435,false,1776572010381
5,text_q7,248,false,1776572010629
4,text_q7,222,true,1776572010851
5,text_q7,5,false,1776572010856
6,text_q7,196,false,1776572011052
4,text_q7,198,true,1776572011250
6,text_q7,4,false,1776572011254
