timestamp_ns,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,activity
2030704110322066,-0.12921242,-0.22492532,9.830314,3.9947388E-4,-0.003462107,-0.0013315795,-49.9625,-21.1375,-52.125,standing
2030704130322066,-0.11964113,-0.2105684,9.815957,3.9947388E-4,-0.0013315795,-2.663159E-4,-49.9,-21.237501,-51.8,standing
2030704150322066,-0.2105684,-0.31106696,9.815957,0.0014647375,-2.663159E-4,-2.663159E-4,-49.8625,-21.175001,-51.4875,standing
2030704170322066,-0.21535404,-0.31585258,9.825528,-6.6578976E-4,-0.0023968432,-2.663159E-4,-49.8125,-21.0875,-51.25,standing
2030704190322066,-0.19142582,-0.22492532,9.830314,-6.6578976E-4,-0.0013315795,-0.0013315795,-49.775,-21.075,-51.175,standing
2030704210322066,-0.15314065,-0.24885355,9.820743,3.9947388E-4,7.9894776E-4,-0.0023968432,-49.7625,-21.025,-51.1375,standing
2030704230322066,-0.15792629,-0.3062813,9.825528,0.0014647375,-2.663159E-4,-0.0013315795,-49.75,-21.0875,-51.0625,standing
2030704250322066,-0.2105684,-0.29192436,9.815957,3.9947388E-4,-2.663159E-4,-2.663159E-4,-49.7,-21.075,-51.05,standing
2030704270322066,-0.19621146,-0.22971097,9.825528,3.9947388E-4,-0.0013315795,-0.0013315795,-49.6875,-21.0875,-51.0,standing
2030704290322066,-0.17706887,-0.2536392,9.835099,3.9947388E-4,-0.0013315795,-0.0013315795,-49.7125,-21.050001,-50.9875,standing
2030704310322066,-0.15314065,-0.31585258,9.8015995,3.9947388E-4,-0.0013315795,-0.0013315795,-49.7125,-21.0625,-50.9625,standing
2030704330322066,-0.18664017,-0.27756742,9.839885,3.9947388E-4,-2.663159E-4,-2.663159E-4,-49.6875,-21.0375,-51.075,standing
2030704350322066,-0.21535404,-0.2440679,9.815957,-6.6578976E-4,-2.663159E-4,-0.0013315795,-49.7,-21.0125,-51.1375,standing
2030704370322066,-0.20578274,-0.2727818,9.830314,-0.0038615807,-0.005592634,-0.0013315795,-49.7,-21.025,-51.15,standing
2030704390322066,-0.17228323,-0.32542387,9.825528,-0.005992108,-0.0087884255,-0.0023968432,-49.7125,-20.987501,-51.15,standing
2030704410322066,-0.16271193,-0.2440679,9.820743,3.9947388E-4,0.0018642114,-0.0023968432,-49.725002,-21.0,-51.125,standing
2030704430322066,-0.18185452,-0.23928227,9.811171,0.0035952649,0.0071905297,-0.0023968432,-49.725002,-20.9375,-51.0125,standing
2030704450322066,-0.2105684,-0.30149564,9.825528,0.002530001,0.0061252657,-0.0013315795,-49.675,-20.9375,-50.8625,standing
2030704470322066,-0.19621146,-0.29671,9.830314,0.0014647375,0.0018642114,-0.0013315795,-49.662502,-20.8875,-50.95,standing
2030704490322066,-0.16271193,-0.2536392,9.811171,3.9947388E-4,-2.663159E-4,-2.663159E-4,-49.6875,-20.95,-50.875,standing
2030704510322066,-0.16749759,-0.26799613,9.820743,-6.6578976E-4,-2.663159E-4,-0.0013315795,-49.6875,-21.0,-50.850002,standing
2030704530322066,-0.19621146,-0.28235307,9.825528,3.9947388E-4,7.9894776E-4,-0.0013315795,-49.6875,-21.025,-50.787502,standing
2030704550322066,-0.22971097,-0.28235307,9.830314,-6.6578976E-4,7.9894776E-4,-2.663159E-4,-49.675,-21.0125,-50.850002,standing
2030704570322066,-0.19142582,-0.2536392,9.825528,-6.6578976E-4,-2.663159E-4,-0.0013315795,-49.7,-21.025,-50.8125,standing
2030704590322066,-0.16271193,-0.28235307,9.830314,-6.6578976E-4,-0.0013315795,-2.663159E-4,-49.6875,-21.0625,-50.912502,standing
2030704610322066,-0.15314065,-0.30149564,9.830314,-0.0017310535,-0.0023968432,-2.663159E-4,-49.65,-21.050001,-51.0,standing
2030704630322066,-0.20578274,-0.28235307,9.830314,-6.6578976E-4,-0.0013315795,7.9894776E-4,-49.6375,-21.0875,-51.037502,standing
