phase,pointerId,pressure,size,timestamp,x,y
DOWN,0,1.0,0.0,798305965,727.8326,1454.8274
UP,0,1.0,0.0,798306051,727.8326,1454.8274
DOWN,0,1.0,0.0,798306587,773.62836,1541.5238
MOVE,0,1.0,0.0,798306604,772.7023,1540.945
MOVE,0,1.0,0.0,798306616,760.44403,1470.6328
MOVE,0,1.0,0.0,798306633,749.5835,1333.566
MOVE,0,1.0,0.0,798306649,750.22174,1205.0807
MOVE,0,1.0,0.0,798306666,761.8607,1077.6176
MOVE,0,1.0,0.0,798306683,785.5217,966.3179
MOVE,0,1.0,0.0,798306700,810.3655,873.97314
MOVE,0,1.0,0.0,798306716,835.2654,799.6604
MOVE,0,1.0,0.0,798306733,856.59503,747.17053
MOVE,0,1.0,0.0,798306750,872.18805,712.41235
MOVE,0,1.0,0.0,798306766,879.75507,690.78436
MOVE,0,1.0,0.0,798306783,881.7201,679.34564
MOVE,0,1.0,0.0,798306800,881.81836,675.8964
MOVE,0,1.0,0.0,798306817,881.81836,674.2474
MOVE,0,1.0,0.0,798306835,880.11847,673.25995
UP,0,1.0,0.0,798306839,880.11847,673.25995
MOVE,0,1.0,0.0,798308704,760.7448,1224.8893
MOVE,0,1.0,0.0,798308721,779.687,1067.368
MOVE,0,1.0,0.0,798308738,807.8032,923.8662
MOVE,0,1.0,0.0,798308755,839.2249,808.5265
MOVE,0,1.0,0.0,798308771,870.3012,724.4475
MOVE,0,1.0,0.0,798308788,891.0428,672.61597
MOVE,0,1.0,0.0,798308805,907.1807,639.0518
MOVE,0,1.0,0.0,798308821,915.48065,620.74854
MOVE,0,1.0,0.0,798308838,919.2895,609.30743
MOVE,0,1.0,0.0,798308855,921.3653,604.12744
MOVE,0,1.0,0.0,798308871,921.81464,602.1191
MOVE,0,1.0,0.0,798308880,921.81464,602.01294
MOVE,0,1.0,0.0,798308938,921.3147,603.0629
UP,0,1.0,0.0,798308942,921.3147,603.0629
DOWN,0,1.0,0.0,798309497,756.23,1721.3163
MOVE,0,1.0,0.0,798309523,756.5051,1719.2943
MOVE,0,1.0,0.0,798309540,759.9752,1649.7445
MOVE,0,1.0,0.0,798309556,761.1295,1507.1719
MOVE,0,1.0,0.0,798309573,764.7796,1343.3999
MOVE,0,1.0,0.0,798309590,778.9561,1174.3524
MOVE,0,1.0,0.0,798309607,799.75323,1018.01184
MOVE,0,1.0,0.0,798309623,825.57245,888.72107
