answerId,holdMs,phase,pressure,size,timestamp,x,y
mc_q2_choice_A,0,DOWN,1.0,0.0,798135981,169.17665,34.345947
mc_q7_choice_A,0,DOWN,1.0,0.0,798156805,241.26996,95.44861
mc_q7_choice_A,57,UP,1.0,0.0,798156862,241.26996,95.44861
mc_q7_choice_B,0,DOWN,1.0,0.0,798157547,118.53827,29.143188
mc_q7_choice_B,64,UP,1.0,0.0,798157611,118.53827,29.143188
mc_q6_choice_A,0,DOWN,1.0,0.0,798158280,180.17563,52.357178
mc_q6_choice_A,64,UP,1.0,0.0,798158344,180.17563,52.357178
mc_q6_choice_A,0,DOWN,1.0,0.0,798158483,179.27573,41.55768
mc_q5_choice_A,0,DOWN,1.0,0.0,798159207,204.87335,17.757874
mc_q5_choice_A,72,UP,1.0,0.0,798159279,204.87335,17.757874
mc_q4_choice_C,0,DOWN,1.0,0.0,798160025,148.17859,2.3652954
mc_q4_choice_C,102,UP,1.0,0.0,798160127,148.17859,2.3652954
mc_q4_choice_C,0,DOWN,1.0,0.0,798160894,114.98166,99.86127
mc_q4_choice_A,0,DOWN,1.0,0.0,798163377,218.97205,35.647705
mc_q1_choice_B,0,DOWN,1.0,0.0,798167602,317.71985,87.96796
mc_q1_choice_B,57,UP,1.0,0.0,798167659,317.71985,87.96796
mc_q2_choice_D,0,DOWN,1.0,0.0,798167910,196.1311,8.140625
mc_q2_choice_D,63,UP,1.0,0.0,798167973,196.1311,8.140625
mc_q3_choice_B,0,DOWN,1.0,0.0,798168571,248.92621,131.65784
mc_q3_choice_B,82,UP,1.0,0.0,798168653,248.92621,131.65784
mc_q8_choice_B,0,DOWN,1.0,0.0,798169908,174.63306,37.622925
mc_q8_choice_D,0,DOWN,1.0,0.0,798170296,164.33405,78.954346
mc_q8_choice_D,63,UP,1.0,0.0,798170359,164.33405,78.954346
mc_q11_choice_C,0,DOWN,1.0,0.0,798171706,402.05508,25.129395
mc_q11_choice_B,0,DOWN,1.0,0.0,798172226,1.3491211,89.07501
mc_q10_choice_A,0,DOWN,1.0,0.0,798173461,306.8639,48.166443
mc_q10_choice_A,66,UP,1.0,0.0,798173527,306.8639,48.166443
mc_q11_choice_A,0,DOWN,1.0,0.0,798173783,318.7628,44.939697
mc_q11_choice_A,64,UP,1.0,0.0,798173847,318.7628,44.939697
mc_q11_choice_D,0,DOWN,1.0,0.0,798174016,60.443665,94.73132
mc_q12_choice_B,0,DOWN,1.0,0.0,798174435,200.73065,65.74744
mc_q12_choice_B,69,UP,1.0,0.0,798174504,200.73065,65.74744
mc_q13_choice_B,0,DOWN,1.0,0.0,798175136,205.43024,118.056885
mc_q13_choice_B,66,UP,1.0,0.0,798175202,205.43024,118.056885
mc_q14_choice_D,0,DOWN,1.0,0.0,798175812,240.12701,23.952515
mc_q14_choice_D,62,UP,1.0,0.0,798175874,240.12701,23.952515
mc_q14_choice_A,0,DOWN,1.0,0.0,798176112,146.87871,73.35681
mc_q1_choice_C,0,DOWN,1.0,0.0,798227217,96.48338,21.764282
mc_q1_choice_C,61,UP,1.0,0.0,798227278,96.48338,21.764282
mc_q1_choice_A,0,DOWN,1.0,0.0,798227763,115.88158,98.36749
mc_q1_choice_A,41,UP,1.0,0.0,798227804,115.88158,98.36749
mc_q2_choice_C,0,DOWN,1.0,0.0,798228136,122.08101,38.139404
mc_q2_choice_C,27,UP,1.0,0.0,798228163,122.08101,38.139404
mc_q2_choice_C,0,DOWN,1.0,0.0,798228339,115.98157,88.33728
mc_q2_choice_C,53,UP,1.0,0.0,798228392,115.98157,88.33728
mc_q2_choice_C,0,DOWN,1.0,0.0,798228564,130.08026,92.53711
mc_q2_choice_C,37,UP,1.0,0.0,798228601,130.08026,92.53711
mc_q4_choice_A,0,DOWN,1.0,0.0,798230109,180.87555,26.852295
mc_q4_choice_A,69,UP,1.0,0.0,798230178,180.87555,26.852295
mc_q5_choice_C,0,DOWN,1.0,0.0,798233679,175.2761,103.83154
mc_q5_choice_C,85,UP,1.0,0.0,798233764,175.2761,103.83154
mc_q8_choice_C,0,DOWN,1.0,0.0,798235033,118.38135,92.9364
mc_q12_choice_C,0,DOWN,1.0,0.0,798237244,102.6828,32.35266
mc_q12_choice_C,64,UP,1.0,0.0,798237308,102.6828,32.35266
mc_q13_choice_A,0,DOWN,1.0,0.0,798237589,61.286636,55.131348
mc_q13_choice_A,53,UP,1.0,0.0,798237642,61.286636,55.131348
mc_q13_choice_C,0,DOWN,1.0,0.0,798237887,76.88519,28.32605
mc_q14_choice_C,0,DOWN,1.0,0.0,798242765,152.3782,70.44275
mc_q14_choice_C,60,UP,1.0,0.0,798242825,152.3782,70.44275
mc_q6_choice_D,0,DOWN,1.0,0.0,798286752,260.4251,97.3396
mc_q7_choice_D,0,DOWN,1.0,0.0,798287195,240.02704,97.644165
mc_q9_choice_B,0,DOWN,1.0,0.0,798287747,256.82544,76.533325
mc_q9_choice_B,70,UP,1.0,0.0,798287817,256.82544,76.533325
