phase,pointerId,pressure,size,timestamp,x,y
DOWN,0,1.0,0.03529412,482586361,781.7871,1488.7422
MOVE,0,1.0,0.043137256,482586373,781.7871,1488.7422
MOVE,0,1.0,0.04705883,482586384,782.9834,1481.0449
MOVE,0,1.0,0.04117647,482586395,795.98926,1424.3936
MOVE,0,1.0,0.023529414,482586407,828.0801,1295.6162
MOVE,0,1.0,0.023529414,482586411,852.9785,1199.875
UP,0,1.0,0.023529414,482586416,852.9785,1199.875
DOWN,0,1.0,0.054901965,482587308,826.34766,845.96875
MOVE,0,1.0,0.050980397,482587322,822.81055,852.4082
MOVE,0,1.0,0.054901965,482587333,799.84766,904.834
MOVE,0,1.0,0.050980397,482587344,759.36426,1025.7793
MOVE,0,1.0,0.03529412,482587355,725.6553,1178.9287
MOVE,0,1.0,0.027450982,482587366,705.6904,1371.4619
MOVE,0,1.0,0.011764707,482587375,695.03906,1607.6875
UP,0,1.0,0.011764707,482587381,695.03906,1607.6875
MOVE,0,1.0,0.011764707,482588359,741.66406,1446.8018
MOVE,0,1.0,0.011764707,482588362,756.7383,1345.1875
UP,0,1.0,0.011764707,482588368,756.7383,1345.1875
DOWN,0,1.0,0.03137255,482588776,759.375,1506.3203
MOVE,0,1.0,0.037254903,482588783,759.375,1506.3203
MOVE,0,1.0,0.037254903,482588795,759.375,1506.3203
MOVE,0,1.0,0.037254903,482588806,762.08984,1496.9814
MOVE,0,1.0,0.043137256,482588817,774.4414,1446.4707
MOVE,0,1.0,0.015686275,482588828,804.3115,1307.7051
MOVE,0,1.0,0.015686275,482588831,817.3828,1243.2344
UP,0,1.0,0.015686275,482588837,817.3828,1243.2344
DOWN,0,1.0,0.03137255,482589542,764.9121,1523.3125
MOVE,0,1.0,0.037254903,482589554,764.9121,1523.3125
MOVE,0,1.0,0.037254903,482589565,764.9121,1523.3125
MOVE,0,1.0,0.037254903,482589576,767.7988,1514.7695
MOVE,0,1.0,0.04117647,482589587,778.95996,1468.8936
MOVE,0,1.0,0.019607844,482589598,803.6367,1352.2393
MOVE,0,1.0,0.019607844,482589601,816.5918,1288.3516
UP,0,1.0,0.019607844,482589607,816.5918,1288.3516
DOWN,0,1.0,0.027450982,482590111,759.6387,1605.3438
MOVE,0,1.0,0.03529412,482590123,759.6387,1605.3438
MOVE,0,1.0,0.03529412,482590134,759.6387,1605.3438
MOVE,0,1.0,0.03529412,482590145,759.6387,1605.3438
MOVE,0,1.0,0.037254903,482590156,760.5137,1604.3838
MOVE,0,1.0,0.04117647,482590167,762.0928,1599.5068
MOVE,0,1.0,0.037254903,482590179,765.12695,1582.2705
MOVE,0,1.0,0.037254903,482590190,771.30566,1530.3496
MOVE,0,1.0,0.037254903,482590201,781.5078,1446.6807
MOVE,0,1.0,0.015686275,482590212,798.792,1334.4863
MOVE,0,1.0,0.015686275,482590215,807.0996,1281.3203
UP,0,1.0,0.015686275,482590221,807.0996,1281.3203
DOWN,0,1.0,0.021568628,482590709,764.64844,1559.0547
MOVE,0,1.0,0.029411767,482590714,764.64844,1559.0547
MOVE,0,1.0,0.029411767,482590725,764.64844,1559.0547
MOVE,0,1.0,0.029411767,482590736,764.64844,1559.0547
MOVE,0,1.0,0.043137256,482590748,768.27734,1546.2275
MOVE,0,1.0,0.033333335,482590759,779.35645,1489.6436
MOVE,0,1.0,0.015686275,482590768,796.55273,1372.7266
UP,0,1.0,0.015686275,482590773,796.55273,1372.7266
DOWN,0,1.0,0.021568628,482591181,773.08594,1356.3203
MOVE,0,1.0,0.03137255,482591194,773.08594,1356.3203
MOVE,0,1.0,0.03137255,482591205,773.08594,1356.3203
MOVE,0,1.0,0.03137255,482591216,773.08594,1356.3203
MOVE,0,1.0,0.03137255,482591239,773.08594,1356.3203
MOVE,0,1.0,0.03137255,482591248,773.08594,1356.3203
MOVE,0,1.0,0.037254903,482591272,775.40625,1350.3975
MOVE,0,1.0,0.037254903,482591283,780.63574,1336.0332
MOVE,0,1.0,0.04117647,482591294,785.3779,1321.2158
MOVE,0,1.0,0.04117647,482591306,787.75684,1312.2002
MOVE,0,1.0,0.04705883,482591317,790.00977,1304.8887
MOVE,0,1.0,0.043137256,482591328,792.0469,1299.1826
MOVE,0,1.0,0.04705883,482591339,793.9824,1293.293
MOVE,0,1.0,0.050980397,482591350,796.001,1286.7041
MOVE,0,1.0,0.04117647,482591361,798.52246,1278.9424
MOVE,0,1.0,0.04509804,482591373,801.49805,1269.9893
MOVE,0,1.0,0.04509804,482591384,804.5078,1259.1777
MOVE,0,1.0,0.04117647,482591395,807.8926,1248.3047
MOVE,0,1.0,0.043137256,482591406,811.2871,1237.4785
MOVE,0,1.0,0.04705883,482591417,814.21875,1226.8281
MOVE,0,1.0,0.039215688,482591428,817.69824,1215.7998
MOVE,0,1.0,0.037254903,482591440,822.2529,1204.084
MOVE,0,1.0,0.03529412,482591451,828.01465,1190.5068
MOVE,0,1.0,0.021568628,482591462,836.29004,1168.1709
MOVE,0,1.0,0.0058823535,482591465,840.0586,1158.2734
UP,0,1.0,0.0058823535,482591471,840.0586,1158.2734
DOWN,0,1.0,0.03137255,482591639,858.25195,1046.3594
MOVE,0,1.0,0.054901965,482591652,857.6709,1049.4707
MOVE,0,1.0,0.04509804,482591663,853.2246,1070.1758
MOVE,0,1.0,0.054901965,482591674,841.9053,1110.0557
MOVE,0,1.0,0.04705883,482591685,827.8174,1161.5303
MOVE,0,1.0,0.04705883,482591696,811.2627,1246.7607
MOVE,0,1.0,0.03137255,482591707,795.8418,1381.6387
MOVE,0,1.0,0.015686275,482591718,791.1797,1580.166
MOVE,0,1.0,0.015686275,482591722,791.0156,1675.0703
UP,0,1.0,0.015686275,482591727,791.0156,1675.0703
DOWN,0,1.0,0.037254903,482592018,867.74414,1122.5312
MOVE,0,1.0,0.054901965,482592031,867.0459,1125.4316
MOVE,0,1.0,0.050980397,482592042,863.08496,1144.7734
