answerId,holdMs,phase,pressure,size,timestamp,x,y
mc_q1_choice_D,0,DOWN,1.0,0.04117647,466370573,353.7578,46.539062
mc_q1_choice_D,72,UP,1.0,0.033333335,466370645,353.7578,46.539062
mc_q2_choice_C,0,DOWN,1.0,0.023529414,466374081,68.39258,74.82031
mc_q2_choice_C,55,UP,1.0,0.023529414,466374136,68.39258,74.82031
mc_q3_choice_D,0,DOWN,1.0,0.023529414,466377036,338.20117,67.60156
mc_q3_choice_D,84,UP,1.0,0.037254903,466377120,338.20117,67.60156
mc_q4_choice_C,0,DOWN,1.0,0.027450982,466460312,65.75586,80.171875
mc_q4_choice_C,84,UP,1.0,0.027450982,466460396,65.75586,80.171875
mc_q5_choice_B,0,DOWN,1.0,0.021568628,466460695,296.27734,15.7421875
mc_q5_choice_B,0,DOWN,1.0,0.023529414,466462787,392.2539,76.92969
mc_q5_choice_B,98,UP,1.0,0.029411767,466462885,392.2539,76.92969
mc_q6_choice_C,0,DOWN,1.0,0.023529414,466467478,95.28711,98.28906
mc_q6_choice_C,107,UP,1.0,0.03529412,466467585,95.28711,98.28906
mc_q7_choice_C,0,DOWN,1.0,0.015686275,466469560,121.390625,82.21094
mc_q7_choice_C,74,UP,1.0,0.021568628,466469634,121.390625,82.21094
mc_q8_choice_A,0,DOWN,1.0,0.04117647,466479091,89.22266,18.984375
mc_q8_choice_A,70,UP,1.0,0.011764707,466479161,89.48633,6.09375
mc_q9_choice_B,0,DOWN,1.0,0.03137255,466479691,375.64258,63.085938
mc_q9_choice_A,0,DOWN,1.0,0.033333335,466480277,128.2461,37.59375
mc_q9_choice_A,121,UP,1.0,0.029411767,466480398,128.2461,37.59375
mc_q10_choice_B,0,DOWN,1.0,0.019607844,466481532,331.3457,16.359375
mc_q10_choice_C,0,DOWN,1.0,0.011764707,466495969,129.56445,69.640625
mc_q10_choice_C,83,UP,1.0,0.027450982,466496052,129.56445,69.640625
mc_q11_choice_C,0,DOWN,1.0,0.019607844,466502663,384.79883,69.41406
mc_q11_choice_C,135,UP,1.0,0.021568628,466502798,401.14648,79.96094
mc_q12_choice_D,0,DOWN,1.0,0.021568628,466503084,193.44531,18.53125
mc_q12_choice_D,0,DOWN,1.0,0.027450982,466504159,31.023438,67.21875
mc_q11_choice_A,0,DOWN,1.0,0.033333335,466504676,347.35742,41.875
mc_q11_choice_A,65,UP,1.0,0.015686275,466504741,347.35742,41.875
mc_q12_choice_A,0,DOWN,1.0,0.023529414,466507905,80.25781,26.734375
mc_q12_choice_A,105,UP,1.0,0.023529414,466508010,80.25781,26.734375
mc_q12_choice_C,0,DOWN,1.0,0.037254903,466510011,99.76953,60.234375
mc_q12_choice_C,77,UP,1.0,0.021568628,466510088,99.76953,60.234375
mc_q13_choice_A,0,DOWN,1.0,0.021568628,466513119,85.79492,70.34375
mc_q13_choice_A,93,UP,1.0,0.021568628,466513212,85.79492,70.34375
mc_q14_choice_A,0,DOWN,1.0,0.019607844,466516162,52.835938,51.5625
mc_q14_choice_A,92,UP,1.0,0.013725491,466516254,52.835938,51.5625
mc_q14_choice_D,0,DOWN,1.0,0.03137255,466520304,345.05664,71.671875
mc_q14_choice_D,99,UP,1.0,0.027450982,466520403,345.05664,71.671875
