phase,pointerId,pressure,size,timestamp,x,y
MOVE,0,1.0,0.0,577993953,383.65137,828.08105
MOVE,0,1.0,0.0,577993961,380.49414,807.14453
MOVE,0,1.0,0.0,577993970,375.667,785.1709
MOVE,0,1.0,0.0,577993978,370.5088,761.0342
MOVE,0,1.0,0.0,577993986,365.51074,737.2051
MOVE,0,1.0,0.0,577993995,360.65234,715.08887
MOVE,0,1.0,0.0,577994003,356.53906,694.61816
MOVE,0,1.0,0.0,577994011,351.68457,677.8965
MOVE,0,1.0,0.0,577994020,347.6797,663.8799
MOVE,0,1.0,0.0,577994028,344.69336,650.92773
MOVE,0,1.0,0.0,577994036,340.55078,636.9512
MOVE,0,1.0,0.0,577994044,335.71973,624.01855
MOVE,0,1.0,0.0,577994053,331.7041,611.1123
MOVE,0,1.0,0.0,577994061,327.68652,599.0586
MOVE,0,1.0,0.0,577994069,323.67383,587.8594
MOVE,0,1.0,0.0,577994078,319.66504,574.99414
MOVE,0,1.0,0.0,577994086,316.83887,562.8711
MOVE,0,1.0,0.0,577994094,314.84277,550.05664
MOVE,0,1.0,0.0,577994103,313.0,537.9951
MOVE,0,1.0,0.0,577994111,312.83496,527.0078
MOVE,0,1.0,0.0,577994119,311.6748,514.8623
MOVE,0,1.0,0.0,577994128,308.6582,501.63184
MOVE,0,1.0,0.0,577994136,305.6621,486.48047
MOVE,0,1.0,0.0,577994144,301.6582,469.29297
MOVE,0,1.0,0.0,577994152,297.68164,450.0918
MOVE,0,1.0,0.0,577994161,294.62598,427.12793
MOVE,0,1.0,0.0,577994168,292.0,410.0
UP,0,1.0,0.0,577994172,292.0,410.0
DOWN,0,1.0,0.0,578053714,202.0,439.0
UP,0,1.0,0.0,578053799,202.0,439.0
DOWN,0,1.0,0.0,578054678,587.0,714.0
UP,0,1.0,0.0,578054711,587.0,714.0
MOVE,0,1.0,0.0,578055456,691.36914,983.1572
MOVE,0,1.0,0.0,578055465,695.3828,963.08594
MOVE,0,1.0,0.0,578055473,699.167,943.4961
MOVE,0,1.0,0.0,578055481,701.18066,925.374
MOVE,0,1.0,0.0,578055489,704.1631,907.6924
MOVE,0,1.0,0.0,578055498,707.1748,891.77734
MOVE,0,1.0,0.0,578055506,709.1738,877.78613
MOVE,0,1.0,0.0,578055514,712.1758,864.9463
MOVE,0,1.0,0.0,578055523,714.0,853.02637
MOVE,0,1.0,0.0,578055531,715.0,842.1416
MOVE,0,1.0,0.0,578055539,716.0,832.1553
MOVE,0,1.0,0.0,578055548,717.0,823.19434
MOVE,0,1.0,0.0,578055556,718.0,814.16504
MOVE,0,1.0,0.0,578055564,718.0,805.3926
MOVE,0,1.0,0.0,578055573,719.0,797.3496
MOVE,0,1.0,0.0,578055581,719.0,790.40234
MOVE,0,1.0,0.0,578055589,719.0,782.3545
MOVE,0,1.0,0.0,578055597,720.0,775.33105
MOVE,0,1.0,0.0,578055606,719.82227,767.28906
MOVE,0,1.0,0.0,578055614,719.0,759.13184
MOVE,0,1.0,0.0,578055622,719.0,750.10156
MOVE,0,1.0,0.0,578055631,719.0,741.17285
MOVE,0,1.0,0.0,578055639,720.1699,732.32227
MOVE,0,1.0,0.0,578055647,722.1787,724.28613
MOVE,0,1.0,0.0,578055656,724.17285,717.3086
MOVE,0,1.0,0.0,578055664,726.1699,710.3213
MOVE,0,1.0,0.0,578055672,728.15625,703.376
MOVE,0,1.0,0.0,578055681,731.1709,696.4883
MOVE,0,1.0,0.0,578055689,733.1719,690.4834
MOVE,0,1.0,0.0,578055697,735.0,684.5381
MOVE,0,1.0,0.0,578055706,736.0,678.4922
MOVE,0,1.0,0.0,578055714,735.84375,672.375
MOVE,0,1.0,0.0,578055722,734.8281,664.31055
MOVE,0,1.0,0.0,578055730,732.8291,657.3174
MOVE,0,1.0,0.0,578055739,730.65234,650.30566
MOVE,0,1.0,0.0,578055747,727.6582,643.3164
MOVE,0,1.0,0.0,578055755,724.8379,636.3496
MOVE,0,1.0,0.0,578055764,722.66016,629.49023
MOVE,0,1.0,0.0,578055772,719.82715,623.48047
MOVE,0,1.0,0.0,578055780,717.8379,617.5127
MOVE,0,1.0,0.0,578055789,716.83496,612.66895
MOVE,0,1.0,0.0,578055797,716.0,609.67285
MOVE,0,1.0,0.0,578055805,716.0,606.83887
MOVE,0,1.0,0.0,578055814,717.0,604.8496
MOVE,0,1.0,0.0,578055822,717.0,602.83203
MOVE,0,1.0,0.0,578055830,718.0,602.83203
MOVE,0,1.0,0.0,578055838,719.166,602.0
MOVE,0,1.0,0.0,578055847,721.16895,601.83105
MOVE,0,1.0,0.0,578055855,723.16895,601.0
MOVE,0,1.0,0.0,578055863,725.15625,601.0
MOVE,0,1.0,0.0,578055872,727.16895,601.0
MOVE,0,1.0,0.0,578055880,729.16113,601.0
MOVE,0,1.0,0.0,578055888,730.0703,601.0
MOVE,0,1.0,0.0,578055905,730.0,599.6035
MOVE,0,1.0,0.0,578055922,728.7031,600.0
MOVE,0,1.0,0.0,578055958,728.0,600.0
MOVE,0,1.0,0.0,578056054,729.0,600.0
MOVE,0,1.0,0.0,578056079,730.0,600.0
MOVE,0,1.0,0.0,578056096,731.04004,600.0
MOVE,0,1.0,0.0,578056113,732.04297,600.0
MOVE,0,1.0,0.0,578056145,733.0,600.0
MOVE,0,1.0,0.0,578056174,732.0,600.0
MOVE,0,1.0,0.0,578056196,731.4033,599.0
MOVE,0,1.0,0.0,578056203,730.5,599.0
MOVE,0,1.0,0.0,578056221,729.40625,597.40625
MOVE,0,1.0,0.0,578056229,728.4053,597.0
MOVE,0,1.0,0.0,578056237,727.4043,596.4043
MOVE,0,1.0,0.0,578056246,726.4072,596.0
MOVE,0,1.0,0.0,578056254,725.4131,595.4131
MOVE,0,1.0,0.0,578056262,724.41113,595.0
MOVE,0,1.0,0.0,578056271,723.4072,595.0
MOVE,0,1.0,0.0,578056279,721.81934,594.81934
MOVE,0,1.0,0.0,578056287,719.64453,594.0
MOVE,0,1.0,0.0,578056296,716.6377,594.0
MOVE,0,1.0,0.0,578056304,713.8174,594.0
UP,0,1.0,0.0,578056315,714.0,594.0
MOVE,0,1.0,0.0,578058257,588.4951,1267.0273
MOVE,0,1.0,0.0,578058265,595.542,1229.8447
MOVE,0,1.0,0.0,578058274,601.5244,1183.4541
MOVE,0,1.0,0.0,578058282,608.79785,1130.8174
MOVE,0,1.0,0.0,578058290,616.4258,1081.168
MOVE,0,1.0,0.0,578058298,621.0,1049.0
UP,0,1.0,0.0,578058302,621.0,1049.0
DOWN,0,1.0,0.0,578058427,671.0,944.0
MOVE,0,1.0,0.0,578058689,674.1719,939.65625
MOVE,0,1.0,0.0,578058698,677.1738,936.6533
MOVE,0,1.0,0.0,578058706,680.1738,932.6533
MOVE,0,1.0,0.0,578058714,682.17676,929.82324
MOVE,0,1.0,0.0,578058722,684.1709,927.6592
MOVE,0,1.0,0.0,578058731,686.0,924.833
MOVE,0,1.0,0.0,578058739,687.1758,922.8242
MOVE,0,1.0,0.0,578058747,689.0,920.8252
MOVE,0,1.0,0.0,578058756,690.0,919.83984
MOVE,0,1.0,0.0,578058764,691.0,918.8203
MOVE,0,1.0,0.0,578058772,691.0,917.40234
MOVE,0,1.0,0.0,578058781,692.0,916.83203
MOVE,0,1.0,0.0,578058786,692.0,915.5
UP,0,1.0,0.0,578058817,692.0,916.0
MOVE,0,1.0,0.0,578061191,799.0,1174.206
MOVE,0,1.0,0.0,578061199,799.0,1157.1543
MOVE,0,1.0,0.0,578061208,800.0,1139.2012
MOVE,0,1.0,0.0,578061216,801.0,1122.2002
MOVE,0,1.0,0.0,578061224,801.0,1105.4023
MOVE,0,1.0,0.0,578061233,800.8096,1089.666
MOVE,0,1.0,0.0,578061241,800.0,1076.8652
MOVE,0,1.0,0.0,578061249,800.0,1065.0762
MOVE,0,1.0,0.0,578061257,800.0,1056.2959
MOVE,0,1.0,0.0,578061266,800.0,1049.4727
MOVE,0,1.0,0.0,578061274,800.0,1043.4707
MOVE,0,1.0,0.0,578061282,800.0,1038.6445
MOVE,0,1.0,0.0,578061291,800.0,1034.6543
MOVE,0,1.0,0.0,578061299,799.8301,1031.6602
MOVE,0,1.0,0.0,578061307,799.0,1028.6855
MOVE,0,1.0,0.0,578061316,799.0,1025.6641
MOVE,0,1.0,0.0,578061324,799.0,1021.6748
MOVE,0,1.0,0.0,578061332,799.0,1017.70605
MOVE,0,1.0,0.0,578061340,799.0,1013.68945
MOVE,0,1.0,0.0,578061349,798.8252,1009.47656
MOVE,0,1.0,0.0,578061357,798.0,1004.49805
MOVE,0,1.0,0.0,578061365,798.0,998.56445
MOVE,0,1.0,0.0,578061374,798.0,992.46484
MOVE,0,1.0,0.0,578061382,797.81934,987.458
MOVE,0,1.0,0.0,578061390,796.8203,981.4619
MOVE,0,1.0,0.0,578061399,796.0,976.4619
MOVE,0,1.0,0.0,578061407,795.8086,970.4248
MOVE,0,1.0,0.0,578061415,794.791,965.374
MOVE,0,1.0,0.0,578061423,793.0,960.0
UP,0,1.0,0.0,578061427,793.0,960.0
DOWN,0,1.0,0.0,578063098,780.0,1177.0
MOVE,0,1.0,0.0,578063152,781.0,1168.8535
MOVE,0,1.0,0.0,578063161,782.0,1157.499
MOVE,0,1.0,0.0,578063169,783.0,1144.5117
MOVE,0,1.0,0.0,578063177,784.20703,1130.5537
MOVE,0,1.0,0.0,578063186,786.0,1116.706
MOVE,0,1.0,0.0,578063194,787.0,1104.7764
MOVE,0,1.0,0.0,578063202,788.0,1092.7832
MOVE,0,1.0,0.0,578063211,789.0,1082.0
MOVE,0,1.0,0.0,578063219,790.0,1072.0283
MOVE,0,1.0,0.0,578063227,791.0,1062.0264
MOVE,0,1.0,0.0,578063235,792.0,1052.0342
MOVE,0,1.0,0.0,578063244,793.0,1041.4531
MOVE,0,1.0,0.0,578063252,794.1836,1026.3506
