answerId,holdMs,phase,pressure,size,timestamp,x,y
mc_q1_choice_C,0,DOWN,1.0,0.0,1966619932,249.0,55.0
mc_q1_choice_C,61,UP,1.0,0.0,1966619993,249.0,55.0
mc_q2_choice_B,0,DOWN,1.0,0.0,1966620297,229.0,36.0
mc_q2_choice_B,83,UP,1.0,0.0,1966620380,229.0,36.0
mc_q2_choice_C,0,DOWN,1.0,0.0,1966621120,99.0,47.0
mc_q2_choice_C,99,UP,1.0,0.0,1966621219,99.0,47.0
mc_q3_choice_D,0,DOWN,1.0,0.0,1966622085,252.0,16.0
mc_q3_choice_D,82,UP,1.0,0.0,1966622167,252.0,16.0
mc_q4_choice_B,0,DOWN,1.0,0.0,1966622783,260.0,51.0
mc_q4_choice_B,41,UP,1.0,0.0,1966622824,260.0,51.0
mc_q4_choice_C,0,DOWN,1.0,0.0,1966622915,97.0,18.0
mc_q4_choice_C,92,UP,1.0,0.0,1966623007,97.0,18.0
mc_q5_choice_A,0,DOWN,1.0,0.0,1966625368,46.0,57.0
mc_q5_choice_A,66,UP,1.0,0.0,1966625434,46.0,57.0
mc_q6_choice_C,0,DOWN,1.0,0.0,1966626382,81.0,38.0
mc_q6_choice_C,108,UP,1.0,0.0,1966626490,81.0,38.0
mc_q6_choice_B,0,DOWN,1.0,0.0,1966626914,300.0,40.0
mc_q6_choice_B,82,UP,1.0,0.0,1966626996,300.0,40.0
mc_q7_choice_C,0,DOWN,1.0,0.0,1966628069,111.0,54.0
mc_q7_choice_C,91,UP,1.0,0.0,1966628160,111.0,54.0
mc_q7_choice_A,0,DOWN,1.0,0.0,1966629582,282.0,95.0
mc_q7_choice_A,82,UP,1.0,0.0,1966629664,282.0,95.0
mc_q8_choice_A,0,DOWN,1.0,0.0,1966630704,234.0,83.0
mc_q8_choice_A,61,UP,1.0,0.0,1966630765,234.0,83.0
mc_q8_choice_B,0,DOWN,1.0,0.0,1966632101,319.0,55.0
mc_q8_choice_B,82,UP,1.0,0.0,1966632183,319.0,55.0
mc_q9_choice_A,0,DOWN,1.0,0.0,1966633489,66.0,82.0
mc_q9_choice_A,61,UP,1.0,0.0,1966633550,66.0,82.0
mc_q10_choice_C,0,DOWN,1.0,0.0,1966634736,101.0,49.0
mc_q10_choice_C,43,UP,1.0,0.0,1966634779,101.0,49.0
mc_q10_choice_D,0,DOWN,1.0,0.0,1966634894,214.0,114.0
mc_q11_choice_A,0,DOWN,1.0,0.0,1966636058,38.0,74.0
mc_q11_choice_A,41,UP,1.0,0.0,1966636099,38.0,74.0
mc_q11_choice_A,0,DOWN,1.0,0.0,1966636332,14.0,62.0
mc_q11_choice_A,91,UP,1.0,0.0,1966636423,14.0,62.0
mc_q12_choice_A,0,DOWN,1.0,0.0,1966637163,160.0,47.0
mc_q12_choice_A,66,UP,1.0,0.0,1966637229,160.0,47.0
mc_q12_choice_C,0,DOWN,1.0,0.0,1966637420,165.0,66.0
mc_q12_choice_C,66,UP,1.0,0.0,1966637486,165.0,66.0
mc_q13_choice_A,0,DOWN,1.0,0.0,1966639116,59.0,49.0
mc_q13_choice_A,99,UP,1.0,0.0,1966639215,59.0,49.0
mc_q14_choice_B,0,DOWN,1.0,0.0,1966646481,85.0,86.0
mc_q14_choice_B,59,UP,1.0,0.0,1966646540,85.0,86.0
mc_q14_choice_A,0,DOWN,1.0,0.0,1966647295,98.0,81.0
mc_q14_choice_A,75,UP,1.0,0.0,1966647370,98.0,81.0
mc_q14_choice_C,0,DOWN,1.0,0.0,1966647544,107.0,21.0
