timestamp_ns,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,activity
37789039811000,-1.129319,4.892918,7.2664022,0.15562312,0.06177,0.007854375,13.2375,-35.287502,0.26250002,walking
37789059831000,-1.263306,4.758931,8.108606,0.16760437,0.058308747,0.00292875,13.312501,-35.025,-0.39375,walking
37789079850000,-1.3015879,4.778072,9.084797,0.15908436,0.053383123,-1.33125E-4,13.462501,-34.706253,-0.93750006,walking
37789099870000,-1.3015879,4.7206492,9.735591,0.15162937,0.0569775,-0.01065,13.5375,-34.706253,-0.99375004,walking
37789119889000,-1.167601,4.605803,9.678168,0.14523937,0.059906248,-0.0197025,13.556251,-34.85625,-0.95625,walking
37789139909000,-1.071896,4.567521,9.180502,0.103305,0.06696187,-0.029420624,13.575001,-34.875,-0.63750005,walking
37789159928000,-0.995332,4.682367,8.548849,0.041801248,0.079875,-0.043798123,13.51875,-35.0625,-0.5625,walking
37789179948000,-0.918768,4.8163543,7.99376,-0.02369625,0.08027437,-0.049389374,13.575001,-35.04375,-0.52500004,walking
37789199967000,-0.918768,4.912059,7.783209,-0.09398624,0.077345625,-0.05325,13.44375,-35.025,-0.46875003,walking
37789219987000,-0.976191,4.912059,7.878914,-0.16361062,0.07162125,-0.054847497,13.481251,-35.025,-0.46875003,walking
37789240006000,-1.052755,4.835495,8.18517,-0.22671187,0.063234374,-0.054581247,13.462501,-35.0625,-0.63750005,walking
37789260026000,-1.110178,4.73979,8.510567,-0.27783185,0.052318122,-0.053782497,13.462501,-35.100002,-0.675,walking
37789280045000,-1.110178,4.7206492,8.644554,-0.31311,0.0399375,-0.0527175,13.5375,-35.1375,-0.63750005,walking
37789300065000,-1.091037,4.7206492,8.587131,-0.3306825,0.02795625,-0.050321247,13.593751,-35.2125,-0.50625,walking
37789320084000,-1.052755,4.758931,8.453144,-0.33094874,0.017173124,-0.046460625,13.63125,-35.23125,-0.52500004,walking
37789340104000,-1.033614,4.797213,8.357439,-0.30285937,0.011049375,-0.041002497,13.593751,-35.2125,-0.50625,walking
37789360124000,-1.033614,4.8163543,8.300016,-0.27277312,2.6625E-4,-0.039005622,13.481251,-35.15625,-0.43125,walking
37789380143000,-0.995332,4.835495,8.280875,-0.24694687,-0.008919375,-0.037274998,13.312501,-35.04375,-0.35625002,walking
37789400163000,-0.95704997,4.835495,8.261734,-0.21087,-0.007588125,-0.031816874,13.25625,-35.100002,-0.26250002,walking
37789420182000,-0.899627,4.854636,8.300016,-0.15788624,-0.019569375,-0.0335475,13.181251,-35.2125,-0.1875,walking
37789440202000,-0.861345,4.892918,8.37658,-0.11275687,-0.029686874,-0.035145,13.106251,-35.25,-0.22500001,walking
37789460221000,-0.899627,4.892918,8.357439,-0.07894312,-0.03061875,-0.034745622,13.200001,-35.15625,-0.35625002,walking
37789480241000,-0.995332,4.835495,8.204311,-0.050188124,-0.0314175,-0.034479372,13.200001,-35.11875,-0.46875003,walking
37789500260000,-1.071896,4.758931,8.108606,-0.04286625,-0.026891248,-0.029420624,13.293751,-35.04375,-0.50625,walking
37789520280000,-1.033614,4.73979,8.204311,-0.036609374,-0.022897499,-0.025160624,13.312501,-35.15625,-0.41250002,walking
37789540299000,-0.937909,4.758931,8.510567,-0.031284373,-0.019569375,-0.021433124,13.275001,-35.11875,-0.43125,walking
37789560319000,-0.842204,4.758931,8.778541,-0.04765875,-0.01198125,-0.024494998,13.293751,-35.1375,-0.50625,walking
37789580338000,-0.918768,4.7206492,8.855105,-0.06150375,-0.005458125,-0.027157499,13.181251,-35.0625,-0.5625,walking
37789600358000,-0.95704997,4.682367,8.721118,-0.07375125,-0.00426,-0.02848875,13.200001,-35.100002,-0.24375,walking
37789620377000,-0.995332,4.7206492,8.529708,-0.08426812,-0.003328125,-0.029553749,13.14375,-35.30625,-0.075,walking
37789640397000,-0.937909,4.797213,8.261734,-0.088128746,-0.0047925,-0.030885,13.031251,-35.325,0.0375,walking
37789660416000,-0.880486,4.854636,8.032042,-0.091456875,-0.005990625,-0.032083124,12.918751,-35.362503,-0.13125001,walking
37789680436000,-0.842204,4.892918,7.840632,-0.078011245,-0.0050587496,-0.027423749,12.88125,-35.325,-0.26250002,walking
37789700456000,-0.689076,4.892918,7.783209,-0.06669562,-0.004393125,-0.02343,12.918751,-35.30625,-0.31875002,walking
37789720475000,-0.593371,4.835495,7.917196,-0.0569775,-0.0037274999,-0.01996875,12.95625,-35.325,-0.41250002,walking
37789740495000,-0.612512,4.7206492,8.280875,-0.048590623,-0.0031949999,-0.01704,12.993751,-35.23125,-0.6,walking
37789760514000,-0.746499,4.605803,8.663695,-0.041534998,-0.0026625,-0.014643749,13.031251,-35.1375,-0.975,walking
37789780534000,-0.95704997,4.452675,8.931669,-0.035544373,-0.002263125,-0.012513749,13.218751,-35.0625,-1.1625,walking
37789800553000,-1.071896,4.299547,8.969951,-0.0303525,-0.0019968748,-0.01065,13.462501,-35.0625,-1.3687501,walking
