phase,pointerId,pressure,size,timestamp,x,y
DOWN,0,0.013,0.039215688,54622055,469.0,772.0
UP,0,0.013,0.039215688,54622138,469.0,772.0
DOWN,0,0.018000001,0.039215688,54622304,466.0,802.0
MOVE,0,0.020000001,0.039215688,54622352,467.0,797.61523
MOVE,0,0.020000001,0.039215688,54622369,468.0,786.16504
MOVE,0,0.019000001,0.039215688,54622385,471.38477,765.69336
MOVE,0,0.018000001,0.039215688,54622402,478.76562,730.8623
MOVE,0,0.018000001,0.039215688,54622418,488.45703,686.791
MOVE,0,0.019000001,0.039215688,54622435,502.1338,639.84375
MOVE,0,0.020000001,0.039215688,54622452,514.4492,597.89453
MOVE,0,0.021000002,0.043137256,54622468,523.76074,564.64746
MOVE,0,0.022000002,0.043137256,54622485,530.0615,541.1289
MOVE,0,0.022000002,0.043137256,54622502,533.6875,524.874
MOVE,0,0.022000002,0.043137256,54622518,535.6914,515.2334
MOVE,0,0.022000002,0.043137256,54622535,537.6924,507.92188
MOVE,0,0.022000002,0.043137256,54622552,538.0,504.6084
MOVE,0,0.022000002,0.043137256,54622568,538.0,502.30566
MOVE,0,0.022000002,0.043137256,54622575,538.0,501.5
MOVE,0,0.022000002,0.043137256,54622596,538.0,501.0
MOVE,0,0.022000002,0.043137256,54622618,538.0,499.65723
MOVE,0,0.019000001,0.039215688,54622650,536.5,500.0
MOVE,0,0.016,0.039215688,54622685,537.0,502.6963
MOVE,0,0.016,0.03529412,54622701,537.0,507.39355
MOVE,0,0.015000001,0.03529412,54622718,537.0,514.1035
MOVE,0,0.014,0.03529412,54622735,536.0,520.0469
MOVE,0,0.006,0.03529412,54622751,536.0,530.96875
MOVE,0,0.006,0.03529412,54622762,535.0,552.0
UP,0,0.006,0.03529412,54622770,535.0,552.0
DOWN,0,0.018000001,0.03529412,54622920,550.0,351.0
UP,0,0.018000001,0.03529412,54623020,550.0,351.0
DOWN,0,0.016,0.03529412,54623536,196.0,843.0
MOVE,0,0.017,0.03529412,54623553,196.0,843.0
DOWN,1,0.014,0.03529412,54623553,531.0,484.0
UP,0,0.017,0.03529412,54623636,196.0,843.0
MOVE,1,0.008,0.03137255,54623636,531.0,484.0
UP,1,0.008,0.03137255,54623669,531.0,484.0
DOWN,0,0.013,0.03529412,54624268,159.0,746.0
UP,0,0.013,0.03529412,54624368,159.0,746.0
DOWN,0,0.011000001,0.03137255,54624501,459.0,930.0
UP,0,0.011000001,0.03137255,54624568,459.0,930.0
DOWN,0,0.016,0.03529412,54624751,490.0,837.0
MOVE,0,0.018000001,0.03529412,54624799,491.0,824.9824
MOVE,0,0.018000001,0.03529412,54624815,494.42676,801.2959
MOVE,0,0.018000001,0.039215688,54624832,500.14453,762.2705
MOVE,0,0.020000001,0.039215688,54624849,510.55762,709.7871
MOVE,0,0.018000001,0.039215688,54624865,526.70215,652.04395
MOVE,0,0.018000001,0.03529412,54624882,543.6924,596.7871
MOVE,0,0.016,0.03137255,54624898,559.7129,547.5762
MOVE,0,0.014,0.03529412,54624915,573.375,507.6045
MOVE,0,0.010000001,0.03529412,54624932,585.68555,469.20215
MOVE,0,0.010000001,0.03529412,54624942,601.0,425.0
UP,0,0.010000001,0.03529412,54624950,601.0,425.0
DOWN,0,0.018000001,0.03529412,54625084,521.0,657.0
MOVE,0,0.018000001,0.039215688,54625215,520.0,659.71387
MOVE,0,0.017,0.03529412,54625231,520.0,662.7129
MOVE,0,0.017,0.03529412,54625248,519.0,668.42773
MOVE,0,0.016,0.03529412,54625265,516.2822,676.8721
MOVE,0,0.014,0.03529412,54625281,514.2822,687.5879
MOVE,0,0.012,0.03137255,54625298,511.26758,695.93066
MOVE,0,0.007,0.03137255,54625308,510.0,701.0
UP,0,0.007,0.03137255,54625317,510.0,701.0
DOWN,0,0.018000001,0.03529412,54625450,506.0,601.0
UP,0,0.018000001,0.03529412,54625566,506.0,601.0
DOWN,1,0.010000001,0.03529412,54625999,493.0,772.0
UP,1,0.010000001,0.03529412,54626082,493.0,772.0
DOWN,0,0.014,0.03529412,54626149,141.0,661.0
MOVE,0,0.006,0.039215688,54626232,141.0,661.0
DOWN,1,0.015000001,0.03529412,54626232,511.0,741.0
UP,0,0.006,0.039215688,54626249,141.0,661.0
MOVE,1,0.017,0.03529412,54626249,511.0,741.0
UP,1,0.017,0.03529412,54626332,511.0,741.0
DOWN,0,0.014,0.03529412,54627248,230.0,1030.0
UP,0,0.014,0.03529412,54627364,230.0,1030.0
DOWN,0,0.017,0.03529412,54628063,503.0,876.0
MOVE,0,0.018000001,0.039215688,54628111,503.0,849.6865
MOVE,0,0.018000001,0.03529412,54628127,502.0,815.14746
MOVE,0,0.019000001,0.039215688,54628144,503.0,772.7422
MOVE,0,0.020000001,0.039215688,54628161,505.71094,729.07324
MOVE,0,0.020000001,0.039215688,54628177,510.41797,689.5322
MOVE,0,0.021000002,0.039215688,54628194,515.41113,654.0029
MOVE,0,0.021000002,0.039215688,54628211,520.416,620.6738
MOVE,0,0.021000002,0.039215688,54628227,527.1201,590.40137
MOVE,0,0.021000002,0.039215688,54628244,534.1074,562.8701
MOVE,0,0.020000001,0.039215688,54628261,541.1074,539.27246
MOVE,0,0.020000001,0.039215688,54628277,547.1172,519.64746
MOVE,0,0.020000001,0.039215688,54628294,553.11914,504.05566
MOVE,0,0.021000002,0.039215688,54628311,556.41406,493.46582
MOVE,0,0.020000001,0.039215688,54628327,560.4199,485.86914
MOVE,0,0.016,0.039215688,54628344,561.73145,481.5381
MOVE,0,0.007,0.03529412,54628360,567.71387,475.28613
MOVE,0,0.007,0.03529412,54628371,578.0,465.0
UP,0,0.007,0.03529412,54628379,578.0,465.0
DOWN,0,0.016,0.039215688,54628679,483.0,872.0
UP,0,0.016,0.039215688,54628762,483.0,872.0
DOWN,0,0.014,0.03137255,54630776,204.0,1043.0
UP,0,0.014,0.03137255,54630876,204.0,1043.0
DOWN,0,0.007,0.03529412,54630993,508.0,869.0
MOVE,0,0.021000002,0.039215688,54631040,509.0,844.76953
MOVE,0,0.021000002,0.039215688,54631057,512.71387,808.0029
MOVE,0,0.021000002,0.039215688,54631073,518.1367,755.3408
MOVE,0,0.020000001,0.039215688,54631090,528.28516,686.28613
MOVE,0,0.019000001,0.039215688,54631107,546.17773,609.7256
MOVE,0,0.017,0.03137255,54631123,573.98145,528.48047
MOVE,0,0.011000001,0.03137255,54631140,607.07324,455.37793
MOVE,0,0.004,0.023529414,54631157,638.4619,388.60254
MOVE,0,0.004,0.023529414,54631167,673.0,322.0
UP,0,0.004,0.023529414,54631175,673.0,322.0
DOWN,0,0.008,0.03529412,54631376,522.0,700.0
MOVE,0,0.019000001,0.039215688,54631440,525.3877,689.14355
MOVE,0,0.020000001,0.039215688,54631456,533.2529,665.2412
MOVE,0,0.020000001,0.043137256,54631473,547.8164,626.24023
MOVE,0,0.020000001,0.043137256,54631490,564.55566,582.416
MOVE,0,0.019000001,0.039215688,54631506,583.2588,539.7881
MOVE,0,0.013,0.03529412,54631523,603.6406,492.17188
MOVE,0,0.013,0.03529412,54631534,630.0,435.0
UP,0,0.013,0.03529412,54631542,630.0,435.0
DOWN,0,0.004,0.039215688,54632840,561.0,658.0
MOVE,0,0.019000001,0.039215688,54632921,564.37305,646.19336
MOVE,0,0.018000001,0.039215688,54632938,570.06934,624.0342
MOVE,0,0.018000001,0.03529412,54632954,582.1289,590.30176
MOVE,0,0.018000001,0.039215688,54632971,596.9531,550.55664
MOVE,0,0.016,0.039215688,54632988,613.6924,512.48145
MOVE,0,0.012,0.039215688,54633004,629.04395,478.19238
MOVE,0,0.004,0.039215688,54633021,644.9492,438.3203
MOVE,0,0.004,0.039215688,54633032,665.0,387.0
UP,0,0.004,0.039215688,54633040,665.0,387.0
DOWN,0,0.019000001,0.039215688,54633173,595.0,537.0
MOVE,0,0.019000001,0.039215688,54633270,594.0,540.6904
MOVE,0,0.018000001,0.039215688,54633287,591.3076,544.38477
MOVE,0,0.019000001,0.039215688,54633304,588.3115,551.0664
MOVE,0,0.019000001,0.039215688,54633320,585.3115,557.0664
MOVE,0,0.019000001,0.039215688,54633337,580.6211,563.06836
MOVE,0,0.019000001,0.039215688,54633354,578.3096,569.0703
MOVE,0,0.019000001,0.039215688,54633370,576.3115,573.376
MOVE,0,0.019000001,0.039215688,54633387,574.31055,575.68945
MOVE,0,0.019000001,0.039215688,54633404,572.3086,578.6914
MOVE,0,0.019000001,0.039215688,54633420,572.0,580.69434
MOVE,0,0.018000001,0.03529412,54633437,571.0,582.68945
MOVE,0,0.018000001,0.03529412,54633452,569.5,584.5
MOVE,0,0.017,0.03529412,54633485,568.5,585.0
UP,0,0.017,0.03529412,54633522,569.0,585.0
DOWN,0,0.009000001,0.027450982,54635021,488.0,698.0
MOVE,0,0.022000002,0.039215688,54635101,494.7705,685.15234
MOVE,0,0.022000002,0.039215688,54635118,507.5166,664.03613
MOVE,0,0.022000002,0.039215688,54635135,530.458,626.90234
MOVE,0,0.022000002,0.039215688,54635151,557.1719,583.1836
MOVE,0,0.022000002,0.039215688,54635168,580.70605,537.5869
MOVE,0,0.022000002,0.039215688,54635185,599.26855,496.76758
MOVE,0,0.022000002,0.039215688,54635201,612.97656,460.91406
MOVE,0,0.022000002,0.039215688,54635218,625.2207,429.44922
MOVE,0,0.019000001,0.039215688,54635235,638.2832,400.00684
MOVE,0,0.015000001,0.039215688,54635251,653.083,376.28613
MOVE,0,0.008,0.039215688,54635262,663.0,362.0
UP,0,0.008,0.039215688,54635270,663.0,362.0
DOWN,0,0.018000001,0.039215688,54635720,524.0,438.0
UP,0,0.018000001,0.039215688,54635769,524.0,438.0
DOWN,0,0.014,0.03529412,54637451,578.0,524.0
MOVE,0,0.021000002,0.039215688,54637515,580.709,496.91113
MOVE,0,0.021000002,0.039215688,54637531,583.708,475.91895
MOVE,0,0.022000002,0.039215688,54637548,586.69727,456.02344
MOVE,0,0.023000002,0.043137256,54637565,591.3994,437.70117
MOVE,0,0.023000002,0.039215688,54637581,593.7002,419.70215
MOVE,0,0.023000002,0.043137256,54637598,596.70215,404.0869
MOVE,0,0.022000002,0.039215688,54637615,599.69727,390.8164
MOVE,0,0.022000002,0.039215688,54637631,602.7031,380.4834
MOVE,0,0.022000002,0.039215688,54637648,604.7002,370.49805
MOVE,0,0.023000002,0.043137256,54637665,606.68945,362.93066
MOVE,0,0.022000002,0.039215688,54637681,608.7002,356.90137
MOVE,0,0.020000001,0.039215688,54637698,609.0,352.58105
MOVE,0,0.017,0.03529412,54637715,609.0,348.55078
MOVE,0,0.009000001,0.03529412,54637731,610.72754,341.90527
MOVE,0,0.009000001,0.03529412,54637742,614.0,327.0
UP,0,0.009000001,0.03529412,54637750,614.0,327.0
DOWN,0,0.009000001,0.03137255,54637933,477.0,543.0
UP,0,0.009000001,0.03137255,54638016,477.0,543.0
DOWN,0,0.016,0.03137255,54639398,554.0,603.0
MOVE,0,0.018000001,0.03529412,54639446,555.0,587.28613
MOVE,0,0.020000001,0.039215688,54639462,557.7129,566.874
MOVE,0,0.020000001,0.03529412,54639479,559.70703,543.2256
MOVE,0,0.021000002,0.039215688,54639496,562.70605,517.5254
MOVE,0,0.021000002,0.039215688,54639512,565.70605,495.23633
MOVE,0,0.020000001,0.039215688,54639529,568.7041,475.66406
MOVE,0,0.022000002,0.039215688,54639545,570.7012,458.38965
MOVE,0,0.022000002,0.039215688,54639562,572.7012,444.79492
MOVE,0,0.021000002,0.039215688,54639579,574.7129,433.4375
