answerId,holdMs,phase,pressure,size,timestamp,x,y
mc_q12_choice_C,0,DOWN,0.018000001,0.039215688,54402319,120.0,53.0
mc_q12_choice_C,99,UP,0.018000001,0.039215688,54402418,120.0,53.0
mc_q13_choice_A,0,DOWN,0.010000001,0.03529412,54405198,84.0,39.0
mc_q13_choice_A,116,UP,0.016,0.039215688,54405314,82.0,40.0
mc_q14_choice_A,0,DOWN,0.019000001,0.039215688,54407995,207.0,54.0
mc_q14_choice_A,66,UP,0.019000001,0.039215688,54408061,207.0,54.0
mc_q14_choice_B,0,DOWN,0.015000001,0.03529412,54409509,95.0,21.0
mc_q14_choice_B,100,UP,0.015000001,0.03529412,54409609,95.0,21.0
mc_q14_choice_B,0,DOWN,0.016,0.03137255,54409725,137.0,42.0
mc_q14_choice_B,117,UP,0.014,0.03137255,54409842,138.0,41.0
mc_q14_choice_D,0,DOWN,0.009000001,0.027450982,54410008,142.0,66.0
mc_q14_choice_C,0,DOWN,0.014,0.03137255,54410059,144.0,9.0
mc_q14_choice_D,66,UP,0.016,0.03137255,54410125,142.0,66.0
mc_q14_choice_C,132,UP,0.015000001,0.03529412,54410191,144.0,10.0
mc_q14_choice_D,0,DOWN,0.014,0.03529412,54410258,148.0,29.0
mc_q14_choice_C,0,DOWN,0.011000001,0.03137255,54410292,148.0,61.0
mc_q14_choice_D,66,UP,0.016,0.03529412,54410358,148.0,29.0
mc_q14_choice_C,116,UP,0.018000001,0.03529412,54410408,148.0,61.0
mc_q14_choice_B,0,DOWN,0.017,0.03529412,54410474,155.0,39.0
mc_q14_choice_B,100,UP,0.017,0.03529412,54410574,155.0,39.0
mc_q14_choice_A,0,DOWN,0.014,0.03137255,54410574,111.0,43.0
mc_q14_choice_A,117,UP,0.014,0.03137255,54410691,111.0,43.0
mc_q14_choice_D,0,DOWN,0.013,0.03137255,54410741,142.0,65.0
mc_q14_choice_D,83,UP,0.013,0.03137255,54410824,142.0,65.0
mc_q14_choice_C,0,DOWN,0.014,0.03137255,54410857,144.0,9.0
mc_q14_choice_C,83,UP,0.010000001,0.03529412,54410940,144.0,10.0
mc_q14_choice_D,0,DOWN,0.014,0.03137255,54410990,150.0,1.0
mc_q14_choice_D,100,UP,0.014,0.03137255,54411090,150.0,1.0
mc_q14_choice_C,0,DOWN,0.015000001,0.03137255,54411090,158.0,58.0
mc_q14_choice_C,100,UP,0.015000001,0.03137255,54411190,158.0,58.0
mc_q14_choice_D,0,DOWN,0.009000001,0.03137255,54411223,160.0,0.0
mc_q14_choice_D,100,UP,0.009000001,0.03137255,54411323,160.0,0.0
mc_q14_choice_A,0,DOWN,0.007,0.03137255,54411407,130.0,56.0
mc_q14_choice_B,0,DOWN,0.0050000004,0.03137255,54411457,160.0,66.0
mc_q14_choice_A,83,UP,0.022000002,0.043137256,54411540,130.0,56.0
mc_q14_choice_B,99,UP,0.004,0.03529412,54411556,160.0,66.0
mc_q14_choice_D,0,DOWN,0.006,0.03137255,54411673,158.0,74.0
mc_q14_choice_C,0,DOWN,0.011000001,0.03137255,54411756,145.0,56.0
mc_q14_choice_D,33,UP,0.011000001,0.03137255,54411789,158.0,74.0
mc_q14_choice_C,100,UP,0.014,0.03137255,54411856,145.0,56.0
mc_q14_choice_D,0,DOWN,0.014,0.03137255,54411939,146.0,3.0
mc_q14_choice_C,0,DOWN,0.007,0.03137255,54411989,140.0,76.0
mc_q14_choice_D,50,UP,0.014,0.03137255,54412039,146.0,3.0
mc_q14_choice_C,100,UP,0.015000001,0.03529412,54412089,140.0,76.0
mc_q14_choice_A,0,DOWN,0.016,0.039215688,54412305,123.0,65.0
mc_q14_choice_A,117,UP,0.016,0.039215688,54412422,123.0,65.0
mc_q14_choice_B,0,DOWN,0.011000001,0.027450982,54412422,143.0,50.0
mc_q14_choice_B,83,UP,0.011000001,0.027450982,54412505,143.0,50.0
