phase,pointerId,pressure,size,timestamp,x,y
MOVE,0,1.0,0.043137256,167002226,729.70905,1173.7274
MOVE,0,1.0,0.043137256,167002242,750.31134,1110.3937
MOVE,0,1.0,0.043137256,167002259,771.01953,1052.9414
MOVE,0,1.0,0.019607844,167002276,789.83264,1011.3347
MOVE,0,1.0,0.043137256,167002292,809.61597,981.7246
MOVE,0,1.0,0.043137256,167002309,824.4275,965.5725
MOVE,0,1.0,0.043137256,167002325,834.90656,958.3645
MOVE,0,1.0,0.043137256,167002342,841.2301,955.3849
MOVE,0,1.0,0.043137256,167002359,844.5865,952.41345
MOVE,0,1.0,0.043137256,167002375,846.0,950.5
MOVE,0,1.0,0.043137256,167002392,843.4026,950.0
MOVE,0,1.0,0.019607844,167002409,839.86774,950.0
MOVE,0,1.0,0.019607844,167002425,829.19354,959.43774
MOVE,0,1.0,0.019607844,167002442,798.42346,1036.2081
MOVE,0,1.0,0.019607844,167002459,776.4378,1137.8109
MOVE,0,1.0,0.019607844,167002476,766.37006,1232.6381
MOVE,0,1.0,0.043137256,167002492,769.59344,1303.869
MOVE,0,1.0,0.043137256,167002509,774.535,1355.5592
MOVE,0,1.0,0.043137256,167002526,777.0,1404.9384
MOVE,0,1.0,0.019607844,167002542,776.381,1465.8557
MOVE,0,1.0,0.019607844,167002553,777.5,1512.5
UP,0,1.0,0.019607844,167002583,777.0,1500.0
MOVE,0,1.0,0.054901965,167003577,627.32477,1130.6006
MOVE,0,1.0,0.054901965,167003594,664.29584,1027.9186
MOVE,0,1.0,0.043137256,167003611,716.0845,926.6649
MOVE,0,1.0,0.043137256,167003628,767.9048,841.76184
MOVE,0,1.0,0.04705883,167003644,810.29095,787.709
MOVE,0,1.0,0.043137256,167003661,833.94476,764.0553
MOVE,0,1.0,0.043137256,167003678,844.88745,753.11255
MOVE,0,1.0,0.043137256,167003694,852.9176,745.72156
MOVE,0,1.0,0.019607844,167003711,858.626,739.74805
MOVE,0,1.0,0.019607844,167003728,861.6461,733.70776
MOVE,0,1.0,0.019607844,167003744,864.6074,726.78516
MOVE,0,1.0,0.019607844,167003761,867.0,720.67664
MOVE,0,1.0,0.019607844,167003778,867.0,717.39343
MOVE,0,1.0,0.019607844,167003794,867.0,714.3662
MOVE,0,1.0,0.019607844,167003811,868.618,714.0
MOVE,0,1.0,0.019607844,167003828,871.5828,714.0
MOVE,0,1.0,0.04705883,167003845,873.0,715.0
MOVE,0,1.0,0.043137256,167003861,873.0,717.65076
MOVE,0,1.0,0.043137256,167003878,871.3616,720.6384
MOVE,0,1.0,0.043137256,167003895,864.1574,728.4568
MOVE,0,1.0,0.043137256,167003911,842.50464,762.3412
MOVE,0,1.0,0.043137256,167003928,808.78894,827.07776
MOVE,0,1.0,0.043137256,167003945,781.12854,897.6144
MOVE,0,1.0,0.043137256,167003961,762.6353,965.77637
MOVE,0,1.0,0.043137256,167003978,750.0759,1021.62036
MOVE,0,1.0,0.050980397,167003995,745.40436,1056.9567
MOVE,0,1.0,0.050980397,167004011,742.87506,1084.6249
MOVE,0,1.0,0.043137256,167004028,739.4551,1111.3593
MOVE,0,1.0,0.043137256,167004045,735.7372,1132.7885
MOVE,0,1.0,0.043137256,167004061,731.3975,1145.8075
MOVE,0,1.0,0.043137256,167004078,728.42004,1150.58
MOVE,0,1.0,0.043137256,167004095,725.41077,1152.0
MOVE,0,1.0,0.019607844,167004099,724.5,1152.0
UP,0,1.0,0.019607844,167004131,725.0,1152.0
DOWN,0,1.0,0.043137256,167004415,751.0,1102.0
MOVE,0,1.0,0.04705883,167004422,751.0,1102.0
MOVE,0,1.0,0.04705883,167004428,751.0,1102.0
MOVE,0,1.0,0.04705883,167004456,751.0,1102.0
UP,0,1.0,0.019607844,167004476,751.0,1102.0
DOWN,0,1.0,0.050980397,167006323,669.0,1401.0
MOVE,0,1.0,0.054901965,167006331,669.0,1401.0
MOVE,0,1.0,0.058823533,167006365,672.0999,1332.4009
MOVE,0,1.0,0.058823533,167006382,680.2372,1248.0176
MOVE,0,1.0,0.054901965,167006398,696.5399,1167.3462
MOVE,0,1.0,0.054901965,167006415,717.2595,1087.8245
MOVE,0,1.0,0.054901965,167006432,743.9531,1024.9642
MOVE,0,1.0,0.04705883,167006449,769.38477,980.2219
MOVE,0,1.0,0.054901965,167006466,798.4693,938.4922
MOVE,0,1.0,0.04705883,167006482,821.1725,904.28955
MOVE,0,1.0,0.04705883,167006499,832.9397,884.7672
MOVE,0,1.0,0.04705883,167006516,837.64923,874.70154
MOVE,0,1.0,0.043137256,167006532,838.0,871.3396
MOVE,0,1.0,0.043137256,167006549,835.3446,868.3446
MOVE,0,1.0,0.043137256,167006566,832.3778,866.0
MOVE,0,1.0,0.043137256,167006577,830.5,866.0
MOVE,0,1.0,0.019607844,167006596,830.5,866.0
UP,0,1.0,0.019607844,167006629,830.5,866.0
MOVE,0,1.0,0.054901965,167006900,724.37244,1176.8826
MOVE,0,1.0,0.054901965,167006917,740.13837,1129.3296
MOVE,0,1.0,0.04705883,167006933,760.19183,1080.2191
MOVE,0,1.0,0.04705883,167006950,776.0997,1049.6605
MOVE,0,1.0,0.054901965,167006966,789.7476,1030.7029
MOVE,0,1.0,0.050980397,167006983,802.6468,1015.8043
MOVE,0,1.0,0.054901965,167007000,809.58514,1007.8297
MOVE,0,1.0,0.050980397,167007016,812.0,1003.3779
MOVE,0,1.0,0.019607844,167007033,810.4084,1000.4083
MOVE,0,1.0,0.019607844,167007050,807.34796,999.0
MOVE,0,1.0,0.019607844,167007060,805.5,999.0
UP,0,1.0,0.019607844,167007091,806.0,999.0
DOWN,0,1.0,0.050980397,167007877,665.0,1216.0
MOVE,0,1.0,0.054901965,167007884,665.0,1216.0
MOVE,0,1.0,0.04705883,167007909,665.0,1216.0
MOVE,0,1.0,0.04705883,167007951,664.0,1212.3705
MOVE,0,1.0,0.04705883,167007968,664.0,1209.4062
MOVE,0,1.0,0.054901965,167007985,666.6131,1206.387
MOVE,0,1.0,0.058823533,167008001,669.5876,1205.0
MOVE,0,1.0,0.043137256,167008018,672.6024,1205.6024
MOVE,0,1.0,0.019607844,167008023,673.5,1206.5
UP,0,1.0,0.019607844,167008042,673.0,1206.0
