timestamp_ns,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,activity
4493173216783,-0.1794617,1.4596218,9.769895,4.581486E-4,-0.0025961753,-0.0,-49.593754,-114.93751,-143.70001,sitting
4493193216783,-0.17228323,1.4739788,9.781859,-0.0,-0.0013744457,9.162972E-4,-49.36875,-112.03126,-142.35,sitting
4493213216783,-0.1794617,1.4620147,9.760324,-3.054324E-4,0.0010690134,9.162972E-4,-51.937504,-115.05,-141.13126,sitting
4493233216783,-0.1794617,1.4763715,9.801002,-7.6358096E-4,0.0010690134,4.581486E-4,-51.037502,-114.975006,-141.1125,sitting
4493253216783,-0.16271193,1.4596218,9.74836,4.581486E-4,6.108648E-4,1.527162E-4,-51.506252,-112.912506,-140.96251,sitting
4493273216783,-0.16031912,1.4668003,9.784252,-3.054324E-4,-4.581486E-4,-3.054324E-4,-52.331253,-116.25001,-140.13751,sitting
4493293216783,-0.15074782,1.4524434,9.717253,-0.0,0.0,-4.581486E-4,-52.2,-116.64375,-143.64375,sitting
4493313216783,-0.15314065,1.4763715,9.812965,-0.0,0.0,-0.0,-51.35625,-115.012505,-141.58125,sitting
4493333216783,-0.1794617,1.4787644,9.74836,-9.162972E-4,3.054324E-4,-3.054324E-4,-52.406254,-115.70625,-141.71251,sitting
4493353216783,-0.1698904,1.4739788,9.815358,7.6358096E-4,0.0010690134,-0.0,-51.506252,-115.8,-142.6125,sitting
4493373216783,-0.17706887,1.4859428,9.722038,4.581486E-4,-9.162972E-4,-3.054324E-4,-50.287502,-112.293755,-144.05626,sitting
4493393216783,-0.18903299,1.4524434,9.805787,-7.6358096E-4,0.0,-0.0,-52.237503,-115.9875,-141.69376,sitting
4493413216783,-0.18664017,1.4668003,9.755538,-3.054324E-4,-1.527162E-4,-4.581486E-4,-49.143753,-113.25001,-143.49376,sitting
4493433216783,-0.17706887,1.4548361,9.803394,-4.581486E-4,-1.527162E-4,-3.054324E-4,-51.506252,-115.18125,-142.03125,sitting
4493453216783,-0.16271193,1.4596218,9.767502,-4.581486E-4,6.108648E-4,1.527162E-4,-53.193752,-116.2125,-141.54376,sitting
4493473216783,-0.14117654,1.4476577,9.777073,3.054324E-4,6.108648E-4,-3.054324E-4,-52.125004,-114.131256,-139.66876,sitting
4493493216783,-0.16510476,1.4500505,9.762716,3.054324E-4,-4.581486E-4,1.527162E-4,-55.406254,-113.45625,-138.4125,sitting
4493513216783,-0.16271193,1.4596218,9.772287,-3.054324E-4,0.0,-0.0,-49.36875,-115.51875,-144.1125,sitting
4493533216783,-0.16271193,1.4883357,9.789038,-0.0,6.108648E-4,-0.0,-51.61875,-113.11875,-142.48126,sitting
4493553216783,-0.18664017,1.4787644,9.767502,-7.6358096E-4,-1.527162E-4,-3.054324E-4,-52.818752,-114.975006,-141.31876,sitting
4493573216783,-0.17228323,1.5002998,9.784252,-7.6358096E-4,6.108648E-4,1.527162E-4,-52.237503,-116.606255,-142.10626,sitting
4493593216783,-0.18185452,1.4596218,9.743574,3.054324E-4,0.0,-0.0,-52.893753,-113.850006,-138.46875,sitting
4493613216783,-0.1794617,1.4715859,9.789038,-3.054324E-4,0.0010690134,-0.0,-49.706253,-113.30625,-143.96251,sitting
4493633216783,-0.16031912,1.4476577,9.753145,-7.6358096E-4,3.054324E-4,1.527162E-4,-48.881252,-112.89375,-142.44376,sitting
4493653216783,-0.16510476,1.4476577,9.796216,3.054324E-4,-4.581486E-4,-0.0,-52.256252,-114.918755,-141.0,sitting
4493673216783,-0.1794617,1.4596218,9.74836,-0.0,-1.527162E-4,1.527162E-4,-51.35625,-113.381256,-142.1625,sitting
4493693216783,-0.148355,1.4644074,9.79143,-4.581486E-4,-9.162972E-4,1.527162E-4,-52.0125,-115.537506,-142.18126,sitting
4493713216783,-0.18664017,1.4739788,9.736395,3.054324E-4,-0.0012217296,-0.0,-50.775,-113.943756,-142.725,sitting
4493733216783,-0.15553348,1.4715859,9.801002,-0.0,-4.581486E-4,-0.0,-50.081253,-115.74375,-144.73126,sitting
4493753216783,-0.1794617,1.4691931,9.750752,-3.054324E-4,-4.581486E-4,-4.581486E-4,-50.100002,-114.075005,-143.45625,sitting
4493773216783,-0.18664017,1.4763715,9.789038,3.054324E-4,6.108648E-4,-3.054324E-4,-49.612503,-112.65,-142.46251,sitting
4493793216783,-0.17467605,1.4859428,9.753145,4.581486E-4,0.0,-0.0,-51.7125,-116.86875,-142.5375,sitting
4493813216783,-0.17706887,1.4715859,9.786645,-0.0,-1.527162E-4,-0.0,-51.487503,-114.76875,-143.2875,sitting
4493833216783,-0.17467605,1.4500505,9.750752,-0.0,-6.108648E-4,-3.054324E-4,-52.031254,-114.84376,-144.375,sitting
4493853216783,-0.14596218,1.4548361,9.779466,-3.054324E-4,-4.581486E-4,4.581486E-4,-51.6375,-115.55625,-143.70001,sitting
4493873216783,-0.18185452,1.4452649,9.762716,3.054324E-4,3.054324E-4,-4.581486E-4,-49.125004,-114.9,-144.0,sitting
4493893216783,-0.16271193,1.4500505,9.777073,-3.054324E-4,-1.527162E-4,4.581486E-4,-51.787502,-116.11875,-142.59375,sitting
4493913216783,-0.15792629,1.4739788,9.777073,4.581486E-4,0.0027488915,-0.0,-51.000004,-115.012505,-142.18126,sitting
4493933216783,-0.18664017,1.4548361,9.760324,4.581486E-4,0.0036651888,-7.6358096E-4,-50.79375,-112.4625,-143.13751,sitting
4493953216783,-0.17228323,1.4883357,9.796216,0.0012217296,-0.009926553,-4.581486E-4,-49.65,-113.606255,-144.09375,sitting
4493973216783,-0.18185452,1.4596218,9.760324,-3.054324E-4,-6.108648E-4,7.6358096E-4,-51.187504,-114.28126,-142.70625,sitting
4493993216783,-0.16510476,1.4811572,9.784252,-9.162972E-4,6.108648E-4,1.527162E-4,-50.006252,-114.9,-141.09375,sitting
4494013216783,-0.14596218,1.4668003,9.777073,-4.581486E-4,0.0,1.527162E-4,-54.3375,-115.31251,-138.4125,sitting
4494033216783,-0.15792629,1.4620147,9.79143,4.581486E-4,0.0,7.6358096E-4,-50.831253,-114.262505,-142.70625,sitting
4494053216783,-0.18424734,1.4596218,9.755538,-4.581486E-4,-0.0012217296,-3.054324E-4,-50.7,-114.075005,-142.08751,sitting
4494073216783,-0.16031912,1.4763715,9.786645,3.054324E-4,0.0012217296,4.581486E-4,-49.93125,-114.975006,-144.01875,sitting
4494093216783,-0.19621146,1.457229,9.743574,-0.0,6.108648E-4,-3.054324E-4,-49.162502,-113.83125,-142.9875,sitting
4494113216783,-0.16749759,1.4787644,9.79143,3.054324E-4,-4.581486E-4,-3.054324E-4,-52.968754,-115.762505,-142.33125,sitting
4494133216783,-0.1794617,1.4620147,9.757931,-0.0,0.0,-3.054324E-4,-52.050003,-114.825005,-143.75626,sitting
4494153216783,-0.1794617,1.4644074,9.789038,3.054324E-4,-1.527162E-4,-0.0,-50.193752,-114.525,-143.4375,sitting
4494173216783,-0.16271193,1.4596218,9.755538,3.054324E-4,3.054324E-4,-3.054324E-4,-49.331253,-113.9625,-142.06876,sitting
4494193216783,-0.15074782,1.4620147,9.786645,-3.054324E-4,6.108648E-4,-7.6358096E-4,-50.9625,-113.2125,-142.3125,sitting
4494213216783,-0.1794617,1.4524434,9.779466,3.054324E-4,-0.0018325944,-7.6358096E-4,-51.881252,-115.6125,-139.85626,sitting
4494233216783,-0.148355,1.4739788,9.772287,7.6358096E-4,-0.0013744457,1.527162E-4,-51.656254,-113.68125,-141.225,sitting
4494253216783,-0.17467605,1.4739788,9.781859,-4.581486E-4,6.108648E-4,-0.0,-52.800003,-112.55625,-140.25,sitting
4494273216783,-0.18185452,1.4644074,9.765109,3.054324E-4,7.6358096E-4,-4.581486E-4,-50.718754,-116.100006,-144.71251,sitting
4494293216783,-0.17706887,1.4907285,9.77468,-4.581486E-4,0.0019853106,-0.0,-51.506252,-114.76875,-142.6875,sitting
4494313216783,-0.18424734,1.4644074,9.757931,-0.0012217296,0.00320704,4.581486E-4,-51.300003,-113.662506,-141.675,sitting
4494333216783,-0.19860429,1.4596218,9.777073,-9.162972E-4,0.0027488915,-0.0,-51.750004,-115.18125,-140.96251,sitting
4494353216783,-0.15314065,1.4548361,9.760324,0.0036651888,-0.0033597562,-4.581486E-4,-49.912502,-113.568756,-142.25626,sitting
4494373216783,-0.16271193,1.4452649,9.817751,-0.0019853106,-0.0048869182,1.527162E-4,-49.575,-112.68751,-144.0,sitting
4494393216783,-0.16031912,1.4548361,9.729217,-7.6358096E-4,6.108648E-4,4.581486E-4,-50.68125,-115.162506,-143.1,sitting
4494413216783,-0.14356937,1.4715859,9.79143,-0.0012217296,0.0010690134,1.527162E-4,-51.15,-113.943756,-141.1875,sitting
4494433216783,-0.18424734,1.457229,9.777073,3.054324E-4,3.054324E-4,1.527162E-4,-52.85625,-114.28126,-142.89375,sitting
4494453216783,-0.15553348,1.4979069,9.784252,-4.581486E-4,0.0,-3.054324E-4,-50.04375,-113.756256,-142.875,sitting
4502239919751,-0.17467605,1.4739788,9.745967,-4.581486E-4,-1.527162E-4,-7.6358096E-4,-51.131252,-113.9625,-142.25626,sitting
4502259919751,-0.19142582,1.4907285,9.784252,9.162972E-4,-1.527162E-4,-3.054324E-4,-53.193752,-113.943756,-140.77501,sitting
4502279919751,-0.1698904,1.4811572,9.753145,-0.0,3.054324E-4,1.527162E-4,-50.79375,-114.543755,-142.36876,sitting
4502299919751,-0.17467605,1.4644074,9.779466,-0.0,0.0010690134,4.581486E-4,-52.518753,-113.45625,-141.1125,sitting
4502319919751,-0.1698904,1.457229,9.74836,9.162972E-4,-1.527162E-4,4.581486E-4,-51.99375,-116.83125,-140.25,sitting
4502339919751,-0.14117654,1.4476577,9.777073,0.0012217296,6.108648E-4,4.581486E-4,-49.95,-114.525,-143.88751,sitting
4502359919751,-0.17706887,1.4524434,9.750752,-4.581486E-4,0.0,-0.0,-51.412502,-114.3,-142.70625,sitting
4502379919751,-0.148355,1.4715859,9.781859,3.054324E-4,-4.581486E-4,-0.0,-51.187504,-114.28126,-142.2375,sitting
4502399919751,-0.16271193,1.4668003,9.77468,-3.054324E-4,0.0012217296,-0.0,-51.375004,-115.6125,-141.225,sitting
4502419919751,-0.18903299,1.4835501,9.762716,-0.0,0.0,-0.0,-50.831253,-114.262505,-143.00626,sitting
4502439919751,-0.16749759,1.4859428,9.769895,-0.0,-1.527162E-4,-0.0,-49.65,-115.425,-145.35,sitting
4502459919751,-0.18903299,1.4763715,9.781859,3.054324E-4,-1.527162E-4,1.527162E-4,-47.9625,-110.90626,-143.94376,sitting
4502479919751,-0.17706887,1.4787644,9.769895,-7.6358096E-4,3.054324E-4,-0.0,-53.1375,-114.43125,-141.975,sitting
4502499919751,-0.15074782,1.4668003,9.769895,4.581486E-4,0.0,-3.054324E-4,-50.68125,-115.162506,-143.1,sitting
4502519919751,-0.16749759,1.4452649,9.784252,3.054324E-4,-1.527162E-4,-3.054324E-4,-50.062504,-114.168755,-141.91876,sitting
4502539919751,-0.17467605,1.4452649,9.767502,3.054324E-4,6.108648E-4,-0.0,-53.568752,-114.731255,-140.7375,sitting
4502559919751,-0.16271193,1.4763715,9.79143,-4.581486E-4,-4.581486E-4,-4.581486E-4,-48.562504,-113.81251,-144.35626,sitting
4502579919751,-0.18903299,1.457229,9.753145,4.581486E-4,6.108648E-4,-7.6358096E-4,-48.2625,-112.21876,-146.925,sitting
4502599919751,-0.16510476,1.4763715,9.784252,-0.0,0.0012217296,-4.581486E-4,-49.537502,-112.74375,-145.85626,sitting
4502619919751,-0.1794617,1.4787644,9.767502,-0.0,7.6358096E-4,-0.0,-47.775,-113.08125,-147.01875,sitting
4502639919751,-0.17706887,1.457229,9.779466,-0.0,6.108648E-4,-3.054324E-4,-50.193752,-113.68125,-145.18126,sitting
4502659919751,-0.1794617,1.4739788,9.755538,-4.581486E-4,3.054324E-4,1.527162E-4,-49.312504,-114.975006,-145.83751,sitting
4502679919751,-0.16510476,1.4644074,9.786645,-0.0,0.0,-4.581486E-4,-46.7625,-112.55625,-147.16876,sitting
4502699919751,-0.16749759,1.457229,9.786645,-0.0,-6.108648E-4,4.581486E-4,-47.8125,-110.53126,-146.88751,sitting
4502719919751,-0.15792629,1.4883357,9.769895,-7.6358096E-4,-1.527162E-4,-0.0,-48.018753,-113.26875,-147.91876,sitting
4502739919751,-0.17228323,1.4691931,9.793823,-3.054324E-4,-0.0012217296,4.581486E-4,-50.943752,-115.725006,-141.52501,sitting
4502759919751,-0.19381863,1.4811572,9.757931,4.581486E-4,-0.0013744457,7.6358096E-4,-51.61875,-115.9875,-143.3625,sitting
4502779919751,-0.16749759,1.442872,9.772287,-0.0,-4.581486E-4,9.162972E-4,-50.7,-116.100006,-145.03125,sitting
4502799919751,-0.18664017,1.4715859,9.755538,-0.0,-1.527162E-4,9.162972E-4,-47.737503,-111.881256,-147.24376,sitting
4502819919751,-0.19381863,1.4620147,9.789038,4.581486E-4,3.054324E-4,-4.581486E-4,-50.1375,-114.600006,-146.04376,sitting
4502839919751,-0.15792629,1.4261223,9.726824,-3.054324E-4,-4.581486E-4,-4.581486E-4,-49.687504,-113.325005,-145.05,sitting
4502859919751,-0.15792629,1.5194423,9.812965,-3.054324E-4,7.6358096E-4,-7.6358096E-4,-51.112503,-113.981255,-142.725,sitting
4502879919751,-0.1698904,1.430908,9.908679,-7.6358096E-4,-9.162972E-4,-3.054324E-4,-52.631252,-116.15626,-141.07501,sitting
4502899919751,-0.14356937,1.4668003,9.635897,3.054324E-4,3.054324E-4,-0.0010690134,-50.98125,-115.03126,-142.95001,sitting
4502919919751,-0.18903299,1.4715859,9.868001,-3.054324E-4,3.054324E-4,-3.054324E-4,-50.362503,-113.193756,-143.83125,sitting
4502939919751,-0.1363909,1.5026926,9.68136,7.6358096E-4,0.0,1.527162E-4,-51.15,-117.43125,-142.65001,sitting
4502959919751,-0.20338993,1.457229,9.80818,-3.054324E-4,-6.108648E-4,1.527162E-4,-49.593754,-112.668755,-142.93126,sitting
4502979919751,-0.18903299,1.4787644,9.74836,-0.0,3.054324E-4,1.527162E-4,-50.325,-112.856255,-142.3125,sitting
4502999919751,-0.16749759,1.4620147,9.762716,4.581486E-4,0.0,1.527162E-4,-50.9625,-115.05,-143.71875,sitting
4503019919751,-0.19621146,1.4596218,9.80818,-3.054324E-4,-9.162972E-4,1.527162E-4,-49.65,-114.01875,-142.83751,sitting
4503039919751,-0.16271193,1.4404793,9.734002,-9.162972E-4,-0.0042760535,-0.0012217296,-51.7125,-114.8625,-140.21251,sitting
4503059919751,-0.15314065,1.4644074,9.820144,-0.0021380268,-0.007788526,-0.004734202,-51.768753,-116.137505,-143.21251,sitting
4503079919751,-0.16749759,1.4476577,9.755538,-0.0021380268,-0.009926553,-0.0059559317,-51.99375,-114.93751,-142.36876,sitting
