phase,pointerId,pressure,size,timestamp,x,y
DOWN,0,1.0,0.025490198,3056337,1013.5547,2071.9258
MOVE,0,1.0,0.027450982,3056353,1013.5547,2071.9258
MOVE,0,1.0,0.027450982,3056362,1013.5547,2071.9258
MOVE,0,1.0,0.027450982,3056370,1020.6914,2020.1357
MOVE,0,1.0,0.029411767,3056378,1029.9795,1978.6973
MOVE,0,1.0,0.027450982,3056387,1044.4062,1926.9609
MOVE,0,1.0,0.029411767,3056395,1061.5518,1867.0176
MOVE,0,1.0,0.027450982,3056403,1083.1631,1806.5137
MOVE,0,1.0,0.029411767,3056412,1109.4648,1749.8223
MOVE,0,1.0,0.027450982,3056420,1136.7402,1687.8623
MOVE,0,1.0,0.029411767,3056428,1162.7705,1637.1211
MOVE,0,1.0,0.027450982,3056437,1188.9609,1591.6201
MOVE,0,1.0,0.029411767,3056445,1209.8086,1557.8145
MOVE,0,1.0,0.027450982,3056453,1226.6211,1527.7637
MOVE,0,1.0,0.029411767,3056462,1238.4209,1508.29
MOVE,0,1.0,0.027450982,3056470,1246.5742,1495.2119
MOVE,0,1.0,0.029411767,3056478,1251.9688,1487.3555
MOVE,0,1.0,0.03137255,3056487,1255.6016,1481.8672
MOVE,0,1.0,0.029411767,3056495,1258.1299,1478.6855
MOVE,0,1.0,0.03137255,3056503,1258.917,1477.085
MOVE,0,1.0,0.029411767,3056511,1258.9453,1477.0234
MOVE,0,1.0,0.029411767,3056520,1258.9453,1477.0234
MOVE,0,1.0,0.029411767,3056528,1258.9453,1477.0234
MOVE,0,1.0,0.029411767,3056536,1258.9453,1477.0234
MOVE,0,1.0,0.029411767,3056545,1258.9453,1477.0234
MOVE,0,1.0,0.029411767,3056553,1258.9453,1477.0234
MOVE,0,1.0,0.029411767,3056561,1258.9453,1477.0234
MOVE,0,1.0,0.029411767,3056570,1258.9453,1477.0234
MOVE,0,1.0,0.029411767,3056578,1258.9453,1477.0234
MOVE,0,1.0,0.029411767,3056586,1258.9453,1477.0234
MOVE,0,1.0,0.029411767,3056595,1258.9453,1477.0234
MOVE,0,1.0,0.029411767,3056595,1258.9453,1477.0234
UP,0,1.0,0.029411767,3056604,1258.9453,1477.0234
DOWN,0,1.0,0.019607844,3057112,1030.7812,2107.7266
MOVE,0,1.0,0.021568628,3057120,1030.7812,2107.7266
MOVE,0,1.0,0.021568628,3057128,1030.7812,2107.7266
MOVE,0,1.0,0.021568628,3057136,1029.7227,2103.1387
MOVE,0,1.0,0.019607844,3057144,1027.5908,2063.0479
MOVE,0,1.0,0.021568628,3057153,1031.5234,2018.1514
MOVE,0,1.0,0.019607844,3057161,1041.1113,1959.1221
MOVE,0,1.0,0.021568628,3057169,1054.4619,1895.3672
MOVE,0,1.0,0.023529414,3057178,1072.1494,1832.6729
MOVE,0,1.0,0.025490198,3057186,1095.4883,1766.1787
MOVE,0,1.0,0.023529414,3057194,1118.752,1713.7363
MOVE,0,1.0,0.025490198,3057203,1142.2236,1665.208
MOVE,0,1.0,0.023529414,3057211,1163.4375,1627.6357
