answerId,holdMs,phase,pressure,size,timestamp,x,y
mc_q1_choice_A,0,DOWN,1.0,0.019607844,3055523,91.25781,23.917969
mc_q1_choice_A,65,UP,1.0,0.023529414,3055588,91.25781,23.917969
mc_q2_choice_B,0,DOWN,1.0,0.025490198,3056047,460.79688,63.527344
mc_q2_choice_B,57,UP,1.0,0.025490198,3056104,460.79688,63.527344
mc_q3_choice_D,0,DOWN,1.0,0.019607844,3056728,280.4453,12.292969
mc_q3_choice_D,59,UP,1.0,0.019607844,3056787,280.4453,12.292969
mc_q4_choice_B,0,DOWN,1.0,0.025490198,3057561,217.86719,139.01172
mc_q4_choice_B,33,UP,1.0,0.027450982,3057594,217.86719,139.01172
mc_q5_choice_C,0,DOWN,1.0,0.025490198,3058434,51.179688,41.054688
mc_q5_choice_C,50,UP,1.0,0.027450982,3058484,51.179688,41.054688
mc_q6_choice_D,0,DOWN,1.0,0.019607844,3058659,309.27344,138.77344
mc_q6_choice_B,0,DOWN,1.0,0.021568628,3059075,442.16406,65.63281
mc_q6_choice_B,58,UP,1.0,0.021568628,3059133,442.16406,65.63281
mc_q7_choice_D,0,DOWN,1.0,0.019607844,3059816,229.82031,29.65625
mc_q7_choice_D,50,UP,1.0,0.021568628,3059866,229.82031,29.65625
mc_q8_choice_B,0,DOWN,1.0,0.025490198,3060548,245.99219,108.84766
mc_q8_choice_B,42,UP,1.0,0.025490198,3060590,245.99219,108.84766
mc_q8_choice_D,0,DOWN,1.0,0.025490198,3060798,290.9922,112.12891
mc_q9_choice_A,0,DOWN,1.0,0.019607844,3061605,149.61719,53.90625
mc_q9_choice_A,42,UP,1.0,0.019607844,3061647,149.61719,53.90625
mc_q11_choice_B,0,DOWN,1.0,0.019607844,3062670,306.10938,155.75
mc_q11_choice_B,0,DOWN,1.0,0.019607844,3063403,309.625,77.15234
mc_q11_choice_B,66,UP,1.0,0.021568628,3063469,309.625,77.15234
mc_q10_choice_A,0,DOWN,1.0,0.021568628,3063685,127.11719,38.847656
mc_q10_choice_A,75,UP,1.0,0.025490198,3063760,127.11719,38.847656
mc_q12_choice_A,0,DOWN,1.0,0.03137255,3064592,132.74219,125.26172
mc_q12_choice_A,75,UP,1.0,0.03137255,3064667,132.74219,125.26172
mc_q13_choice_B,0,DOWN,1.0,0.019607844,3065217,311.73438,145.07031
mc_q13_choice_B,74,UP,1.0,0.023529414,3065291,315.25,145.83203
mc_q14_choice_A,0,DOWN,1.0,0.025490198,3066007,112.35156,26.460938
mc_q14_choice_A,83,UP,1.0,0.027450982,3066090,112.35156,26.460938
mc_q14_choice_A,0,DOWN,1.0,0.019607844,3066340,123.25,171.1875
