answerId,holdMs,phase,pressure,size,timestamp,x,y
mc_q2_choice_C,0,DOWN,1.0,0.011764707,471401870,80.0,94.0
mc_q1_choice_C,0,DOWN,1.0,0.011764707,471404487,114.0,68.0
mc_q1_choice_C,67,UP,1.0,0.015686275,471404554,115.5,68.0
mc_q1_choice_A,0,DOWN,1.0,0.011764707,471404805,120.0,97.0
mc_q1_choice_A,57,UP,1.0,0.015686275,471404862,120.0,97.0
mc_q1_choice_D,0,DOWN,1.0,0.011764707,471405214,137.0,2.0
mc_q1_choice_D,65,UP,1.0,0.011764707,471405279,134.0,5.0
mc_q1_choice_B,0,DOWN,1.0,0.011764707,471405595,125.0,51.0
mc_q1_choice_B,84,UP,1.0,0.011764707,471405679,123.0,51.0
mc_q1_choice_A,0,DOWN,1.0,0.011764707,471405888,238.0,86.0
mc_q2_choice_A,0,DOWN,1.0,0.011764707,471406587,124.0,30.0
mc_q2_choice_A,67,UP,1.0,0.013725491,471406654,124.0,30.0
mc_q2_choice_C,0,DOWN,1.0,0.013725491,471406979,156.0,75.0
mc_q2_choice_C,67,UP,1.0,0.011764707,471407046,144.0,68.0
mc_q2_choice_D,0,DOWN,1.0,0.011764707,471407346,141.0,30.0
mc_q2_choice_D,58,UP,1.0,0.013725491,471407404,142.0,50.0
mc_q2_choice_B,0,DOWN,1.0,0.011764707,471407597,128.0,65.0
mc_q2_choice_B,65,UP,1.0,0.011764707,471407662,121.0,60.0
mc_q2_choice_A,0,DOWN,1.0,0.011764707,471408071,247.0,96.0
mc_q2_choice_A,58,UP,1.0,0.013725491,471408129,245.0,93.0
mc_q1_choice_A,0,DOWN,1.0,0.013725491,471408411,84.0,81.0
mc_q1_choice_A,76,UP,1.0,0.013725491,471408487,84.0,80.0
mc_q1_choice_C,0,DOWN,1.0,0.011764707,471408723,130.0,109.0
mc_q1_choice_C,81,UP,1.0,0.013725491,471408804,128.0,114.0
mc_q1_choice_D,0,DOWN,1.0,0.011764707,471409212,182.0,112.0
mc_q1_choice_D,75,UP,1.0,0.013725491,471409287,173.0,101.0
mc_q1_choice_B,0,DOWN,1.0,0.011764707,471409443,132.0,89.0
mc_q1_choice_B,53,UP,1.0,0.013725491,471409496,129.0,90.0
mc_q1_choice_A,0,DOWN,1.0,0.011764707,471409706,198.0,113.0
mc_q1_choice_A,48,UP,1.0,0.011764707,471409754,189.0,116.0
mc_q1_choice_C,0,DOWN,1.0,0.011764707,471409913,183.0,84.0
mc_q1_choice_C,91,UP,1.0,0.011764707,471410004,187.0,83.0
mc_q1_choice_A,0,DOWN,1.0,0.009803922,471410870,107.0,53.0
mc_q1_choice_A,84,UP,1.0,0.015686275,471410954,106.0,54.0
mc_q1_choice_B,0,DOWN,1.0,0.011764707,471411303,99.0,43.0
mc_q1_choice_B,51,UP,1.0,0.013725491,471411354,99.0,43.0
mc_q1_choice_D,0,DOWN,1.0,0.011764707,471411606,142.0,37.0
mc_q1_choice_D,73,UP,1.0,0.011764707,471411679,142.0,39.0
mc_q1_choice_C,0,DOWN,1.0,0.011764707,471411871,253.0,47.0
mc_q1_choice_C,58,UP,1.0,0.01764706,471411929,253.0,47.0
mc_q1_choice_A,0,DOWN,1.0,0.011764707,471412106,104.0,28.0
mc_q1_choice_A,73,UP,1.0,0.013725491,471412179,104.0,28.0
mc_q1_choice_B,0,DOWN,1.0,0.011764707,471412545,117.0,65.0
mc_q1_choice_B,59,UP,1.0,0.011764707,471412604,119.0,66.0
mc_q1_choice_D,0,DOWN,1.0,0.011764707,471412970,94.0,36.0
mc_q1_choice_D,67,UP,1.0,0.015686275,471413037,91.0,37.0
mc_q1_choice_C,0,DOWN,1.0,0.011764707,471413206,279.0,20.0
mc_q1_choice_C,73,UP,1.0,0.011764707,471413279,276.0,21.0
mc_q1_choice_A,0,DOWN,1.0,0.011764707,471413504,142.0,42.0
mc_q1_choice_A,66,UP,1.0,0.011764707,471413570,142.0,42.0
mc_q1_choice_B,0,DOWN,1.0,0.011764707,471428797,124.0,62.0
mc_q1_choice_B,82,UP,1.0,0.011764707,471428879,120.0,66.0
mc_q1_choice_C,0,DOWN,1.0,0.011764707,471429372,257.0,10.0
mc_q1_choice_C,90,UP,1.0,0.011764707,471429462,256.0,11.0
mc_q1_choice_A,0,DOWN,1.0,0.015686275,471429803,170.0,22.0
mc_q1_choice_A,76,UP,1.0,0.01764706,471429879,173.0,19.5
mc_q1_choice_B,0,DOWN,1.0,0.011764707,471430105,134.0,100.0
mc_q1_choice_B,74,UP,1.0,0.013725491,471430179,125.0,102.0
