timestamp_ns,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,activity
146700199995700,2.8260002,3.3750002,8.36505,-0.2426875,0.1326875,0.047025,14.062501,-32.9625,-23.00625,standing
146700219998897,2.59095,3.5520003,8.014951,-0.1639,0.0985875,0.065175,13.950001,-33.28125,-21.337502,standing
146700240061002,2.7469501,3.8800502,8.02305,-0.0946,0.0719125,0.054449998,13.89375,-32.79375,-22.7625,standing
146700260191390,2.7199502,3.7440002,8.51595,-0.054175,0.036849998,0.0438625,13.9125,-32.775,-22.7625,standing
146700280377640,2.5930502,3.5760002,8.956051,-0.0551375,0.034649998,0.0501875,13.9125,-32.79375,-22.78125,standing
146700300579659,2.49495,3.5140502,9.24405,-0.07645,0.0314875,0.0438625,13.931251,-32.79375,-22.7625,standing
146700320744904,2.505,3.4780502,9.32295,-0.1233375,0.0176,0.011825,13.950001,-32.8125,-22.743752,standing
146700340857068,2.5500002,3.4440002,9.24405,-0.1500125,0.010175,-0.020075,13.9875,-32.850002,-22.725,standing
146700360931933,2.469,3.4369502,9.04695,-0.1329625,0.029424999,-0.0254375,14.00625,-32.90625,-22.725,standing
146700380967538,2.5549502,3.35805,8.83005,-0.0999625,0.0507375,-0.001925,14.043751,-32.90625,-22.6875,standing
146700400985989,2.70105,3.21195,8.7289505,-0.0605,0.0229625,0.02255,14.062501,-32.943752,-22.706251,standing
146700420721746,2.7439501,3.1930501,8.736,0.0077,-0.0537625,0.032175,14.08125,-32.9625,-22.725,standing
146700440763813,2.63895,3.2719502,8.83905,0.0512875,-0.1197625,0.0353375,14.1,-32.9625,-22.725,standing
146700460802227,2.5570502,3.3649502,8.892,0.0523875,-0.1038125,0.031075,14.118751,-33.0,-22.743752,standing
146700480823785,2.4760501,3.3919501,9.061951,0.02255,-0.0589875,0.012925,14.137501,-33.0,-22.7625,standing
146700500835408,2.39895,3.3630002,9.366,-0.0061875,-0.0452375,0.0066,14.156251,-33.018753,-22.800001,standing
146700520848567,2.4160502,3.32205,9.459001,0.0023375,-0.0174625,1.375E-4,14.19375,-33.05625,-22.78125,standing
146700540851954,2.466,3.2070003,9.061951,0.0407,-0.0100375,-0.013612499,14.212501,-33.09375,-22.78125,standing
146700560848132,2.67,3.2599502,8.7289505,0.0683375,-0.040975,-0.0286,14.231251,-33.112503,-22.78125,standing
146700580848411,2.73705,3.2719502,8.62605,0.065175,-0.0537625,-0.018975,14.250001,-33.131252,-22.800001,standing
146700600845274,2.6149502,3.279,8.748,0.0598125,-0.0622875,-0.001925,14.26875,-33.15,-22.800001,standing
146700620574049,2.7919502,3.2940001,8.944051,0.065175,-0.06435,0.0044,14.2875,-33.16875,-22.800001,standing
146700640635831,2.7270002,3.1669502,9.073951,0.049225,-0.0526625,0.0034375,14.306251,-33.206253,-22.78125,standing
146700660686491,2.60505,3.2580001,8.94705,0.0097624995,-0.0345125,0.0055,14.325001,-33.225002,-22.78125,standing
146700680734149,2.5789502,3.4470003,8.892,-0.020075,-0.0026125,0.012925,14.343751,-33.2625,-22.7625,standing
146700700770654,2.5530002,3.4279501,8.929951,-0.0317625,0.0166375,0.0182875,14.3625,-33.28125,-22.78125,standing
146700720794436,2.6100001,3.41595,8.84595,-0.037125,0.012375,0.0160875,14.38125,-33.28125,-22.81875,standing
146700740818727,2.6479502,3.4039502,8.66205,-0.0317625,0.0048125,0.0012375,14.400001,-33.3375,-22.81875,standing
146700760831683,2.67195,3.3700502,8.547,-0.0286,0.0229625,-0.0169125,14.418751,-33.375,-22.837502,standing
146700780833553,2.7109501,3.4060502,8.63805,-0.054175,0.029424999,-0.04675,14.45625,-33.412502,-22.85625,standing
146700800842227,2.6869502,3.4060502,8.808001,-0.07865,0.0559625,-0.086075,14.475,-33.45,-22.837502,standing
146700820579814,2.7180002,3.3820503,8.917951,-0.091437496,0.10395,-0.095699996,14.493751,-33.46875,-22.875,standing
146700840647609,2.76795,3.28605,8.889001,-0.1414875,0.1434125,-0.0638,14.512501,-33.487503,-22.875,standing
146700860702183,2.8180501,3.2599502,8.785951,-0.2085875,0.1934625,-0.0669625,14.493751,-33.506252,-22.875,standing
146700880740945,2.8300502,3.28905,8.68305,-0.270325,0.2211,-0.07755,14.512501,-33.525,-22.875,standing
146700900780861,2.8660502,3.4060502,8.64,-0.322575,0.247775,-0.07755,14.531251,-33.5625,-22.9125,standing
146700920807037,2.634,3.4330502,8.57295,-0.354475,0.2893,-0.1414875,14.55,-33.600002,-22.931252,standing
146700940821551,2.59605,3.3300002,8.413051,-0.38005,0.2743125,-0.18205,14.531251,-33.54375,-23.025002,standing
146700960837841,2.6869502,3.1879501,8.439,-0.3982,0.3276625,-0.136125,14.531251,-33.525,-23.00625,standing
146700980842455,2.56005,3.2310002,8.679001,-0.38115,0.4555375,-0.0829125,14.531251,-33.506252,-23.15625,standing
146701000841816,2.6869502,3.3700502,8.785951,-0.3790875,0.50655,-0.0328625,14.56875,-33.487503,-23.19375,standing
146701020583341,2.9880002,3.41805,8.755051,-0.390775,0.44701248,0.0034375,14.606251,-33.45,-23.19375,standing
146701040643096,2.6460001,3.423,8.70705,-0.3843125,0.3851375,-0.01155,14.64375,-33.45,-23.23125,standing
146701060691423,2.09505,3.18405,8.68605,-0.38005,0.3595625,-0.0306625,14.700001,-33.412502,-23.306252,standing
146701080736986,1.8580501,2.8819501,8.868,-0.3438875,0.4362875,-0.021175,14.75625,-33.412502,-23.362501,standing
146701100771239,1.8100501,2.73795,9.16005,-0.356675,0.720775,-0.0754875,14.793751,-33.375,-23.400002,standing
146701120804386,1.7820001,2.6590502,9.556951,-0.34925,0.74525,-0.11165,14.85,-33.300003,-23.456251,standing
146701140824347,1.8540001,2.57505,9.59805,-0.188375,0.5897375,-0.0413875,14.925,-33.24375,-23.550001,standing
146701160833716,1.72905,2.463,9.547951,0.0545875,0.4362875,0.0512875,15.000001,-33.206253,-23.643751,standing
146701180843836,1.6860001,2.391,9.543,0.39435,0.594,-0.036025,15.093751,-33.15,-23.7,standing
146701200847730,1.8780001,2.23095,9.253051,0.69905,0.7910375,0.0268125,15.20625,-33.09375,-23.775002,standing
146701220581180,1.6500001,2.358,9.67695,0.83435,1.11705,0.199375,15.3,-33.05625,-23.85,standing
146701240645941,1.176,2.59905,10.149,0.8619875,1.4898125,0.0950125,15.39375,-32.9625,-23.90625,standing
146701260698172,0.95100003,2.6110501,10.2640505,0.724625,1.4482875,-0.104225,15.525001,-32.90625,-23.925001,standing
146701280490247,0.822,2.697,10.086,0.22495,0.8996625,-0.0669625,15.656251,-32.86875,-23.94375,standing
146701337242360,0.49395,2.63295,9.732,-0.1307625,0.40865,-0.154275,15.825001,-32.8125,-23.831251,standing
146701378077926,0.81705004,2.52495,9.234,-0.117975,0.1401125,-0.1436875,15.993751,-32.79375,-23.7,standing
146701408750409,1.4250001,2.17995,8.68095,0.029975,0.13695,-0.0221375,16.1625,-32.737503,-23.587502,standing
146701439422881,1.4440501,2.7139502,8.944051,0.1450625,0.094325,0.0672375,16.331251,-32.7,-23.475,standing
146701470095292,0.71400005,3.0589502,9.09,0.217525,0.044275,0.1056,16.48125,-32.643753,-23.34375,standing
146701500767572,0.23295002,2.94195,9.77295,0.2996125,-0.0675125,0.0086624995,16.63125,-32.5875,-23.25,standing
146701531439569,-0.62295,3.423,10.20405,0.388025,-0.0697125,-0.156475,16.800001,-32.5875,-23.118752,standing
146701562111123,-0.83595,3.4660501,10.28295,0.36025,-0.071775,-0.304425,17.00625,-32.53125,-23.00625,standing
146701592781938,-0.74100006,3.1260002,10.122001,0.19305,0.094325,-0.3982,17.19375,-32.5125,-22.875,standing
146701623451674,-0.042000003,2.7499502,9.847051,0.0342375,0.41387498,-0.3779875,17.34375,-32.475002,-22.743752,standing
146701654119850,0.582,2.50395,9.580951,-0.0594,0.653675,-0.324775,17.5125,-32.4375,-22.575,standing
146701684785928,0.91305006,2.46795,9.117001,-0.087175,0.5033875,-0.3194125,17.7,-32.381252,-22.425001,standing
146701715449153,0.882,2.8150501,8.727,0.0726,0.1199,-0.305525,17.8875,-32.381252,-22.21875,standing
146701746108730,0.43605003,3.423,8.169001,0.3548875,-0.2369125,-0.1766875,18.09375,-32.381252,-22.10625,standing
146701776763700,-0.147,3.969,8.02305,0.5680125,-0.3147375,0.031075,18.300001,-32.34375,-21.806252,standing
146701807412930,-0.36195,4.0360503,8.734051,0.538175,0.00385,0.1535875,18.50625,-32.325,-21.618752,standing
146701838055033,-0.537,3.9379501,10.009951,0.3784,0.4522375,0.133375,18.712502,-32.30625,-21.431252,standing
146701868688704,-0.81705004,3.7489502,10.740001,0.116325,0.6301625,0.09075,18.900002,-32.287502,-21.1875,standing
146701899312174,-1.1839501,3.6000001,10.422001,-0.2523125,0.4522375,-8.25E-4,19.06875,-32.287502,-20.962502,standing
146701929923622,-1.2079501,3.3610501,9.01095,-0.7497875,0.00165,-0.188375,19.275002,-32.287502,-20.7,standing
146701960520882,-0.31500003,3.7840502,7.8480005,-1.2791625,0.30525,-0.3449875,19.44375,-32.30625,-20.41875,standing
146701991101691,-0.20700002,3.9739501,7.45305,-0.9351375,1.3578125,-0.5622375,19.612501,-32.325,-20.175001,standing
146702021692181,-0.36495003,3.3970501,7.6080003,0.352825,1.9820625,-0.913825,19.85625,-32.23125,-19.81875,standing
146702052260696,-0.40095,3.2310002,7.79295,1.3360875,0.94765,-1.2909875,20.1,-32.1375,-19.44375,standing
146702082802432,0.333,3.83505,7.2520504,0.89402497,0.88577497,-1.2313125,20.362501,-32.0625,-19.087502,standing
146702113312002,0.22095,3.3970501,7.2949505,0.0342375,2.4677124,-0.763675,20.587502,-31.987501,-18.73125,standing
146702143783410,1.6170001,2.844,11.7310505,-0.9521875,2.7542624,-0.1670625,20.831251,-31.9125,-18.35625,standing
146702174210006,2.775,2.84805,15.748951,-1.6658125,1.259775,-0.240625,21.056252,-31.85625,-17.98125,standing
146702204597327,1.9210501,3.456,12.897,-1.8607875,-0.94325,-0.913825,21.300001,-31.781252,-17.60625,standing
146702234940592,-0.63795,5.0410504,5.1330004,-1.8533624,-2.3205874,-1.1087999,21.54375,-31.66875,-17.2875,standing
146702265235078,-1.93305,8.118,4.872,-1.52735,-2.42495,-0.55275,21.7875,-31.593752,-17.0625,standing
146702295475793,-1.5520501,8.25195,7.2300005,-1.05435,-0.94325,0.3986125,22.03125,-31.500002,-16.800001,standing
146702325750911,-0.46095002,6.7720504,12.277051,-0.5878125,0.4587,1.0910625,22.25625,-31.331251,-16.800001,standing
146702355954432,-0.69000006,4.73295,13.318951,-0.489775,0.1071125,0.3059375,22.48125,-31.1625,-16.800001,standing
146702386076308,-3.4440002,5.688,12.282001,-0.777425,-0.932525,-0.58355,22.6875,-30.975,-16.800001,standing
146702416105748,-4.57905,6.03,10.242001,-1.2557875,-1.44925,-0.5985375,22.9125,-30.806252,-16.800001,standing
146702446058244,-4.9230003,5.8960505,9.02805,-1.098075,-0.7579,-0.1062875,23.1,-30.581251,-16.931252,standing
146702475897814,-0.83895004,2.77395,10.74705,-0.1947,0.3202375,0.73095,23.2875,-30.375002,-17.00625,standing
146702505611455,1.6140001,0.55005,12.519001,0.8630875,0.8751875,0.8833,23.475,-30.150002,-17.1,standing
146702535221294,-1.2220501,0.29595003,11.829,1.278475,0.5311625,0.2707375,23.681252,-29.925001,-17.25,standing
146702564718451,-3.9510002,1.263,12.556951,1.3116125,-0.1496,-0.121275,23.868752,-29.681252,-17.400002,standing
146702594095029,-5.82105,1.5289501,14.42205,1.1666875,-0.5160375,0.2451625,24.018751,-29.475,-17.493752,standing
146702623342699,-5.99805,0.55695003,17.458052,0.7629875,-0.5768125,0.8023125,24.150002,-29.306252,-17.643751,standing
146702652452950,-3.417,-0.957,16.24695,0.0768625,-0.84947497,1.0291874,24.281252,-29.1375,-17.681252,standing
146702681417109,-1.2240001,-1.1179501,15.136051,-0.404525,-1.4279375,0.75116247,24.393751,-29.025002,-17.775002,standing
146702710226231,-4.7509503,-0.246,13.13895,-0.677325,-1.389575,0.502975,24.487501,-28.893751,-17.79375,standing
146702738869093,-6.4339504,1.7370001,11.29605,-0.6912125,-0.816475,0.418825,24.54375,-28.743752,-17.868752,standing
146702767340403,-6.26205,2.18505,9.74205,-0.509025,-0.5267625,0.5808,24.562502,-28.575,-17.962502,standing
146702795628862,-3.798,1.3950001,9.655951,-0.388575,-0.715275,0.83215,24.54375,-28.44375,-18.09375,standing
146702823724874,-2.4019501,0.63405,9.5119505,-0.44288749,-0.6758125,0.941875,24.525002,-28.331251,-18.300001,standing
146702851618736,-2.2710001,1.0890001,9.186001,-0.3183125,-0.5768125,0.7778375,24.525002,-28.218752,-18.525002,standing
146702879300714,-3.2380502,1.644,9.969001,0.081125,-0.4255625,0.59785,24.468752,-28.10625,-18.712502,standing
146702907166150,-4.59105,2.20005,11.04405,0.555225,-0.141075,0.5583875,24.206251,-28.143751,-18.975,standing
146702934747124,-3.62805,1.8000001,10.09095,0.7937875,0.1434125,0.7022125,23.94375,-28.181252,-19.25625,standing
146702962023069,-1.7560501,0.93105006,9.177,0.8278875,0.1167375,0.8182625,23.681252,-28.2,-19.5375,standing
146702988973015,-0.657,0.39705002,9.3490505,0.72985,-0.0196625,0.772475,23.400002,-28.218752,-19.81875,standing
146703015575625,-0.58500004,0.32205,8.78895,0.62865,-0.055825,0.636075,23.118752,-28.25625,-20.15625,standing
146703041809320,-1.1020501,0.61695004,7.2450004,0.556325,-0.071775,0.4742375,22.837502,-28.275002,-20.493752,standing
146703067768331,-1.3230001,1.23195,6.10995,0.4807,-0.1953875,0.3623125,22.518751,-28.312502,-20.8875,standing
146703093438138,-0.68100005,1.04805,5.6140504,0.434775,-0.2369125,0.4412375,22.1625,-28.368752,-21.150002,standing
146703118810965,0.29295,0.71505004,5.04195,0.49445,-0.106975,0.6351125,21.7875,-28.44375,-21.487501,standing
146703143878637,0.882,0.65295005,4.9560003,0.67347497,0.15619999,0.7832,21.393751,-28.500002,-21.806252,standing
