phase,pointerId,pressure,size,timestamp,x,y
DOWN,0,1.0,0.53333336,161287682,222.6748,1167.0244
MOVE,0,1.0,0.59607846,161287709,222.6748,1167.0244
MOVE,0,1.0,0.09411766,161287736,229.68652,1173.9111
MOVE,0,1.0,0.59607846,161287753,233.29004,1177.6016
MOVE,0,1.0,0.09411766,161287769,238.66602,1183.3232
MOVE,0,1.0,0.09411766,161287786,241.08887,1186.5645
MOVE,0,1.0,0.09411766,161287803,233.09277,1193.9404
UP,0,1.0,0.09411766,161287806,233.23633,1193.8359
DOWN,0,1.0,0.1254902,161288889,740.76953,1616.2002
MOVE,0,1.0,0.627451,161288918,740.2012,1566.0205
MOVE,0,1.0,0.627451,161288934,763.4404,1432.4971
MOVE,0,1.0,0.627451,161288951,797.0293,1312.6113
MOVE,0,1.0,0.1254902,161288968,823.12305,1202.0928
MOVE,0,1.0,0.1254902,161288984,846.94824,1106.6045
MOVE,0,1.0,0.627451,161289001,863.89844,1023.0879
MOVE,0,1.0,0.627451,161289018,884.99023,940.9121
MOVE,0,1.0,0.1254902,161289034,905.69336,866.0576
MOVE,0,1.0,0.1254902,161289051,923.47363,810.3174
MOVE,0,1.0,0.627451,161289068,934.19824,768.1533
MOVE,0,1.0,0.627451,161289084,941.54395,737.2412
MOVE,0,1.0,0.627451,161289101,946.26465,716.8799
MOVE,0,1.0,0.627451,161289117,950.05176,701.5293
MOVE,0,1.0,0.627451,161289134,951.95215,692.60547
MOVE,0,1.0,0.1254902,161289151,953.8457,683.9414
MOVE,0,1.0,0.1254902,161289167,954.75684,678.59375
MOVE,0,1.0,0.1254902,161289184,955.81934,675.14453
MOVE,0,1.0,0.1254902,161289201,956.47266,673.5215
MOVE,0,1.0,0.1254902,161289217,957.53906,673.2246
MOVE,0,1.0,0.1254902,161289234,962.86426,673.3584
MOVE,0,1.0,0.627451,161289236,963.50684,674.0371
UP,0,1.0,0.627451,161289239,963.50684,674.0371
MOVE,0,1.0,0.1254902,161290615,783.2158,1407.251
MOVE,0,1.0,0.1254902,161290632,794.35156,1312.2568
MOVE,0,1.0,0.627451,161290649,817.3125,1206.9951
MOVE,0,1.0,0.627451,161290665,852.10254,1084.5654
MOVE,0,1.0,0.627451,161290682,902.24805,944.31055
MOVE,0,1.0,0.1254902,161290699,959.3506,815.0908
MOVE,0,1.0,0.1254902,161290715,988.3955,717.6328
MOVE,0,1.0,0.627451,161290732,998.5879,654.58496
MOVE,0,1.0,0.1254902,161290749,1002.3174,617.16406
MOVE,0,1.0,0.627451,161290765,1003.5586,591.9824
MOVE,0,1.0,0.627451,161290782,1005.0674,571.55664
MOVE,0,1.0,0.1254902,161290798,1005.3164,565.8672
MOVE,0,1.0,0.1254902,161290815,1005.3164,562.3203
MOVE,0,1.0,0.1254902,161290832,1005.3164,561.11035
MOVE,0,1.0,0.627451,161290848,1005.3164,559.81836
MOVE,0,1.0,0.627451,161290865,1005.3164,559.54785
MOVE,0,1.0,0.1254902,161290882,1005.3164,558.7959
MOVE,0,1.0,0.627451,161290898,1006.1426,557.92285
MOVE,0,1.0,0.1254902,161290913,1008.7539,556.97754
UP,0,1.0,0.1254902,161290916,1008.7539,556.97754
DOWN,0,1.0,0.59607846,161291488,784.6426,1549.7637
UP,0,1.0,0.59607846,161291549,784.6426,1549.7637
DOWN,0,1.0,0.65882355,161291845,771.1426,1551.6387
MOVE,0,1.0,0.15686275,161291878,766.14355,1533.7021
MOVE,0,1.0,0.65882355,161291896,767.4873,1392.2686
MOVE,0,1.0,0.15686275,161291913,790.61035,1274.709
MOVE,0,1.0,0.1254902,161291929,819.45215,1146.0557
MOVE,0,1.0,0.627451,161291947,850.1133,1022.5928
MOVE,0,1.0,0.627451,161291964,871.7197,927.8467
MOVE,0,1.0,0.627451,161291980,889.3076,847.80664
MOVE,0,1.0,0.627451,161291997,907.8467,784.8506
MOVE,0,1.0,0.1254902,161292013,924.33887,732.06055
MOVE,0,1.0,0.627451,161292030,934.6387,692.4717
MOVE,0,1.0,0.1254902,161292047,940.90625,666.58887
MOVE,0,1.0,0.1254902,161292063,946.2158,648.8838
MOVE,0,1.0,0.1254902,161292080,947.3828,642.73145
MOVE,0,1.0,0.627451,161292097,947.8662,640.3203
MOVE,0,1.0,0.1254902,161292112,947.8828,639.3506
MOVE,0,1.0,0.1254902,161292147,950.54004,639.4756
