phase,pointerId,pressure,size,timestamp,x,y
DOWN,0,1.0,0.0627451,155747036,670.64844,941.8428
MOVE,0,1.0,0.0627451,155747079,670.10645,892.96484
MOVE,0,1.0,0.0627451,155747095,688.0537,760.0654
MOVE,0,1.0,0.5647059,155747112,707.459,674.5371
MOVE,0,1.0,0.59607846,155747129,733.7705,589.41406
MOVE,0,1.0,0.59607846,155747145,758.3623,510.72852
MOVE,0,1.0,0.09411766,155747162,776.4238,446.13672
MOVE,0,1.0,0.59607846,155747178,794.0791,390.16895
MOVE,0,1.0,0.59607846,155747195,808.0781,350.85742
MOVE,0,1.0,0.59607846,155747212,815.7344,326.01465
MOVE,0,1.0,0.09411766,155747228,823.45215,305.20312
MOVE,0,1.0,0.09411766,155747246,830.5957,285.5127
MOVE,0,1.0,0.09411766,155747261,836.1084,271.86035
MOVE,0,1.0,0.59607846,155747279,840.52344,261.27832
MOVE,0,1.0,0.59607846,155747296,843.53613,251.90918
MOVE,0,1.0,0.59607846,155747312,845.20996,244.71582
MOVE,0,1.0,0.09411766,155747329,846.28613,240.55371
MOVE,0,1.0,0.59607846,155747346,846.3262,238.07324
MOVE,0,1.0,0.59607846,155747362,846.7988,235.92188
MOVE,0,1.0,0.59607846,155747379,847.6387,233.36328
UP,0,1.0,0.59607846,155747382,847.6387,233.42383
DOWN,0,1.0,0.59607846,155749527,747.33203,834.4082
MOVE,0,1.0,0.59607846,155749576,748.0596,788.7744
MOVE,0,1.0,0.59607846,155749593,756.6289,714.6953
MOVE,0,1.0,0.09411766,155749609,766.5459,646.24316
MOVE,0,1.0,0.09411766,155749626,777.0742,571.68164
MOVE,0,1.0,0.09411766,155749642,788.42773,508.6377
MOVE,0,1.0,0.59607846,155749659,797.2422,460.1377
MOVE,0,1.0,0.09411766,155749676,806.2158,420.3164
MOVE,0,1.0,0.59607846,155749692,815.1113,385.16602
MOVE,0,1.0,0.59607846,155749709,827.6367,351.44434
