answerId,holdMs,phase,pressure,size,timestamp,x,y
mc_q1_choice_D,0,DOWN,1.0,0.627451,146294695,385.8838,86.78711
mc_q1_choice_D,65,UP,1.0,0.627451,146294760,385.8838,86.78711
mc_q1_choice_D,0,DOWN,1.0,0.1254902,146296580,349.63574,70.725586
mc_q1_choice_D,48,UP,1.0,0.1254902,146296628,349.63574,70.725586
mc_q1_choice_C,0,DOWN,1.0,0.65882355,146297707,358.0371,9.6640625
mc_q1_choice_C,40,UP,1.0,0.65882355,146297747,358.0371,9.6640625
mc_q2_choice_B,0,DOWN,1.0,0.5647059,146300779,317.6377,83.77637
mc_q2_choice_B,52,UP,1.0,0.5647059,146300831,317.6377,83.77637
mc_q3_choice_B,0,DOWN,1.0,0.0627451,146302200,267.07812,57.841797
mc_q3_choice_B,41,UP,1.0,0.0627451,146302241,267.07812,57.841797
mc_q4_choice_B,0,DOWN,1.0,0.59607846,146303015,308.3877,80.65234
mc_q4_choice_B,58,UP,1.0,0.59607846,146303073,308.3877,80.65234
mc_q5_choice_D,0,DOWN,1.0,0.0627451,146304542,322.88672,110.83887
mc_q5_choice_D,69,UP,1.0,0.0627451,146304611,322.88672,110.83887
mc_q6_choice_C,0,DOWN,1.0,0.1254902,146305358,369.91113,65.586914
mc_q6_choice_C,48,UP,1.0,0.1254902,146305406,369.91113,65.586914
mc_q7_choice_C,0,DOWN,1.0,0.59607846,146306344,394.72266,117.27246
mc_q7_choice_C,61,UP,1.0,0.59607846,146306405,394.72266,117.27246
mc_q8_choice_C,0,DOWN,1.0,0.0627451,146307653,334.2256,65.46484
mc_q8_choice_C,57,UP,1.0,0.0627451,146307710,334.2256,65.46484
mc_q8_choice_D,0,DOWN,1.0,0.1254902,146308753,270.01562,75.08984
mc_q8_choice_D,34,UP,1.0,0.1254902,146308787,270.01562,75.08984
mc_q8_choice_A,0,DOWN,1.0,0.09411766,146309576,347.4746,54.719727
mc_q8_choice_A,39,UP,1.0,0.09411766,146309615,347.4746,54.719727
mc_q9_choice_A,0,DOWN,1.0,0.59607846,146311988,356.4121,51.28711
mc_q9_choice_A,52,UP,1.0,0.627451,146312040,356.4121,51.28711
mc_q10_choice_C,0,DOWN,1.0,0.59607846,146315407,374.91113,73.27539
mc_q10_choice_C,49,UP,1.0,0.59607846,146315456,374.91113,73.27539
mc_q11_choice_A,0,DOWN,1.0,0.5647059,146316576,340.3506,49.90625
mc_q11_choice_A,77,UP,1.0,0.5647059,146316653,340.3506,49.90625
mc_q12_choice_C,0,DOWN,1.0,0.0627451,146317770,378.34863,82.08984
mc_q12_choice_C,56,UP,1.0,0.0627451,146317826,378.34863,82.08984
mc_q13_choice_C,0,DOWN,1.0,0.1254902,146320478,342.7256,48.967773
mc_q13_choice_C,44,UP,1.0,0.1254902,146320522,342.7256,48.967773
mc_q14_choice_D,0,DOWN,1.0,0.5647059,146323126,163.39648,26.157227
mc_q14_choice_D,39,UP,1.0,0.5647059,146323165,163.39648,26.157227
