timestamp_ns,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,activity
1735440481111591,-0.56859446,4.5918264,7.670791,-0.7149967,0.15454435,0.41346723,25.968752,-25.81875,-28.10625,sitting
1735440501111591,-0.05383851,4.634897,8.667701,-0.4355341,0.21013145,0.35940725,27.187502,-26.400002,-27.6,sitting
1735440521111591,0.047856454,4.7823553,9.533304,-0.14232741,0.22937314,0.33314082,27.300001,-26.00625,-27.281252,sitting
1735440541111591,0.02871387,4.8158545,9.394521,0.019241689,0.10109522,0.31664795,27.2625,-25.968752,-26.75625,sitting
1735440561111591,-0.0741775,4.811069,8.648559,0.06810947,-0.01343864,0.2955737,26.98125,-26.04375,-26.8875,sitting
1735440581111591,0.041874398,4.9007998,8.379366,0.017103724,-0.023212196,0.23693238,26.906252,-26.081251,-26.718752,sitting
1735440601111591,0.2548356,5.0120664,8.394919,-0.09529217,0.02443389,0.1944785,26.7,-26.343752,-26.775002,sitting
1735440621111591,0.28743783,5.044369,8.466703,-0.20096874,0.0943759,0.17737478,26.56875,-26.5125,-26.831251,sitting
1735440641111591,0.3185445,4.9079785,8.780462,-0.17561859,0.15943113,0.11354123,26.625002,-26.7,-26.5125,sitting
1735440661111591,0.45972106,4.648058,9.631411,-0.0012216945,0.054365408,0.03840702,26.343752,-26.85,-26.41875,sitting
1735440681111591,0.46331027,4.368098,10.407283,0.20493926,-0.14660335,-0.0031305922,26.362501,-27.000002,-26.268751,sitting
1735440701111591,0.41784665,4.253242,10.733903,0.3127538,-0.21746163,-0.03061872,26.268751,-27.093752,-26.400002,sitting
1735440721111591,0.4860421,4.490132,10.214361,0.2131857,-0.29839888,-0.10850175,26.04375,-27.31875,-26.268751,sitting
1735440741111591,0.85842514,4.709075,9.178867,-0.049173206,-0.42156097,-0.20868069,26.062502,-27.375002,-26.2875,sitting
1735440761111591,1.2975081,4.6396832,8.98146,-0.2895416,-0.34764844,-0.28076068,26.175001,-27.206251,-26.325,sitting
1735440781111591,1.4760724,4.4171505,9.558429,-0.46454933,-0.10109522,-0.2850366,26.081251,-26.962502,-26.475,sitting
1735440801111591,1.4940187,3.9777687,9.597911,-0.5931327,0.044897273,-0.23525254,25.9125,-26.718752,-26.60625,sitting
1735440821111591,1.4413766,3.649952,9.390931,-0.6187883,0.06688777,-0.20532103,25.7625,-26.38125,-26.643751,sitting
1735440841111591,1.5143577,3.5503507,9.111869,-0.5503734,0.0061084726,-0.21448374,25.3875,-26.268751,-26.94375,sitting
1735440861111591,1.4222339,3.5527434,8.748159,-0.40804598,0.04795151,-0.17936003,25.331251,-25.81875,-27.13125,sitting
1735440881111591,1.2711871,3.39721,8.762517,-0.15484978,0.08093726,-0.08926006,25.5375,-25.331251,-27.35625,sitting
1735440901111591,1.1335998,3.0355947,9.056833,0.12613995,0.036650836,-0.027869906,25.462502,-25.181252,-27.45,sitting
1735440921111591,1.1946167,2.951846,8.857033,0.26113722,-0.051616594,-0.01809635,25.5375,-25.087502,-27.562502,sitting
1735440941111591,1.204188,3.0726833,8.156834,0.2171562,-0.1963874,-0.033367533,25.575,-25.0125,-27.618752,sitting
1735440961111591,1.3154542,3.187838,7.6313095,0.0839915,-0.29565006,-0.067269556,25.5375,-25.0125,-27.91875,sitting
1735440981111591,1.5346966,3.2177482,7.556833,-0.037261683,-0.31825143,-0.11552649,25.500002,-25.031252,-28.087502,sitting
1735441001111591,1.6890336,3.1435707,8.102695,-0.08582404,-0.28679278,-0.17325155,25.7625,-24.806252,-28.237501,sitting
1735441021111591,1.8206389,3.0798619,8.997013,-0.08124269,-0.28221142,-0.2398339,25.837502,-25.031252,-28.3875,sitting
1735441041111591,1.907977,2.9123642,9.53809,-0.11270132,-0.27457583,-0.2966427,25.85625,-25.181252,-28.7625,sitting
1735441061111591,1.8110676,2.8202405,9.576375,-0.22082129,-0.18691926,-0.30275118,26.025002,-25.218752,-29.00625,sitting
1735441081111591,1.6100706,2.7927232,9.487841,-0.36070532,-0.03298575,-0.23342001,26.04375,-24.956251,-29.00625,sitting
