phase,pointerId,pressure,size,timestamp,x,y
DOWN,0,1.0,0.019607844,1848684317,172.1777,787.6942
MOVE,0,1.0,0.019607844,1848684332,173.1276,784.6012
MOVE,0,1.0,0.023529414,1848684346,175.0781,778.64734
MOVE,0,1.0,0.019607844,1848684362,176.52861,768.46295
MOVE,0,1.0,0.027450982,1848684380,177.51761,728.7973
MOVE,0,1.0,0.019607844,1848684400,180.85251,687.7546
MOVE,0,1.0,0.019607844,1848684416,178.3861,668.40186
MOVE,0,1.0,0.019607844,1848684431,172.68271,652.9208
MOVE,0,1.0,0.019607844,1848684448,170.62805,637.5649
MOVE,0,1.0,0.023529414,1848684464,167.05324,626.13855
MOVE,0,1.0,0.019607844,1848684480,164.60039,615.11774
MOVE,0,1.0,0.023529414,1848684496,161.8945,607.0395
MOVE,0,1.0,0.023529414,1848684513,160.31247,599.6889
MOVE,0,1.0,0.019607844,1848684529,159.25778,589.51117
MOVE,0,1.0,0.015686275,1848684546,158.73044,579.33344
MOVE,0,1.0,0.019607844,1848684563,156.75073,568.8663
MOVE,0,1.0,0.019607844,1848684580,156.22276,558.96
MOVE,0,1.0,0.019607844,1848684596,155.3027,550.2138
MOVE,0,1.0,0.019607844,1848684613,155.43454,542.0151
MOVE,0,1.0,0.019607844,1848684630,152.27048,536.3608
MOVE,0,1.0,0.019607844,1848684646,150.68845,531.83734
MOVE,0,1.0,0.015686275,1848684663,147.65622,523.9213
MOVE,0,1.0,0.015686275,1848684675,137.10936,516.28796
UP,0,1.0,0.015686275,1848684684,137.10936,516.28796
DOWN,0,1.0,0.03137255,1848687682,873.2812,1437.3729
MOVE,0,1.0,0.027450982,1848687706,871.9978,1435.3358
MOVE,0,1.0,0.039215688,1848687719,871.831,1431.1532
MOVE,0,1.0,0.023529414,1848687737,871.9925,1415.8569
MOVE,0,1.0,0.03529412,1848687757,876.95154,1382.0908
MOVE,0,1.0,0.03529412,1848687773,878.8743,1357.9565
MOVE,0,1.0,0.03529412,1848687790,884.6764,1336.4001
MOVE,0,1.0,0.03137255,1848687806,890.8152,1316.8741
MOVE,0,1.0,0.03137255,1848687822,891.26746,1303.3181
MOVE,0,1.0,0.03137255,1848687837,895.9901,1291.6028
MOVE,0,1.0,0.03137255,1848687853,898.48474,1279.2275
MOVE,0,1.0,0.03137255,1848687870,902.6061,1265.9872
MOVE,0,1.0,0.027450982,1848687887,903.0479,1254.1132
MOVE,0,1.0,0.03529412,1848687904,908.1507,1241.8396
MOVE,0,1.0,0.039215688,1848687920,911.38824,1229.7396
MOVE,0,1.0,0.03137255,1848687937,906.7675,1219.9651
MOVE,0,1.0,0.03137255,1848687953,911.3818,1209.7874
MOVE,0,1.0,0.03529412,1848687970,913.49115,1203.2849
MOVE,0,1.0,0.027450982,1848687986,915.4687,1198.4788
MOVE,0,1.0,0.03529412,1848688003,916.6552,1193.3899
MOVE,0,1.0,0.03529412,1848688020,917.7099,1187.7356
MOVE,0,1.0,0.03137255,1848688037,918.5009,1181.7986
MOVE,0,1.0,0.03529412,1848688053,921.665,1175.8616
MOVE,0,1.0,0.03529412,1848688070,922.98334,1170.2073
MOVE,0,1.0,0.027450982,1848688087,924.16986,1162.2913
MOVE,0,1.0,0.03529412,1848688104,929.4433,1154.3752
MOVE,0,1.0,0.03137255,1848688120,930.8935,1146.1765
MOVE,0,1.0,0.043137256,1848688137,937.4853,1137.1296
MOVE,0,1.0,0.03529412,1848688154,940.5998,1124.686
MOVE,0,1.0,0.03529412,1848688172,946.36725,1107.155
MOVE,0,1.0,0.03529412,1848688174,947.373,1104.3347
UP,0,1.0,0.03529412,1848688183,947.373,1104.3347
MOVE,0,1.0,0.03137255,1848691748,845.8251,1370.7992
MOVE,0,1.0,0.027450982,1848691765,853.1297,1348.2258
MOVE,0,1.0,0.03137255,1848691781,858.6818,1327.5552
MOVE,0,1.0,0.039215688,1848691798,861.1523,1308.5267
MOVE,0,1.0,0.03529412,1848691814,861.3894,1292.9156
MOVE,0,1.0,0.027450982,1848691829,863.8837,1278.548
MOVE,0,1.0,0.023529414,1848691846,867.62,1267.4266
MOVE,0,1.0,0.03137255,1848691861,873.0287,1257.8309
MOVE,0,1.0,0.03529412,1848691878,876.9726,1249.3674
MOVE,0,1.0,0.039215688,1848691894,880.53217,1241.1687
MOVE,0,1.0,0.03137255,1848691911,885.4101,1234.6663
MOVE,0,1.0,0.027450982,1848691928,889.3652,1227.3157
MOVE,0,1.0,0.03137255,1848691944,891.47455,1220.2478
MOVE,0,1.0,0.027450982,1848691961,891.47455,1213.4626
MOVE,0,1.0,0.039215688,1848691978,890.41986,1206.9602
MOVE,0,1.0,0.027450982,1848691995,895.16595,1200.7405
MOVE,0,1.0,0.03137255,1848692011,897.2753,1194.8035
MOVE,0,1.0,0.03137255,1848692028,900.70306,1188.0183
MOVE,0,1.0,0.03529412,1848692045,907.29486,1180.1023
MOVE,0,1.0,0.03137255,1848692061,913.623,1171.0554
MOVE,0,1.0,0.043137256,1848692074,925.4882,1162.574
UP,0,1.0,0.043137256,1848692082,925.4882,1162.574
DOWN,0,1.0,0.039215688,1848692692,803.40814,1402.8817
MOVE,0,1.0,0.03529412,1848692716,804.39294,1400.2792
MOVE,0,1.0,0.039215688,1848692729,805.5175,1395.5311
MOVE,0,1.0,0.039215688,1848692747,807.5919,1379.3175
MOVE,0,1.0,0.03137255,1848692767,813.6676,1344.7781
MOVE,0,1.0,0.03137255,1848692784,823.6186,1319.8822
MOVE,0,1.0,0.03137255,1848692800,824.4285,1301.0421
MOVE,0,1.0,0.03529412,1848692815,825.1713,1284.75
MOVE,0,1.0,0.03137255,1848692832,828.4004,1268.6735
MOVE,0,1.0,0.023529414,1848692849,830.8407,1251.1774
MOVE,0,1.0,0.03137255,1848692866,834.7866,1230.6595
MOVE,0,1.0,0.027450982,1848692882,839.2216,1213.7501
MOVE,0,1.0,0.03137255,1848692899,840.0809,1197.9949
MOVE,0,1.0,0.03137255,1848692915,844.94763,1181.5974
MOVE,0,1.0,0.03529412,1848692933,846.2691,1160.7047
MOVE,0,1.0,0.027450982,1848692951,845.3214,1133.8616
MOVE,0,1.0,0.03137255,1848692967,849.5138,1110.1078
MOVE,0,1.0,0.03137255,1848692983,854.1529,1090.7777
MOVE,0,1.0,0.03137255,1848692998,857.1265,1076.3383
MOVE,0,1.0,0.039215688,1848693014,856.9901,1064.2233
MOVE,0,1.0,0.03529412,1848693030,855.3297,1053.5182
MOVE,0,1.0,0.039215688,1848693047,858.2519,1045.53
MOVE,0,1.0,0.039215688,1848693063,852.4511,1040.7239
MOVE,0,1.0,0.043137256,1848693075,848.7597,1041.2893
MOVE,0,1.0,0.03529412,1848693093,841.56036,1045.2937
MOVE,0,1.0,0.03529412,1848693115,831.5039,1052.7235
MOVE,0,1.0,0.03529412,1848693131,821.6173,1071.6445
MOVE,0,1.0,0.043137256,1848693151,801.6547,1123.3049
MOVE,0,1.0,0.03137255,1848693168,782.1483,1182.0645
MOVE,0,1.0,0.03137255,1848693184,763.68066,1244.81
MOVE,0,1.0,0.03137255,1848693201,749.1576,1304.7683
MOVE,0,1.0,0.03529412,1848693218,739.1196,1356.833
MOVE,0,1.0,0.03137255,1848693234,732.7731,1400.9761
MOVE,0,1.0,0.03137255,1848693251,728.2827,1437.7631
MOVE,0,1.0,0.03137255,1848693268,725.1134,1467.7648
MOVE,0,1.0,0.03137255,1848693285,722.2206,1491.4634
MOVE,0,1.0,0.03137255,1848693300,720.1901,1506.6084
MOVE,0,1.0,0.027450982,1848693315,718.99133,1512.9922
MOVE,0,1.0,0.03529412,1848693332,718.82324,1505.316
MOVE,0,1.0,0.039215688,1848693351,731.8426,1439.0981
MOVE,0,1.0,0.03137255,1848693368,764.9779,1300.194
MOVE,0,1.0,0.039215688,1848693385,824.00354,1129.3098
MOVE,0,1.0,0.03137255,1848693402,880.1103,988.57434
MOVE,0,1.0,0.03137255,1848693402,880.4003,987.8562
UP,0,1.0,0.03137255,1848693418,880.4003,987.8562
DOWN,0,1.0,0.03529412,1848693485,953.7011,844.8026
MOVE,0,1.0,0.039215688,1848693519,937.9836,863.8972
MOVE,0,1.0,0.03137255,1848693535,883.1188,937.05237
MOVE,0,1.0,0.03137255,1848693552,803.81946,1071.3645
MOVE,0,1.0,0.03529412,1848693569,757.6268,1194.9789
MOVE,0,1.0,0.03137255,1848693585,755.4119,1243.2665
MOVE,0,1.0,0.03529412,1848693602,756.20557,1269.3158
MOVE,0,1.0,0.03529412,1848693619,755.6888,1291.9443
MOVE,0,1.0,0.03529412,1848693635,753.8483,1315.1215
MOVE,0,1.0,0.03137255,1848693652,748.60126,1359.6377
MOVE,0,1.0,0.03137255,1848693669,733.88837,1449.8575
MOVE,0,1.0,0.03137255,1848693686,717.77277,1545.5792
MOVE,0,1.0,0.03137255,1848693702,712.9845,1582.547
MOVE,0,1.0,0.027450982,1848693718,712.70496,1597.2124
MOVE,0,1.0,0.03137255,1848693732,713.1014,1602.2017
MOVE,0,1.0,0.03137255,1848693748,713.75964,1603.6093
MOVE,0,1.0,0.027450982,1848693765,714.6825,1601.6302
MOVE,0,1.0,0.027450982,1848693783,719.0575,1588.3016
MOVE,0,1.0,0.03529412,1848693802,732.4118,1507.9725
MOVE,0,1.0,0.039215688,1848693819,752.9308,1323.1166
MOVE,0,1.0,0.039215688,1848693836,780.8695,1103.43
MOVE,0,1.0,0.039215688,1848693853,806.944,971.504
MOVE,0,1.0,0.03137255,1848693869,841.2081,885.3043
MOVE,0,1.0,0.03529412,1848693886,862.00305,865.5305
MOVE,0,1.0,0.03529412,1848693901,871.8768,860.35706
MOVE,0,1.0,0.043137256,1848693915,876.3134,862.33093
MOVE,0,1.0,0.043137256,1848693932,874.7314,869.1161
MOVE,0,1.0,0.03529412,1848693949,867.6326,880.03845
MOVE,0,1.0,0.039215688,1848693967,852.19684,906.29517
MOVE,0,1.0,0.043137256,1848693986,820.966,970.54846
MOVE,0,1.0,0.03529412,1848694003,783.0421,1073.7847
MOVE,0,1.0,0.03529412,1848694020,736.15594,1234.6323
MOVE,0,1.0,0.03137255,1848694037,682.119,1430.7405
MOVE,0,1.0,0.03529412,1848694053,673.4337,1484.134
MOVE,0,1.0,0.03529412,1848694070,677.3261,1507.2954
MOVE,0,1.0,0.03529412,1848694086,681.4877,1525.9968
MOVE,0,1.0,0.039215688,1848694101,682.0583,1540.2844
MOVE,0,1.0,0.03529412,1848694117,681.36725,1551.9028
MOVE,0,1.0,0.03529412,1848694133,679.4823,1559.7885
MOVE,0,1.0,0.03529412,1848694149,676.5819,1564.0292
MOVE,0,1.0,0.03137255,1848694166,673.286,1562.3329
MOVE,0,1.0,0.03529412,1848694183,670.8921,1553.6721
MOVE,0,1.0,0.03529412,1848694201,671.25757,1526.0564
MOVE,0,1.0,0.039215688,1848694220,680.2206,1459.7753
MOVE,0,1.0,0.03137255,1848694237,697.8392,1367.7516
MOVE,0,1.0,0.03529412,1848694254,712.37805,1297.4573
MOVE,0,1.0,0.03529412,1848694270,719.7977,1254.9199
MOVE,0,1.0,0.03137255,1848694287,721.64716,1231.9698
MOVE,0,1.0,0.03529412,1848694302,722.80505,1221.8605
MOVE,0,1.0,0.039215688,1848694316,723.5155,1217.4207
MOVE,0,1.0,0.03529412,1848694329,723.12,1217.4207
MOVE,0,1.0,0.03137255,1848694350,721.4061,1222.2268
MOVE,0,1.0,0.03529412,1848694367,717.8196,1240.5693
MOVE,0,1.0,0.039215688,1848694387,711.152,1283.378
MOVE,0,1.0,0.03529412,1848694404,706.39795,1321.2732
MOVE,0,1.0,0.03529412,1848694421,702.7039,1358.5916
MOVE,0,1.0,0.03529412,1848694437,700.32294,1394.7848
MOVE,0,1.0,0.03529412,1848694454,697.1642,1428.7274
MOVE,0,1.0,0.03529412,1848694471,694.52216,1458.7122
MOVE,0,1.0,0.04705883,1848694487,693.19855,1484.1792
MOVE,0,1.0,0.03529412,1848694504,691.62177,1506.8076
MOVE,0,1.0,0.03529412,1848694521,689.54724,1526.2975
MOVE,0,1.0,0.03529412,1848694536,688.27167,1543.3862
MOVE,0,1.0,0.03529412,1848694552,687.0773,1558.1
MOVE,0,1.0,0.03529412,1848694568,685.7414,1571.3457
MOVE,0,1.0,0.043137256,1848694584,685.6932,1583.8796
MOVE,0,1.0,0.043137256,1848694601,685.6674,1595.3684
MOVE,0,1.0,0.03137255,1848694617,684.62024,1606.4629
MOVE,0,1.0,0.03137255,1848694634,682.9082,1616.9148
MOVE,0,1.0,0.03529412,1848694646,682.3827,1625.0956
UP,0,1.0,0.03529412,1848694663,682.3827,1625.0956
MOVE,0,1.0,0.03529412,1848695352,139.91158,1253.2834
MOVE,0,1.0,0.03529412,1848695369,141.32997,1262.6711
MOVE,0,1.0,0.03137255,1848695385,142.3828,1270.8538
MOVE,0,1.0,0.03137255,1848695402,142.91014,1276.2253
MOVE,0,1.0,0.03137255,1848695419,142.91014,1279.9006
MOVE,0,1.0,0.03137255,1848695436,142.91014,1283.2932
MOVE,0,1.0,0.03137255,1848695452,142.91014,1285.8378
MOVE,0,1.0,0.039215688,1848695469,142.91014,1287.8168
MOVE,0,1.0,0.03137255,1848695486,143.17381,1289.5131
MOVE,0,1.0,0.03137255,1848695502,143.17381,1291.2094
MOVE,0,1.0,0.039215688,1848695519,142.7783,1293.1884
MOVE,0,1.0,0.03137255,1848695536,142.25096,1294.8846
MOVE,0,1.0,0.03529412,1848695553,141.72362,1296.5809
MOVE,0,1.0,0.039215688,1848695569,141.19627,1297.9945
MOVE,0,1.0,0.03137255,1848695582,141.06444,1298.8427
MOVE,0,1.0,0.03137255,1848695603,140.27342,1300.2562
MOVE,0,1.0,0.03529412,1848695619,139.0869,1301.3871
MOVE,0,1.0,0.03137255,1848695636,137.2412,1302.8007
MOVE,0,1.0,0.03529412,1848695653,135.65916,1304.497
MOVE,0,1.0,0.03137255,1848695669,134.86815,1306.1932
MOVE,0,1.0,0.03529412,1848695686,134.73631,1307.6068
MOVE,0,1.0,0.03529412,1848695699,134.73631,1308.455
MOVE,0,1.0,0.03137255,1848695723,133.71655,1310.6417
MOVE,0,1.0,0.03529412,1848695736,133.41795,1311.5648
MOVE,0,1.0,0.03137255,1848695753,133.41795,1312.1302
MOVE,0,1.0,0.03529412,1848695757,133.41795,1311.8475
MOVE,0,1.0,0.03137255,1848695782,133.15428,1311.8475
MOVE,0,1.0,0.03529412,1848695816,133.15428,1312.413
MOVE,0,1.0,0.03529412,1848695856,133.41795,1313.4689
MOVE,0,1.0,0.03529412,1848695857,133.41795,1313.5438
MOVE,0,1.0,0.03529412,1848695905,133.45288,1311.9973
MOVE,0,1.0,0.03529412,1848695920,133.02245,1310.1512
MOVE,0,1.0,0.039215688,1848695937,132.62694,1307.0414
MOVE,0,1.0,0.03529412,1848695954,131.07538,1291.3618
MOVE,0,1.0,0.03137255,1848695972,127.54904,1273.4253
MOVE,0,1.0,0.03137255,1848695988,123.06995,1258.6848
MOVE,0,1.0,0.03529412,1848696005,119.196365,1243.131
MOVE,0,1.0,0.03529412,1848696021,116.90565,1228.4298
MOVE,0,1.0,0.03137255,1848696038,114.3596,1213.7286
MOVE,0,1.0,0.03529412,1848696055,112.07886,1199.4841
MOVE,0,1.0,0.03529412,1848696071,110.38039,1186.5916
MOVE,0,1.0,0.03137255,1848696087,109.277435,1173.8221
MOVE,0,1.0,0.03137255,1848696104,109.16015,1161.768
MOVE,0,1.0,0.03137255,1848696121,108.76339,1150.6733
MOVE,0,1.0,0.03137255,1848696137,108.50004,1140.5062
MOVE,0,1.0,0.03137255,1848696154,108.36913,1132.3235
MOVE,0,1.0,0.03137255,1848696171,108.10546,1125.5383
MOVE,0,1.0,0.027450982,1848696187,107.973625,1120.1667
MOVE,0,1.0,0.03529412,1848696204,108.36913,1115.3606
MOVE,0,1.0,0.03529412,1848696221,108.2373,1111.4026
MOVE,0,1.0,0.03529412,1848696237,107.70995,1108.01
MOVE,0,1.0,0.039215688,1848696254,107.44628,1104.9001
MOVE,0,1.0,0.03137255,1848696271,107.314445,1102.073
MOVE,0,1.0,0.03529412,1848696288,107.18261,1100.094
MOVE,0,1.0,0.03529412,1848696304,107.314445,1098.115
MOVE,0,1.0,0.03529412,1848696321,107.314445,1096.7014
MOVE,0,1.0,0.03529412,1848696338,107.314445,1095.0051
