answerId,holdMs,phase,pressure,size,timestamp,x,y
mc_q1_choice_C,0,DOWN,1.0,0.03137255,1403381248,333.91013,72.20111
mc_q1_choice_C,41,UP,1.0,0.027450982,1403381289,333.1191,73.33197
mc_q1_choice_D,0,DOWN,1.0,0.03137255,1403381974,260.15424,48.453064
mc_q1_choice_D,58,UP,1.0,0.03529412,1403382032,261.4726,50.149353
mc_q2_choice_C,0,DOWN,1.0,0.043137256,1403383852,320.72653,85.7146
mc_q2_choice_C,49,UP,1.0,0.043137256,1403383901,320.1992,84.58374
mc_q3_choice_B,0,DOWN,1.0,0.03137255,1403385695,339.2558,78.57202
mc_q3_choice_B,75,UP,1.0,0.050980397,1403385770,337.4101,77.44116
mc_q3_choice_D,0,DOWN,1.0,0.03137255,1403386364,355.60345,61.05542
mc_q3_choice_D,49,UP,1.0,0.03529412,1403386413,355.86713,61.62085
mc_q4_choice_B,0,DOWN,1.0,0.023529414,1403386739,322.11713,1.0291748
mc_q4_choice_B,0,DOWN,1.0,0.03137255,1403388276,286.52142,54.585815
mc_q4_choice_B,40,UP,1.0,0.03529412,1403388316,287.31244,56.847534
mc_q5_choice_C,0,DOWN,1.0,0.04705883,1403390645,356.05856,88.46753
mc_q5_choice_C,58,UP,1.0,0.043137256,1403390703,356.05856,85.07495
mc_q6_choice_C,0,DOWN,1.0,0.04705883,1403392908,354.7402,53.935303
mc_q6_choice_C,49,UP,1.0,0.043137256,1403392957,356.32224,60.15503
mc_q7_choice_B,0,DOWN,1.0,0.039215688,1403394443,310.77924,33.401123
mc_q7_choice_B,67,UP,1.0,0.039215688,1403394510,311.57025,34.531982
mc_q7_choice_D,0,DOWN,1.0,0.03529412,1403395547,254.8808,110.87683
mc_q7_choice_D,64,UP,1.0,0.03137255,1403395611,252.24408,110.87683
mc_q8_choice_D,0,DOWN,1.0,0.03137255,1403397523,290.4765,63.049683
mc_q8_choice_D,75,UP,1.0,0.03137255,1403397598,289.6855,64.74597
mc_q9_choice_B,0,DOWN,1.0,0.03529412,1403399393,330.8183,69.56824
mc_q9_choice_B,58,UP,1.0,0.03137255,1403399451,329.49994,68.43738
mc_q9_choice_B,0,DOWN,1.0,0.027450982,1403399810,395.68158,87.09656
mc_q10_choice_C,0,DOWN,1.0,0.043137256,1403407296,363.96872,49.466675
mc_q10_choice_C,75,UP,1.0,0.04705883,1403407371,366.0781,47.204956
mc_q11_choice_C,0,DOWN,1.0,0.03137255,1403411954,378.73434,54.932373
mc_q11_choice_C,40,UP,1.0,0.04705883,1403411994,381.1074,54.932373
mc_q12_choice_A,0,DOWN,1.0,0.039215688,1403415574,380.31638,100.71069
mc_q12_choice_A,83,UP,1.0,0.03529412,1403415657,383.48044,100.14526
mc_q13_choice_A,0,DOWN,1.0,0.039215688,1403419096,363.44138,55.56128
mc_q13_choice_A,41,UP,1.0,0.043137256,1403419137,364.49606,55.56128
mc_q14_choice_D,0,DOWN,1.0,0.027450982,1403427173,92.986206,33.79773
mc_q14_choice_D,58,UP,1.0,0.03137255,1403427231,91.93152,30.970581
