phase,pointerId,pressure,size,timestamp,x,y
MOVE,0,1.0,0.0,249176781,278.54785,1609.4102
MOVE,0,1.0,0.0,249176798,269.2422,1534.2461
MOVE,0,1.0,0.0,249176815,243.05469,1446.8936
MOVE,0,1.0,0.0,249176831,202.73145,1353.6523
MOVE,0,1.0,0.0,249176848,169.37793,1293.6055
MOVE,0,1.0,0.0,249176865,135.88867,1232.6758
MOVE,0,1.0,0.0,249176871,122.25,1209.375
UP,0,1.0,0.0,249176875,122.25,1209.375
DOWN,0,1.0,0.0,249177102,322.25,1657.375
MOVE,0,1.0,0.0,249177165,316.04492,1631.2178
MOVE,0,1.0,0.0,249177181,286.6123,1540.7686
MOVE,0,1.0,0.0,249177198,263.41895,1464.7773
MOVE,0,1.0,0.0,249177215,231.31055,1389.834
MOVE,0,1.0,0.0,249177231,201.51758,1335.4072
MOVE,0,1.0,0.0,249177248,181.51855,1307.7295
MOVE,0,1.0,0.0,249177265,165.58496,1279.4141
MOVE,0,1.0,0.0,249177281,151.20117,1260.7051
MOVE,0,1.0,0.0,249177298,142.83691,1249.7324
MOVE,0,1.0,0.0,249177315,138.2959,1244.8408
MOVE,0,1.0,0.0,249177331,136.70898,1241.2734
MOVE,0,1.0,0.0,249177348,135.8457,1238.8457
MOVE,0,1.0,0.0,249177365,135.25,1237.9688
MOVE,0,1.0,0.0,249177381,135.375,1236.5957
MOVE,0,1.0,0.0,249177385,135.375,1236.25
UP,0,1.0,0.0,249177398,135.375,1236.25
MOVE,0,1.0,0.0,249178432,634.584,1636.748
MOVE,0,1.0,0.0,249178448,634.6748,1540.1475
MOVE,0,1.0,0.0,249178465,655.2637,1417.4854
MOVE,0,1.0,0.0,249178482,674.56055,1311.7998
MOVE,0,1.0,0.0,249178498,700.73145,1197.124
MOVE,0,1.0,0.0,249178515,731.91113,1089.3223
MOVE,0,1.0,0.0,249178522,750.625,1058.375
UP,0,1.0,0.0,249178526,750.625,1058.375
DOWN,0,1.0,0.0,249178736,745.625,1118.75
MOVE,0,1.0,0.0,249178815,766.08203,1073.1191
MOVE,0,1.0,0.0,249178831,798.5781,1032.4922
MOVE,0,1.0,0.0,249178848,818.72266,1003.2988
MOVE,0,1.0,0.0,249178865,831.56836,984.4795
MOVE,0,1.0,0.0,249178881,838.5156,972.57324
MOVE,0,1.0,0.0,249178898,843.3613,961.83594
MOVE,0,1.0,0.0,249178915,845.90625,956.625
MOVE,0,1.0,0.0,249178931,847.3955,955.06934
MOVE,0,1.0,0.0,249178943,848.0625,954.75
MOVE,0,1.0,0.0,249178965,848.41797,954.416
MOVE,0,1.0,0.0,249178970,848.625,954.25
UP,0,1.0,0.0,249178974,848.625,954.25
MOVE,0,1.0,0.0,249180331,769.292,1209.2217
MOVE,0,1.0,0.0,249180344,807.0,1107.875
UP,0,1.0,0.0,249180348,807.0,1107.875
DOWN,0,1.0,0.0,249180514,844.5,1124.125
MOVE,0,1.0,0.0,249180582,849.3047,1106.0801
MOVE,0,1.0,0.0,249180598,883.83984,1053.7051
MOVE,0,1.0,0.0,249180615,899.874,1027.1318
MOVE,0,1.0,0.0,249180631,911.76855,1009.8916
MOVE,0,1.0,0.0,249180648,919.75977,997.34863
MOVE,0,1.0,0.0,249180665,930.708,984.4072
MOVE,0,1.0,0.0,249180681,939.13477,970.416
MOVE,0,1.0,0.0,249180698,949.7881,957.4258
MOVE,0,1.0,0.0,249180715,958.1709,947.1836
MOVE,0,1.0,0.0,249180731,960.25586,944.4824
MOVE,0,1.0,0.0,249180748,960.625,943.501
MOVE,0,1.0,0.0,249180764,960.875,943.1279
MOVE,0,1.0,0.0,249180781,961.24023,942.0488
MOVE,0,1.0,0.0,249180786,961.5,939.75
UP,0,1.0,0.0,249180790,961.5,939.75
DOWN,0,1.0,0.0,249181965,660.5,1296.25
MOVE,0,1.0,0.0,249182015,653.2461,1228.0967
MOVE,0,1.0,0.0,249182031,676.1367,1050.252
MOVE,0,1.0,0.0,249182043,706.875,961.5
UP,0,1.0,0.0,249182047,706.875,961.5
DOWN,0,1.0,0.0,249182218,710.875,1143.5
MOVE,0,1.0,0.0,249182267,710.75,1139.125
MOVE,0,1.0,0.0,249182281,726.125,1076.2031
MOVE,0,1.0,0.0,249182298,752.70605,1024.0615
MOVE,0,1.0,0.0,249182315,773.8535,980.0947
MOVE,0,1.0,0.0,249182331,793.834,942.0039
MOVE,0,1.0,0.0,249182348,810.08887,909.7715
MOVE,0,1.0,0.0,249182365,829.3867,879.36816
MOVE,0,1.0,0.0,249182381,847.2012,849.38477
MOVE,0,1.0,0.0,249182398,864.16797,823.04004
