answerId,holdMs,phase,pressure,size,timestamp,x,y
mc_q2_choice_B,0,DOWN,1.0,0.0,351640281,251.0,41.625
mc_q2_choice_B,64,UP,1.0,0.0,351640345,251.0,41.625
mc_q1_choice_C,0,DOWN,1.0,0.0,351640690,253.75,58.125
mc_q1_choice_C,48,UP,1.0,0.0,351640738,253.75,58.125
mc_q3_choice_C,0,DOWN,1.0,0.0,351640946,143.5,29.0
mc_q3_choice_C,0,DOWN,1.0,0.0,351641725,271.125,15.375
mc_q3_choice_C,48,UP,1.0,0.0,351641773,271.125,15.375
mc_q4_choice_C,0,DOWN,1.0,0.0,351642169,396.5,0.5
mc_q4_choice_C,52,UP,1.0,0.0,351642221,396.5,0.5
mc_q5_choice_A,0,DOWN,1.0,0.0,351642487,177.375,91.25
mc_q5_choice_D,0,DOWN,1.0,0.0,351643358,243.75,51.625
mc_q5_choice_D,56,UP,1.0,0.0,351643414,243.75,51.625
mc_q7_choice_C,0,DOWN,1.0,0.0,351644041,117.0,34.125
mc_q7_choice_C,81,UP,1.0,0.0,351644122,117.0,34.125
mc_q7_choice_D,0,DOWN,1.0,0.0,351644376,265.75,9.375
mc_q6_choice_A,0,DOWN,1.0,0.0,351644959,328.875,52.875
mc_q6_choice_A,43,UP,1.0,0.0,351645002,328.875,52.875
mc_q8_choice_C,0,DOWN,1.0,0.0,351645133,150.125,96.625
mc_q8_choice_B,0,DOWN,1.0,0.0,351645787,250.25,69.25
mc_q8_choice_B,61,UP,1.0,0.0,351645848,250.25,69.25
mc_q9_choice_C,0,DOWN,1.0,0.0,351646138,166.125,51.5
mc_q9_choice_C,103,UP,1.0,0.0,351646241,166.125,51.5
mc_q9_choice_D,0,DOWN,1.0,0.0,351646406,86.5,75.375
mc_q10_choice_D,0,DOWN,1.0,0.0,351647172,190.625,9.75
mc_q10_choice_D,45,UP,1.0,0.0,351647217,190.625,9.75
mc_q11_choice_C,0,DOWN,1.0,0.0,351647460,127.375,66.75
mc_q11_choice_C,75,UP,1.0,0.0,351647535,127.375,66.75
mc_q12_choice_B,0,DOWN,1.0,0.0,351648223,241.125,94.5
mc_q12_choice_B,62,UP,1.0,0.0,351648285,241.125,94.5
mc_q13_choice_A,0,DOWN,1.0,0.0,351648470,267.75,122.875
mc_q13_choice_A,116,UP,1.0,0.0,351648586,267.75,122.875
mc_q14_choice_D,0,DOWN,1.0,0.0,351649501,187.0,67.625
mc_q14_choice_D,61,UP,1.0,0.0,351649562,187.0,67.625
mc_q9_choice_A,0,DOWN,1.0,0.0,351692896,153.0,98.75
mc_q11_choice_D,0,DOWN,1.0,0.0,351794046,47.75,56.0
mc_q10_choice_C,0,DOWN,1.0,0.0,351867142,349.75,65.375
mc_q10_choice_A,0,DOWN,1.0,0.0,351867669,200.5,93.0
mc_q12_choice_A,0,DOWN,1.0,0.0,351872448,183.0,73.5
mc_q12_choice_D,0,DOWN,1.0,0.0,351872849,48.625,29.875
mc_q3_choice_A,0,DOWN,1.0,0.0,351977770,116.625,78.5
mc_q3_choice_A,0,DOWN,1.0,0.0,352001743,334.625,32.0
mc_q14_choice_C,0,DOWN,1.0,0.0,352037867,246.625,43.875
mc_q5_choice_C,0,DOWN,1.0,0.0,352090465,300.375,121.25
mc_q4_choice_A,0,DOWN,1.0,0.0,352102203,331.375,40.0
mc_q7_choice_A,0,DOWN,1.0,0.0,352129877,327.75,113.75
mc_q2_choice_C,0,DOWN,1.0,0.0,352139452,342.625,125.25
