answerId,holdMs,phase,pressure,size,timestamp,x,y
mc_q1_choice_B,0,DOWN,1.0,0.03137255,115316740,143.875,40.83008
mc_q1_choice_B,41,UP,1.0,0.027450982,115316781,143.61133,41.94336
mc_q2_choice_D,0,DOWN,1.0,0.023529414,115343582,198.1914,80.359375
mc_q2_choice_D,109,UP,1.0,0.023529414,115343691,196.3457,81.47266
mc_q2_choice_B,0,DOWN,1.0,0.03529412,115344101,236.95117,119.927734
mc_q2_choice_B,93,UP,1.0,0.03529412,115344194,230.35938,111.578125
mc_q2_choice_D,0,DOWN,1.0,0.03529412,115344477,211.90234,52.527344
mc_q2_choice_D,84,UP,1.0,0.027450982,115344561,200.03711,68.66992
mc_q2_choice_D,0,DOWN,1.0,0.027450982,115344787,122.25391,27.478516
mc_q2_choice_D,92,UP,1.0,0.027450982,115344879,113.02539,40.28125
mc_q2_choice_A,0,DOWN,1.0,0.023529414,115344972,274.58398,18.0625
mc_q2_choice_C,0,DOWN,1.0,0.027450982,115345122,392.70898,112.541016
mc_q2_choice_C,84,UP,1.0,0.023529414,115345206,383.74414,125.34375
mc_q2_choice_C,0,DOWN,1.0,0.019607844,115345256,164.36914,21.251953
mc_q2_choice_C,158,UP,1.0,0.023529414,115345414,144.33008,40.734375
mc_q2_choice_C,0,DOWN,1.0,0.023529414,115345515,322.04492,112.541016
mc_q2_choice_C,117,UP,1.0,0.019607844,115345632,339.71094,104.19141
mc_q1_choice_A,0,DOWN,1.0,0.027450982,115346076,257.70898,119.18359
mc_q1_choice_A,226,UP,1.0,0.027450982,115346302,460.47266,236.63477
mc_q1_choice_D,0,DOWN,1.0,0.03529412,115346419,241.96094,120.25
mc_q1_choice_D,92,UP,1.0,0.023529414,115346511,246.44336,110.23047
mc_q1_choice_A,0,DOWN,1.0,0.027450982,115346611,270.6289,25.111328
mc_q1_choice_C,0,DOWN,1.0,0.027450982,115347524,212.88477,48.01953
mc_q1_choice_C,66,UP,1.0,0.027450982,115347590,209.45703,52.472656
mc_q1_choice_A,0,DOWN,1.0,0.039215688,115347749,243.99805,31.923828
mc_q1_choice_A,67,UP,1.0,0.03137255,115347816,246.3711,23.017578
mc_q1_choice_C,0,DOWN,1.0,0.023529414,115349782,305.4336,55.8125
mc_q1_choice_D,0,DOWN,1.0,0.027450982,115349807,97.46875,72.51172
mc_q1_choice_C,34,UP,1.0,0.015686275,115349841,309.38867,51.359375
mc_q1_choice_D,83,UP,1.0,0.03137255,115349890,104.06055,75.85156
mc_q1_choice_C,0,DOWN,1.0,0.023529414,115350393,274.58398,65.83203
mc_q1_choice_D,0,DOWN,1.0,0.023529414,115350577,114.34375,107.02344
mc_q1_choice_C,41,UP,1.0,0.019607844,115350618,273.5293,62.492188
mc_q1_choice_D,83,UP,1.0,0.027450982,115350660,111.70703,113.703125
mc_q1_choice_D,0,DOWN,1.0,0.03137255,115350794,119.353516,117.59961
mc_q2_choice_C,0,DOWN,1.0,0.027450982,115353823,442.2793,38.640625
mc_q2_choice_C,67,UP,1.0,0.019607844,115353890,357.9043,-211.84766
mc_q2_choice_A,0,DOWN,1.0,0.023529414,115354626,435.6875,9.185547
mc_q2_choice_A,66,UP,1.0,0.023529414,115354692,437.26953,1.3925781
mc_q2_choice_D,0,DOWN,1.0,0.027450982,115354818,277.0293,23.611328
mc_q2_choice_D,75,UP,1.0,0.023529414,115354893,284.14844,8.025391
mc_q2_choice_D,0,DOWN,1.0,0.027450982,115355003,270.17383,64.802734
mc_q2_choice_C,0,DOWN,1.0,0.027450982,115356375,297.7871,88.916016
mc_q2_choice_C,275,UP,1.0,0.027450982,115356650,445.1797,253.68164
mc_q2_choice_C,0,DOWN,1.0,0.027450982,115356667,291.45898,39.93164
mc_q2_choice_C,376,UP,1.0,0.027450982,115357043,442.2793,274.27734
mc_q2_choice_C,0,DOWN,1.0,0.027450982,115357052,322.3086,52.177734
mc_q2_choice_C,460,UP,1.0,0.027450982,115357512,440.4336,283.74023
mc_q2_choice_C,0,DOWN,1.0,0.023529414,115358725,299.36914,61.640625
mc_q3_choice_C,0,DOWN,1.0,0.027450982,115366171,209.7207,46.585938
mc_q3_choice_C,0,DOWN,1.0,0.027450982,115366774,440.69727,99.4707
mc_q3_choice_A,0,DOWN,1.0,0.023529414,115366774,223.95898,105.640625
mc_q2_choice_D,0,DOWN,1.0,0.03137255,115367836,295.48633,122.509766
mc_q1_choice_A,0,DOWN,1.0,0.03529412,115368656,276.95703,86.21289
mc_q1_choice_A,58,UP,1.0,0.027450982,115368714,280.38477,81.759766
mc_q1_choice_B,0,DOWN,1.0,0.027450982,115368915,291.79492,106.80859
mc_q1_choice_B,67,UP,1.0,0.027450982,115368982,288.89453,99.015625
mc_q1_choice_D,0,DOWN,1.0,0.027450982,115369175,263.58203,97.29883
mc_q1_choice_D,66,UP,1.0,0.027450982,115369241,257.78125,87.2793
mc_q1_choice_C,0,DOWN,1.0,0.039215688,115369426,286.18555,56.664062
mc_q1_choice_C,66,UP,1.0,0.027450982,115369492,291.98633,46.64453
mc_q1_choice_D,0,DOWN,1.0,0.027450982,115369668,323.69922,68.91016
mc_q1_choice_D,66,UP,1.0,0.023529414,115369734,318.68945,65.01367
mc_q1_choice_D,0,DOWN,1.0,0.03137255,115369919,41.570312,10.462891
mc_q1_choice_D,0,DOWN,1.0,0.03137255,115370705,267.27344,113.58203
mc_q1_choice_D,85,UP,1.0,0.027450982,115370790,251.7168,101.89258
mc_q2_choice_B,0,DOWN,1.0,0.027450982,115370790,4.1289062,18.527344
mc_q2_choice_B,7,UP,1.0,0.027450982,115370797,4.1289062,18.527344
mc_q2_choice_A,0,DOWN,1.0,0.039215688,115371617,275.90234,94.04883
mc_q2_choice_A,67,UP,1.0,0.03529412,115371684,282.49414,82.359375
mc_q2_choice_D,0,DOWN,1.0,0.027450982,115371993,321.32617,87.54883
mc_q2_choice_B,0,DOWN,1.0,0.027450982,115372286,23.113281,88.75391
mc_q2_choice_B,67,UP,1.0,0.027450982,115372353,26.013672,90.98047
mc_q2_choice_C,0,DOWN,1.0,0.03529412,115373039,224.48633,113.86914
mc_q2_choice_C,67,UP,1.0,0.03137255,115373106,228.70508,118.322266
mc_q2_choice_B,0,DOWN,1.0,0.03137255,115373173,68.46484,71.61133
mc_q2_choice_B,75,UP,1.0,0.03137255,115373248,83.49414,77.177734
mc_q2_choice_D,0,DOWN,1.0,0.03137255,115373399,277.8203,29.816406
mc_q2_choice_D,59,UP,1.0,0.03137255,115373458,281.7754,24.80664
mc_q2_choice_B,0,DOWN,1.0,0.027450982,115374353,234.05078,121.85156
mc_q2_choice_B,75,UP,1.0,0.027450982,115374428,219.28516,111.83203
mc_q2_choice_C,0,DOWN,1.0,0.027450982,115374436,382.42578,106.77539
mc_q2_choice_C,59,UP,1.0,0.027450982,115374495,374.25195,109.55859
mc_q1_choice_A,0,DOWN,1.0,0.03137255,115374947,322.3086,62.226562
mc_q1_choice_A,100,UP,1.0,0.027450982,115375047,353.68555,72.24609
mc_q1_choice_D,0,DOWN,1.0,0.027450982,115375147,9.138672,66.07617
mc_q1_choice_B,0,DOWN,1.0,0.027450982,115375189,235.63281,52.76367
mc_q1_choice_D,17,UP,1.0,0.027450982,115375206,13.357422,64.96289
mc_q1_choice_C,0,DOWN,1.0,0.03529412,115375323,451.77148,81.66211
mc_q1_choice_B,17,UP,1.0,0.023529414,115375340,249.60742,66.67969
mc_q1_choice_C,67,UP,1.0,0.027450982,115375390,448.60742,84.44531
mc_q1_choice_B,0,DOWN,1.0,0.03137255,115375482,22.058594,95.06836
mc_q1_choice_C,0,DOWN,1.0,0.027450982,115375525,150.6582,59.953125
mc_q1_choice_B,8,UP,1.0,0.023529414,115375533,16.257812,92.28516
mc_q1_choice_C,0,DOWN,1.0,0.023529414,115375741,301.7422,74.70117
mc_q1_choice_C,51,UP,1.0,0.027450982,115375792,315.7168,79.71094
mc_q1_choice_B,0,DOWN,1.0,0.03137255,115375842,173.14258,6.28125
mc_q1_choice_B,125,UP,1.0,0.03529412,115375967,187.9082,17.414062
mc_q3_choice_A,0,DOWN,1.0,0.03137255,115377105,291.72266,108.4668
mc_q3_choice_A,92,UP,1.0,0.03137255,115377197,288.82227,92.88086
mc_q3_choice_D,0,DOWN,1.0,0.027450982,115377707,84.021484,68.484375
mc_q3_choice_B,0,DOWN,1.0,0.027450982,115377817,273.60156,54.058594
mc_q3_choice_D,25,UP,1.0,0.03137255,115377842,91.4043,53.45508
mc_q3_choice_B,91,UP,1.0,0.027450982,115377908,272.2832,66.86133
mc_q3_choice_C,0,DOWN,1.0,0.027450982,115378034,313.60742,40.095703
mc_q2_choice_D,0,DOWN,1.0,0.03137255,115380343,226.66797,107.66797
mc_q2_choice_D,59,UP,1.0,0.03137255,115380402,226.66797,104.328125
mc_q1_choice_D,0,DOWN,1.0,0.043137256,115381816,322.1172,72.4375
mc_q1_choice_D,59,UP,1.0,0.03137255,115381875,321.0625,72.4375
mc_q2_choice_D,0,DOWN,1.0,0.03137255,115382260,187.38086,20.197266
mc_q3_choice_D,0,DOWN,1.0,0.027450982,115383597,280.98438,85.32617
mc_q3_choice_D,68,UP,1.0,0.027450982,115383665,270.96484,78.646484
mc_q4_choice_C,0,DOWN,1.0,0.03529412,115384745,350.2578,52.10547
mc_q4_choice_C,58,UP,1.0,0.03137255,115384803,348.4121,50.992188
mc_q4_choice_B,0,DOWN,1.0,0.03137255,115384979,268.5918,116.72266
mc_q4_choice_B,67,UP,1.0,0.027450982,115385046,261.73633,113.38281
mc_q4_choice_B,0,DOWN,1.0,0.027450982,115385171,164.96875,99.4668
mc_q4_choice_B,67,UP,1.0,0.03137255,115385238,129.90039,82.21094
mc_q4_choice_A,0,DOWN,1.0,0.019607844,115385372,210.77539,107.259766
mc_q4_choice_A,83,UP,1.0,0.03137255,115385455,221.84961,101.69336
mc_q4_choice_C,0,DOWN,1.0,0.023529414,115385564,314.6621,116.67578
mc_q4_choice_C,75,UP,1.0,0.03137255,115385639,326.0,114.44922
mc_q4_choice_D,0,DOWN,1.0,0.027450982,115385773,260.9453,67.134766
mc_q4_choice_D,67,UP,1.0,0.027450982,115385840,239.32422,61.01172
mc_q4_choice_B,0,DOWN,1.0,0.03137255,115385983,260.68164,81.6543
mc_q4_choice_B,59,UP,1.0,0.027450982,115386042,233.25977,64.95508
