answerId,holdMs,phase,pressure,size,timestamp,x,y
mc_q3_choice_B,0,DOWN,1.0,0.06666667,257354750,316.5,122.25
mc_q4_choice_B,0,DOWN,1.0,0.06666667,257355518,153.3125,121.375
mc_q1_choice_A,0,DOWN,1.0,0.06666667,257358437,53.0,62.3125
mc_q1_choice_A,98,UP,1.0,0.06666667,257358535,53.0,62.3125
mc_q2_choice_D,0,DOWN,1.0,0.06666667,257359087,366.6875,103.5625
mc_q2_choice_D,130,UP,1.0,0.06666667,257359217,366.6875,103.5625
mc_q3_choice_B,0,DOWN,1.0,0.06666667,257359833,203.5625,75.875
mc_q3_choice_A,0,DOWN,1.0,0.06666667,257360721,136.6875,70.1875
mc_q3_choice_A,106,UP,1.0,0.06666667,257360827,136.6875,70.1875
mc_q4_choice_B,0,DOWN,1.0,0.06666667,257361106,265.875,85.0
mc_q4_choice_B,87,UP,1.0,0.06666667,257361193,265.875,85.0
mc_q5_choice_A,0,DOWN,1.0,0.06666667,257362886,118.625,56.875
mc_q5_choice_A,113,UP,1.0,0.06666667,257362999,118.625,56.875
mc_q6_choice_B,0,DOWN,1.0,0.06666667,257363142,308.5625,83.5625
mc_q6_choice_B,97,UP,1.0,0.06666667,257363239,308.5625,83.5625
mc_q7_choice_A,0,DOWN,1.0,0.06666667,257364554,147.5625,84.5625
mc_q7_choice_A,91,UP,1.0,0.06666667,257364645,147.5625,84.5625
mc_q8_choice_B,0,DOWN,1.0,0.06666667,257364788,307.6875,82.8125
mc_q8_choice_B,81,UP,1.0,0.06666667,257364869,307.6875,82.8125
mc_q9_choice_A,0,DOWN,1.0,0.06666667,257366026,228.375,70.75
mc_q9_choice_A,97,UP,1.0,0.06666667,257366123,228.375,70.75
mc_q10_choice_B,0,DOWN,1.0,0.06666667,257366342,221.4375,82.875
mc_q10_choice_B,54,UP,1.0,0.06666667,257366396,221.4375,82.875
mc_q10_choice_B,0,DOWN,1.0,0.06666667,257366614,215.125,114.1875
mc_q11_choice_A,0,DOWN,1.0,0.06666667,257367388,160.75,48.4375
mc_q11_choice_A,71,UP,1.0,0.06666667,257367459,160.75,48.4375
mc_q12_choice_B,0,DOWN,1.0,0.06666667,257367573,248.0,71.9375
mc_q12_choice_B,66,UP,1.0,0.06666667,257367639,248.0,71.9375
mc_q12_choice_D,0,DOWN,1.0,0.06666667,257367906,208.625,112.5
mc_q13_choice_B,0,DOWN,1.0,0.06666667,257368872,272.6875,114.9375
mc_q13_choice_B,97,UP,1.0,0.06666667,257368969,272.6875,114.9375
mc_q14_choice_A,0,DOWN,1.0,0.06666667,257370246,201.8125,78.5
mc_q14_choice_A,93,UP,1.0,0.06666667,257370339,201.8125,78.5
