timestamp_ns,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,activity
740478389827714,0.13160525,5.8672013,7.4344997,0.06276636,1.0517564,0.16661337,-28.7625,2.7,-29.325,walking
740478409827714,-0.0526421,6.151947,6.8721867,-0.19288056,0.98517215,0.03252855,-0.35625002,7.4625,-40.95,walking
740478429827714,-0.8207382,6.1028943,6.984649,-0.3349066,0.4592176,0.067958705,-1.25625,5.8500004,-40.237503,walking
740478449827714,-1.1964114,6.0957155,7.5900335,-0.26068655,0.05146536,0.12538,-2.04375,5.3625,-40.55625,walking
740478469827714,-0.9619147,6.2285175,8.331808,-0.08536835,0.0013744457,0.08811724,-2.775,5.25,-40.237503,walking
740478489827714,-0.66400826,6.38764,8.292327,0.08170316,0.035582874,0.039858926,0.1875,6.675,-40.537502,walking
740478509827714,-0.76331043,6.2440705,7.941778,0.19104797,0.090560704,0.066431545,-0.22500001,6.0,-41.006252,walking
740478529827714,-0.8470592,6.070591,7.605587,0.22800528,0.1782198,0.108581215,-5.86875,3.05625,-40.59375,walking
740478549827714,-0.82911307,6.078966,7.4416785,0.16111559,0.18280129,0.13362667,-12.900001,5.025,-38.287502,walking
740478569827714,-0.8554341,6.1124654,7.135397,0.013286309,0.047189303,0.15256348,-17.775002,5.0437503,-34.875,walking
740478589827714,-0.81595254,6.0777693,7.0899334,-0.108886644,-0.041996952,0.14095704,-14.306251,4.8,-34.78125,walking
740478609827714,-0.54675996,6.056234,7.4787674,-0.102472566,0.011759147,0.06826414,-15.356251,3.2812502,-37.85625,walking
740478629827714,-0.36729828,6.0215383,7.7946196,-0.015729768,0.083230324,-0.037415467,-15.225,4.93125,-36.131252,walking
740478649827714,-0.6364908,5.9342003,7.954939,0.0697913,0.117438756,-0.06185006,-4.5,5.3625,-38.081253,walking
740478669827714,-0.8530413,5.983253,7.780263,0.08659008,0.01970039,0.025198173,-4.70625,4.4625,-37.050003,walking
740478689827714,-0.9128618,6.13759,7.472785,-0.0065667965,-0.013286309,0.09758565,-6.1312504,5.11875,-37.0125,walking
740478709827714,-0.715454,6.290731,7.460821,-0.073761925,0.020311253,0.100945406,-4.55625,5.25,-42.1875,walking
