answerId,holdMs,phase,pressure,size,timestamp,x,y
mc_q1_choice_A,0,DOWN,1.0,0.04117647,301257870,358.95898,25.983398
mc_q1_choice_A,65,UP,1.0,0.013725491,301257935,357.11328,21.984375
mc_q1_choice_B,0,DOWN,1.0,0.03529412,301258219,311.04297,64.831055
mc_q1_choice_B,49,UP,1.0,0.01764706,301258268,312.36133,65.40234
mc_q1_choice_C,0,DOWN,1.0,0.03529412,301258444,110.31641,5.2382812
mc_q1_choice_C,83,UP,1.0,0.03137255,301258527,108.4707,8.666016
mc_q1_choice_D,0,DOWN,1.0,0.04117647,301258569,326.86328,62.367188
mc_q1_choice_D,75,UP,1.0,0.0058823535,301258644,326.86328,63.509766
mc_q1_choice_A,0,DOWN,1.0,0.04117647,301258786,126.66406,57.975586
mc_q1_choice_A,75,UP,1.0,0.01764706,301258861,124.55469,61.40332
mc_q1_choice_B,0,DOWN,1.0,0.037254903,301258945,370.89648,53.976562
mc_q1_choice_B,58,UP,1.0,0.025490198,301259003,373.5332,48.83496
mc_q1_choice_A,0,DOWN,1.0,0.03137255,301259153,101.615234,120.24609
mc_q1_choice_A,75,UP,1.0,0.013725491,301259228,101.08789,128.81543
mc_q1_choice_D,0,DOWN,1.0,0.04117647,301259279,296.27734,84.07617
mc_q1_choice_D,66,UP,1.0,0.013725491,301259345,297.5957,79.50586
mc_q1_choice_C,0,DOWN,1.0,0.023529414,301259437,117.96289,72.0791
mc_q1_choice_C,91,UP,1.0,0.0058823535,301259528,120.59961,77.2207
mc_q1_choice_B,0,DOWN,1.0,0.04117647,301259587,362.98633,93.39551
mc_q1_choice_B,58,UP,1.0,0.013725491,301259645,363.25,92.25293
mc_q1_choice_A,0,DOWN,1.0,0.04117647,301259738,62.328125,78.54199
mc_q1_choice_A,74,UP,1.0,0.025490198,301259812,65.75586,78.54199
mc_q1_choice_D,0,DOWN,1.0,0.03529412,301259921,336.35547,7.5234375
mc_q1_choice_D,75,UP,1.0,0.01764706,301259996,333.71875,8.666016
mc_q1_choice_C,0,DOWN,1.0,0.025490198,301260230,190.20898,76.649414
mc_q1_choice_C,75,UP,1.0,0.023529414,301260305,189.1543,79.50586
mc_q1_choice_B,0,DOWN,1.0,0.04509804,301260422,354.54883,92.25293
mc_q1_choice_B,41,UP,1.0,0.01764706,301260463,352.70312,95.109375
mc_q1_choice_D,0,DOWN,1.0,0.04705883,301283242,321.85352,113.211914
mc_q1_choice_D,65,UP,1.0,0.0058823535,301283307,332.13672,93.788086
mc_q1_choice_C,0,DOWN,1.0,0.037254903,301283399,97.13281,84.64746
mc_q1_choice_C,66,UP,1.0,0.015686275,301283465,92.91406,82.93359
mc_q1_choice_B,0,DOWN,1.0,0.050980397,301283608,351.38477,47.121094
mc_q1_choice_B,49,UP,1.0,0.01764706,301283657,345.3203,49.97754
mc_q1_choice_A,0,DOWN,1.0,0.037254903,301283675,70.50195,95.680664
