timestamp_ns,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,activity
31476296255694,1.215,3.076,8.984,0.001205,-0.00209,0.03186,3.8399963,-17.579987,-11.399994,sitting
31476316275239,1.302,3.123,9.032,0.001205,-0.00209,0.03186,-16.559998,-20.939987,-4.919998,sitting
31476336279537,1.445,3.2,9.195,0.001205,-0.00209,0.03186,-36.36,-24.0,2.1599884,sitting
31476356278763,1.522,3.248,9.348,0.001205,-0.00209,0.03186,-55.92,-27.0,9.179993,sitting
31476376283047,1.522,3.258,9.291,0.001205,-0.00209,0.03186,-55.319992,-27.059998,9.299988,sitting
31476396279685,1.522,3.238,8.994,0.001205,-0.00209,0.03186,-55.01999,-27.299988,9.23999,sitting
31476416283926,1.57,3.238,8.975,0.001205,-0.00209,0.03186,-55.01999,-27.539993,9.059998,sitting
31476436288207,1.599,3.181,9.185,0.001205,-0.00209,0.03186,-55.37999,-27.779999,8.819992,sitting
31476456284839,1.627,3.191,9.138,0.001205,-0.00209,0.03186,-55.73999,-27.419998,8.939987,sitting
31476476289126,1.666,3.267,9.166,0.001205,-0.00209,0.03186,-55.679993,-27.539993,9.419998,sitting
31476496285779,1.704,3.229,9.128,0.001205,-0.00209,0.03186,-55.619995,-27.479996,9.0,sitting
31476516282371,1.704,3.21,9.023,0.001205,-0.00209,0.03186,-55.799988,-27.719986,9.0,sitting
31476536286628,1.618,3.238,9.176,0.001205,-0.00209,0.03186,-56.039993,-28.079987,8.579987,sitting
31476556283270,1.512,3.21,9.233,0.001205,-0.00209,0.03186,-56.45999,-27.659988,8.7599945,sitting
31476576279898,1.369,3.076,9.023,0.001205,-0.00209,0.03186,-56.579987,-27.299988,9.0,sitting
31476596284187,1.292,2.942,8.687,0.001205,-0.00209,0.03186,-56.28,-27.119995,9.299988,sitting
31476616280835,1.369,3.009,8.869,0.001205,-0.00209,0.03186,-56.28,-27.059998,9.419998,sitting
31476636277494,1.388,3.104,9.559,0.001205,-0.00209,0.03186,-55.979996,-27.419998,9.059998,sitting
31476656281729,1.273,3.267,9.827,0.001205,-0.00209,0.03186,-56.039993,-27.479996,9.23999,sitting
31476676278382,1.263,3.468,9.636,0.001205,-0.00209,0.03186,-56.579987,-27.539993,8.519989,sitting
31476696282651,1.503,3.334,9.128,0.001205,-0.00209,0.03186,-56.759995,-27.359985,8.219986,sitting
31476716286920,1.752,3.104,8.534,0.001205,-0.00209,0.03186,-57.059998,-26.87999,7.8599854,sitting
31476736283593,1.828,3.162,8.572,0.001205,-0.00209,0.03186,-57.59999,-27.23999,7.5599976,sitting
31476756287862,1.819,3.238,9.07,0.001205,-0.00209,0.03186,-57.119995,-26.87999,8.039993,sitting
31476776284520,1.771,3.229,9.262,0.001205,-0.00209,0.03186,-56.939987,-26.819992,8.339996,sitting
31476796282611,1.675,3.229,9.128,0.001205,-0.00209,0.03186,-57.0,-26.87999,8.519989,sitting
31476816265452,1.599,3.191,9.042,0.001205,-0.00209,0.03186,-56.87999,-26.579987,8.459991,sitting
31476836172038,1.493,3.296,9.463,0.001205,-0.00209,0.03186,-56.939987,-26.399994,8.039993,sitting
31476856043985,1.235,3.602,10.44,0.001205,-0.00209,0.03186,-57.23999,-26.339996,7.73999,sitting
31476875915369,0.966,3.861,11.005,0.001205,-0.00209,0.03186,-56.87999,-26.219986,7.73999,sitting
31476895825633,0.861,3.87,10.651,0.001205,-0.00209,0.03186,-56.699997,-26.759995,7.3799896,sitting
31476915781628,0.976,3.478,9.741,0.001205,-0.00209,0.03186,-57.119995,-27.119995,7.619995,sitting
31476935910617,1.311,2.836,8.659,0.001205,-0.00209,0.03186,-36.479996,-43.799988,7.319992,sitting
31476956038665,1.656,2.386,7.988,0.001205,-0.00209,0.03186,-36.719986,-44.09999,7.0799866,sitting
31476976150750,1.819,2.319,8.161,0.001205,-0.00209,0.03186,-36.839996,-43.679993,7.6799927,sitting
31476996285711,1.819,2.625,8.821,0.001205,-0.00209,0.03186,-36.539993,-43.799988,7.5599976,sitting
31477016282356,1.752,3.229,9.664,0.001205,-0.00209,0.03186,-36.59999,-43.37999,7.3799896,sitting
31477036286615,1.704,3.727,10.373,0.001205,-0.00209,0.03186,-36.179993,-43.319992,7.73999,sitting
