timestamp_ns,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,activity
2027243335020907,-0.6556334,0.79501534,9.849456,-0.15619428,0.4119907,0.07989477,-45.0125,-1.825,-42.5,sitting
2027243355020907,-0.65084773,0.6939186,9.299107,-0.08269109,0.21718062,0.08948214,-44.8125,-1.5625,-42.7125,sitting
2027243375020907,-0.41156548,0.6412765,9.337392,-0.051798444,0.07976162,0.14913692,-44.600002,-1.4375,-42.575,sitting
2027243395020907,-0.6843473,0.66041905,10.342976,-0.07097319,0.20972379,0.14381059,-44.45,-1.375,-42.525,sitting
2027243415020907,-0.7609176,0.8141579,10.00798,-0.027297381,0.26618275,0.11824426,-44.3375,-1.2125,-42.5625,sitting
2027243435020907,-0.57906306,0.6125626,9.629316,-0.01238369,0.31625015,0.10972215,-44.25,-1.1125001,-42.8125,sitting
2027243455020907,-0.7609176,0.5838487,10.156336,-0.11784479,0.3876228,0.053263184,-44.125,-1.075,-42.9375,sitting
2027243475020907,-1.0336994,0.6269195,9.725029,-0.18921745,0.17030902,0.04367581,-44.0125,-1.025,-43.0875,sitting
2027243495020907,-0.7322037,0.4977071,9.423533,-0.20519641,0.032890014,0.092677936,-43.75,-0.83750004,-43.287502,sitting
2027243515020907,-0.9906286,0.7088737,9.998409,-0.1881522,0.1916143,0.10226531,-43.525,-0.6625,-43.4375,sitting
2027243535020907,-0.9810573,0.6125626,9.792028,-0.07736477,0.21931115,0.09906952,-43.350002,-0.4875,-43.662502,sitting
2027243555020907,-0.8853444,0.4977071,9.528818,0.032357384,0.064847924,0.10865689,-43.15,-0.26250002,-43.850002,sitting
2027243575020907,-1.0145568,0.4977071,10.055838,0.030226856,-0.043808967,0.10013478,-42.9375,-0.125,-44.0125,sitting
2027243595020907,-1.2496517,0.4833502,9.959526,-0.04221107,-0.1396827,0.07563372,-42.75,0.0125,-44.100002,sitting
2027243615020907,-1.2879368,0.4546363,9.528818,-0.10932268,-0.15872428,0.027696855,-42.6375,0.16250001,-44.1875,sitting
2027243635020907,-1.244866,0.5024927,9.3613205,-0.124236375,-0.14700638,0.0042610546,-42.575,0.35,-44.2375,sitting
2027243655020907,-0.9954142,0.526421,9.485747,-0.09547425,-0.1130511,-0.0074568456,-42.5625,0.5125,-44.25,sitting
2027243675020907,-1.0145568,0.55034924,9.672387,-0.057124764,-0.07896267,0.0010652636,-42.537502,0.625,-44.25,sitting
2027243695020907,-0.82313097,0.44506502,9.873384,-0.051798444,-0.021438431,0.0234358,-42.5625,0.75,-44.287502,sitting
2027243715020907,-0.8853444,0.37806597,9.940384,-0.03581949,0.02543317,0.03834949,-42.675,0.8625,-44.225002,sitting
2027243735020907,-0.8805587,0.42592242,9.792028,0.018508956,-0.0011984216,0.028762119,-42.7625,0.975,-44.2375,sitting
2027243755020907,-0.8279166,0.41156548,9.930812,0.030226856,-0.022503695,0.018109482,-42.8625,1.1,-44.2125,sitting
2027243775020907,-0.8422736,0.43070808,10.156336,-0.018775271,0.026498433,0.026631592,-42.9,1.2625,-44.2,sitting
2027243795020907,-0.89013004,0.39720857,9.815957,-0.043276336,0.05526055,0.04367581,-42.95,1.3375,-44.175,sitting
2027243815020907,-0.94755775,0.37328035,9.562318,-0.016644744,0.05419529,0.051132657,-42.9875,1.3875,-44.225002,sitting
2027243835020907,-1.0193424,0.38763726,9.634102,0.0067910557,0.065913185,0.041545283,-43.0125,1.4625,-44.25,sitting
2027243855020907,-1.0241281,0.41156548,9.787243,0.005725792,0.03715107,0.021305272,-43.0125,1.4625,-44.287502,sitting
2027243875020907,-0.98584294,0.3924229,9.739387,-0.027297381,-0.003328949,0.005326318,-42.9625,1.4625,-44.325,sitting
2027243895020907,-0.91405827,0.4354937,9.701101,-0.07203846,-0.0075900033,0.006391582,-42.9875,1.4625,-44.3,sitting
2027243915020907,-0.9236295,0.47377887,9.591031,-0.08695214,0.0030626329,0.0117179,-42.9375,1.45,-44.2375,sitting
2027243935020907,-0.9379865,0.4642076,9.595817,-0.08375636,0.024367906,0.012783164,-42.9625,1.4625,-44.3125,sitting
2027243955020907,-0.94755775,0.45942193,9.686745,-0.079495296,0.020106852,0.013848428,-42.9375,1.5375,-44.3,sitting
2027243975020907,-0.91405827,0.39720857,9.619745,-0.07310372,0.0041278964,0.021305272,-42.9375,1.575,-44.3125,sitting
2027243995020907,-0.9619147,0.33020952,9.672387,-0.07203846,0.039281595,0.028762119,-42.9375,1.65,-44.3875,sitting
2027244015020907,-1.0480564,0.30149564,9.787243,-0.05286371,0.057391077,0.029827382,-42.9375,1.8000001,-44.3375,sitting
2027244035020907,-1.0432707,0.32542387,9.748958,-0.005992108,0.013715269,0.0074568456,-42.925,1.875,-44.375,sitting
2027244055020907,-1.0049855,0.2727818,9.916455,0.01957422,-0.0043942127,-0.0021305273,-42.875,1.9125,-44.4625,sitting
2027244075020907,-0.9523434,0.30149564,10.065409,0.005725792,0.011584742,-0.006391582,-42.875,2.0,-44.5125,sitting
2027244095020907,-1.038485,0.31585258,9.902099,-0.027297381,0.009454215,-0.006391582,-42.8625,2.075,-44.45,sitting
2027244115020907,-0.9810573,0.32542387,9.648459,-0.057124764,-0.0022636852,-0.0010652636,-42.875,2.1000001,-44.600002,sitting
2027244135020907,-1.0001999,0.31106696,9.519247,-0.07629951,-0.019307904,0.0074568456,-42.825,2.175,-44.675,sitting
2027244155020907,-1.0480564,0.29671,9.543175,-0.07203846,0.013715269,0.018109482,-42.825,2.1875,-44.725002,sitting
2027244175020907,-1.0863415,0.29192436,9.662816,-0.037950017,0.013715269,0.013848428,-42.8125,2.2,-44.75,sitting
2027244195020907,-1.0289137,0.29671,9.772886,-0.031558435,-0.003328949,0.0010652636,-42.7625,2.25,-44.7625,sitting
2027244215020907,-0.98584294,0.25842485,9.949955,-0.028362645,0.0041278964,-0.003195791,-42.787502,2.325,-44.787502,sitting
2027244235020907,-0.9236295,0.28235307,9.763314,0.0046605286,-0.0043942127,0.0,-42.775,2.375,-44.7625,sitting
2027244255020907,-0.971486,0.27756742,9.949955,0.0067910557,0.0041278964,-0.012783164,-42.775,2.4,-44.8375,sitting
2027244275020907,-1.0336994,0.32063824,9.954741,-0.013448954,-0.012916322,-0.019174745,-42.725002,2.3875,-44.575,sitting
2027244295020907,-0.94277215,0.2536392,9.69153,-0.025166854,-0.043808967,-0.010652636,-42.7625,2.4,-44.5625,sitting
2027244315020907,-1.038485,0.23928227,9.705887,-0.016644744,-0.03528686,-0.010652636,-42.725002,2.4375,-44.5,sitting
2027244335020907,-1.1150553,0.24885355,9.758529,-0.002796317,-0.019307904,-0.010652636,-42.7625,2.5,-44.5875,sitting
2027244355020907,-1.0432707,0.21535404,9.787243,-0.0038615807,-0.025699485,-0.008522109,-42.825,2.4750001,-44.5,sitting
2027244375020907,-1.0480564,0.2105684,9.758529,-0.01238369,-0.03315633,-0.015978955,-42.787502,2.525,-44.4,sitting
2027244395020907,-0.9810573,0.21535404,9.744172,-0.0070573715,-0.020373167,-0.024501063,-42.8625,2.55,-44.4,sitting
2027244415020907,-0.91884387,0.2440679,9.734601,0.00785632,-0.017177377,-0.020240009,-42.912502,2.55,-44.3625,sitting
2027244435020907,-0.8327023,0.2632105,9.84467,0.013182637,0.0041278964,-0.012783164,-42.9875,2.6000001,-44.537502,sitting
2027244455020907,-0.89491564,0.30149564,9.902099,0.021704746,0.02862896,0.0,-43.0125,2.6375,-44.4625,sitting
2027244475020907,-0.9523434,0.2536392,9.8015995,0.017443692,0.036085807,0.021305272,-43.0625,2.6125,-44.3875,sitting
2027244495020907,-1.0767702,0.27756742,9.796814,-0.002796317,0.02862896,0.025566328,-43.037502,2.5875,-44.275,sitting
2027244515020907,-1.1150553,0.27756742,9.6580305,-0.017710008,-0.003328949,0.012783164,-43.075,2.5875,-44.3625,sitting
2027244535020907,-1.0863415,0.26799613,9.58146,-0.023036325,-0.032091066,0.0,-43.0875,2.5625,-44.425,sitting
2027244555020907,-1.0049855,0.29192436,9.605389,-0.026232118,-0.04700476,-0.009587373,-43.025,2.525,-44.4625,sitting
2027244575020907,-0.94755775,0.28235307,9.710672,-0.030493172,-0.044874232,-0.014913691,-43.0125,2.575,-44.3875,sitting
2027244595020907,-0.9092726,0.2632105,9.744172,-0.04114581,-0.024634222,-0.014913691,-43.0,2.575,-44.325,sitting
2027244615020907,-0.9092726,0.26799613,9.720243,-0.05392897,-0.003328949,-0.006391582,-42.9875,2.5625,-44.2625,sitting
2027244635020907,-0.89013004,0.23928227,9.715458,-0.054994237,0.0051931604,0.005326318,-43.0,2.5875,-44.2625,sitting
2027244655020907,-0.9236295,0.22492532,9.69153,-0.044341598,-0.003328949,0.017044218,-43.05,2.6125,-44.287502,sitting
2027244675020907,-0.9619147,0.23449662,9.796814,-0.025166854,-0.03315633,0.0074568456,-43.037502,2.6625001,-44.287502,sitting
2027244695020907,-1.0336994,0.18664017,9.839885,-0.016644744,-0.045939494,0.0,-43.075,2.6625001,-44.2625,sitting
2027244715020907,-0.9667004,0.22013968,9.87817,-0.013448954,-0.028895276,-0.0010652636,-43.162502,2.7,-44.2375,sitting
2027244735020907,-0.9954142,0.19621146,9.8015995,-0.025166854,-0.03528686,0.003195791,-43.1875,2.7375,-44.25,sitting
2027244755020907,-0.94277215,0.2105684,9.748958,-0.033688962,-0.03635212,0.0021305273,-43.225002,2.775,-44.275,sitting
2027244775020907,-0.94755775,0.22013968,9.705887,-0.023036325,-0.032091066,-0.0010652636,-43.2625,2.8125,-44.3,sitting
2027244795020907,-0.8853444,0.20578274,9.7298155,-0.0017310535,-0.019307904,0.0,-43.287502,2.8500001,-44.2625,sitting
2027244815020907,-0.8853444,0.20578274,9.835099,0.005725792,-1.3315796E-4,0.0074568456,-43.3125,2.875,-44.1875,sitting
2027244835020907,-0.8805587,0.21535404,9.863813,-6.6578976E-4,0.0041278964,0.014913691,-43.375,2.875,-44.15,sitting
2027244855020907,-0.91405827,0.20578274,9.763314,-0.01238369,0.0019973693,0.019174745,-43.4,2.925,-44.05,sitting
2027244875020907,-0.90448695,0.2105684,9.725029,-0.03581949,-0.00972053,0.0074568456,-43.425,2.9625,-43.9875,sitting
2027244895020907,-0.9284152,0.19621146,9.701101,-0.029427908,-0.032091066,-0.010652636,-43.412502,2.9625,-44.037502,sitting
2027244915020907,-0.89013004,0.18664017,9.643674,-0.0017310535,-0.039547913,-0.006391582,-43.425,3.0,-43.9,sitting
2027244935020907,-0.89013004,0.17228323,9.835099,0.008921583,-0.022503695,0.003195791,-43.4875,3.025,-43.925,sitting
2027244955020907,-0.9523434,0.20578274,9.873384,0.0046605286,0.0041278964,0.009587373,-43.5125,3.0625,-43.95,sitting
2027244975020907,-0.8997013,0.22013968,9.830314,0.013182637,0.027563697,0.0117179,-43.5125,3.075,-43.9375,sitting
2027244995020907,-0.8805587,0.2105684,9.748958,0.021704746,0.0019973693,0.006391582,-43.525,3.1375,-43.9625,sitting
2027245015020907,-0.8709874,0.18664017,9.806385,0.005725792,-0.01824264,0.0010652636,-43.5625,3.1625001,-43.9875,sitting
2027245035020907,-0.9379865,0.15314065,9.815957,-0.010253162,-0.020373167,-0.003195791,-43.537502,3.15,-44.037502,sitting
2027245055020907,-0.9284152,0.148355,9.701101,-0.013448954,-0.0011984216,-0.0010652636,-43.55,3.15,-44.0,sitting
2027245075020907,-0.8853444,0.17706887,9.69153,0.0014647375,0.008388951,-0.0010652636,-43.55,3.1375,-44.0625,sitting
2027245095020907,-0.8805587,0.22013968,9.715458,0.015313165,-0.0054594763,0.0010652636,-43.475002,3.15,-43.975002,sitting
2027245115020907,-0.86141616,0.21535404,9.849456,0.01105211,-0.0022636852,0.0,-43.45,3.1125,-43.9375,sitting
2027245135020907,-0.89491564,0.23449662,9.839885,-0.002796317,9.321057E-4,0.0,-43.4375,3.1000001,-43.9,sitting
2027245155020907,-0.85184485,0.22013968,9.725029,-0.0070573715,-1.3315796E-4,0.0010652636,-43.412502,3.0375001,-43.825,sitting
2027245175020907,-0.9092726,0.18185452,9.705887,0.0014647375,9.321057E-4,-0.0010652636,-43.4,3.025,-43.8625,sitting
2027245195020907,-0.91405827,0.17706887,9.772886,3.9947388E-4,0.0019973693,-0.0021305273,-43.45,3.025,-43.8375,sitting
2027245215020907,-0.8997013,0.19621146,9.8015995,-0.013448954,0.0041278964,0.0010652636,-43.4875,3.0375001,-43.787502,sitting
2027245235020907,-0.9092726,0.2009971,9.758529,-0.029427908,0.0051931604,0.0042610546,-43.525,3.0375001,-43.775,sitting
2027245255020907,-0.89013004,0.21535404,9.672387,-0.033688962,0.0073236874,0.005326318,-43.537502,3.0125,-43.825,sitting
2027245275020907,-0.8997013,0.21535404,9.672387,-0.025166854,0.006258424,0.0074568456,-43.537502,3.0125,-43.8375,sitting
2027245295020907,-0.8662018,0.22492532,9.725029,-0.027297381,0.006258424,0.009587373,-43.55,3.025,-43.875,sitting
2027245315020907,-0.86141616,0.18664017,9.8015995,-0.057124764,-1.3315796E-4,0.014913691,-43.525,3.075,-43.9375,sitting
