phase,pointerId,pressure,size,timestamp,x,y
MOVE,0,1.0,0.0,798136041,255.61401,777.51013
MOVE,0,1.0,0.0,798136057,232.40181,662.7208
MOVE,0,1.0,0.0,798136074,204.53381,566.4542
MOVE,0,1.0,0.0,798136087,178.2835,503.36707
UP,0,1.0,0.0,798136091,178.2835,503.36707
DOWN,0,1.0,0.0,798136355,609.7435,904.0504
MOVE,0,1.0,0.0,798136391,608.99243,942.52075
MOVE,0,1.0,0.0,798136408,608.37634,1082.4906
MOVE,0,1.0,0.0,798136425,617.86646,1236.161
MOVE,0,1.0,0.0,798136442,638.0413,1375.7448
MOVE,0,1.0,0.0,798136458,668.63574,1491.4923
MOVE,0,1.0,0.0,798136475,704.75037,1591.7878
MOVE,0,1.0,0.0,798136492,747.9307,1667.7186
UP,0,1.0,0.0,798136496,747.9307,1667.7186
DOWN,0,1.0,0.0,798136672,617.4428,1284.9346
MOVE,0,1.0,0.0,798136680,617.1161,1280.2511
MOVE,0,1.0,0.0,798136692,609.308,1112.0292
MOVE,0,1.0,0.0,798136709,654.2176,812.26294
MOVE,0,1.0,0.0,798136721,733.1321,611.9625
UP,0,1.0,0.0,798136725,733.1321,611.9625
DOWN,0,1.0,0.0,798136964,677.2373,1027.3452
MOVE,0,1.0,0.0,798136993,665.0852,1093.501
MOVE,0,1.0,0.0,798137010,653.7553,1241.777
MOVE,0,1.0,0.0,798137026,673.1391,1425.3868
MOVE,0,1.0,0.0,798137043,708.51917,1583.3539
MOVE,0,1.0,0.0,798137060,733.0101,1667.9341
MOVE,0,1.0,0.0,798137076,754.7301,1721.1163
UP,0,1.0,0.0,798137080,754.7301,1721.1163
DOWN,0,1.0,0.0,798137239,636.2411,1293.2341
MOVE,0,1.0,0.0,798137255,637.33563,1158.2968
MOVE,0,1.0,0.0,798137260,647.5363,1060.3795
MOVE,0,1.0,0.0,798137276,748.3307,739.3572
UP,0,1.0,0.0,798137280,748.3307,739.3572
DOWN,0,1.0,0.0,798137564,748.73065,805.15454
MOVE,0,1.0,0.0,798137594,747.4869,810.14575
MOVE,0,1.0,0.0,798137611,734.7506,887.2999
MOVE,0,1.0,0.0,798137628,722.6514,1001.28735
MOVE,0,1.0,0.0,798137643,717.43353,1195.6382
UP,0,1.0,0.0,798137647,717.43353,1195.6382
DOWN,0,1.0,0.0,798137987,743.5311,1630.1201
MOVE,0,1.0,0.0,798137998,742.6312,1628.9202
MOVE,0,1.0,0.0,798138012,721.34863,1471.9525
MOVE,0,1.0,0.0,798138029,720.6823,1236.551
MOVE,0,1.0,0.0,798138045,778.1101,911.8126
MOVE,0,1.0,0.0,798138062,953.1873,552.72577
MOVE,0,1.0,0.0,798138064,1003.30707,480.568
UP,0,1.0,0.0,798138068,1003.30707,480.568
DOWN,0,1.0,0.0,798138299,883.8182,709.5585
MOVE,0,1.0,0.0,798138317,872.5529,742.47266
MOVE,0,1.0,0.0,798138329,823.71375,880.9889
MOVE,0,1.0,0.0,798138344,779.12787,1076.0432
UP,0,1.0,0.0,798138348,779.12787,1076.0432
DOWN,0,1.0,0.0,798138670,653.93945,1355.6316
MOVE,0,1.0,0.0,798138679,654.185,1352.6442
MOVE,0,1.0,0.0,798138697,672.31305,1169.015
MOVE,0,1.0,0.0,798138714,730.519,953.2041
MOVE,0,1.0,0.0,798138730,816.04535,767.5315
MOVE,0,1.0,0.0,798138740,866.0198,687.5594
UP,0,1.0,0.0,798138744,866.0198,687.5594
DOWN,0,1.0,0.0,798138967,840.72217,741.7571
MOVE,0,1.0,0.0,798138987,794.5617,845.3551
MOVE,0,1.0,0.0,798138998,753.31177,969.8611
MOVE,0,1.0,0.0,798139011,712.834,1168.4393
UP,0,1.0,0.0,798139015,712.834,1168.4393
DOWN,0,1.0,0.0,798139321,658.639,1426.8286
MOVE,0,1.0,0.0,798139332,657.86487,1418.7268
MOVE,0,1.0,0.0,798139349,657.70905,1270.3214
MOVE,0,1.0,0.0,798139365,686.98676,1079.7949
MOVE,0,1.0,0.0,798139382,761.5858,875.25305
MOVE,0,1.0,0.0,798139390,808.4251,787.25525
UP,0,1.0,0.0,798139395,808.4251,787.25525
DOWN,0,1.0,0.0,798139608,819.72406,744.157
MOVE,0,1.0,0.0,798139633,807.9819,771.31055
MOVE,0,1.0,0.0,798139649,748.9486,940.3126
MOVE,0,1.0,0.0,798139666,704.13477,1195.6382
UP,0,1.0,0.0,798139670,704.13477,1195.6382
DOWN,0,1.0,0.0,798139921,655.13934,1460.0272
MOVE,0,1.0,0.0,798139930,655.13934,1456.7389
MOVE,0,1.0,0.0,798139933,655.13934,1445.9315
MOVE,0,1.0,0.0,798139950,659.5139,1259.4836
MOVE,0,1.0,0.0,798139967,713.2718,1016.98376
MOVE,0,1.0,0.0,798139987,841.2221,743.2571
UP,0,1.0,0.0,798139991,841.2221,743.2571
DOWN,0,1.0,0.0,798140297,668.33813,1385.7303
MOVE,0,1.0,0.0,798140318,669.4737,1363.5956
MOVE,0,1.0,0.0,798140334,687.57825,1176.6096
MOVE,0,1.0,0.0,798140351,743.9354,964.86646
MOVE,0,1.0,0.0,798140362,803.92554,827.9535
UP,0,1.0,0.0,798140366,803.92554,827.9535
DOWN,0,1.0,0.0,798141165,838.22235,771.1559
MOVE,0,1.0,0.0,798141186,829.75934,795.9071
MOVE,0,1.0,0.0,798141203,768.43207,966.08276
MOVE,0,1.0,0.0,798141220,735.38513,1201.4777
MOVE,0,1.0,0.0,798141222,733.43207,1239.5364
UP,0,1.0,0.0,798141226,733.43207,1239.5364
DOWN,0,1.0,0.0,798141574,680.437,1501.2255
MOVE,0,1.0,0.0,798141593,676.3381,1440.5663
MOVE,0,1.0,0.0,798141604,674.9405,1285.8958
MOVE,0,1.0,0.0,798141621,731.7311,992.1836
MOVE,0,1.0,0.0,798141635,842.82196,753.1566
UP,0,1.0,0.0,798141638,842.82196,753.1566
DOWN,0,1.0,0.0,798141957,721.0332,1485.4261
MOVE,0,1.0,0.0,798141988,720.67,1474.571
MOVE,0,1.0,0.0,798142005,720.1256,1337.9464
MOVE,0,1.0,0.0,798142022,741.88306,1119.1156
MOVE,0,1.0,0.0,798142031,778.32794,981.34717
UP,0,1.0,0.0,798142035,778.32794,981.34717
DOWN,0,1.0,0.0,798142324,719.93335,1346.032
MOVE,0,1.0,0.0,798142344,719.93335,1343.6321
MOVE,0,1.0,0.0,798142356,722.8973,1258.052
MOVE,0,1.0,0.0,798142372,763.65045,1011.7196
MOVE,0,1.0,0.0,798142381,809.72504,884.4512
UP,0,1.0,0.0,798142385,809.72504,884.4512
DOWN,0,1.0,0.0,798142569,814.3246,841.053
MOVE,0,1.0,0.0,798142590,814.16693,841.7173
MOVE,0,1.0,0.0,798142606,785.38293,943.73804
MOVE,0,1.0,0.0,798142623,759.1225,1181.8998
MOVE,0,1.0,0.0,798142631,762.7294,1323.533
UP,0,1.0,0.0,798142635,762.7294,1323.533
DOWN,0,1.0,0.0,798142895,252.17665,639.2614
MOVE,0,1.0,0.0,798142907,252.55334,640.47107
MOVE,0,1.0,0.0,798142924,257.3606,750.2709
MOVE,0,1.0,0.0,798142940,236.87822,871.4188
MOVE,0,1.0,0.0,798142953,220.97954,941.44885
UP,0,1.0,0.0,798142956,220.97954,941.44885
DOWN,0,1.0,0.0,798143316,208.78067,1163.8396
MOVE,0,1.0,0.0,798143341,212.68336,1111.3922
MOVE,0,1.0,0.0,798143358,217.46347,989.93616
MOVE,0,1.0,0.0,798143375,201.9518,827.7312
MOVE,0,1.0,0.0,798143391,153.78575,664.2604
UP,0,1.0,0.0,798143395,153.78575,664.2604
DOWN,0,1.0,0.0,798143760,212.5803,604.86285
MOVE,0,1.0,0.0,798143776,219.33844,641.9111
MOVE,0,1.0,0.0,798143793,225.35414,786.6538
