answerId,holdMs,phase,pressure,size,timestamp,x,y
mc_q1_choice_B,0,DOWN,1.0,0.0,798305499,304.721,22.27069
mc_q1_choice_B,69,UP,1.0,0.0,798305568,304.721,22.27069
mc_q2_choice_C,0,DOWN,1.0,0.0,798305776,204.97333,106.53662
mc_q2_choice_C,93,UP,1.0,0.0,798305869,204.97333,106.53662
mc_q2_choice_B,0,DOWN,1.0,0.0,798306321,237.32727,69.14453
mc_q2_choice_B,44,UP,1.0,0.0,798306365,237.32727,69.14453
mc_q3_choice_C,0,DOWN,1.0,0.0,798306970,149.47847,115.54724
mc_q3_choice_C,77,UP,1.0,0.0,798307047,149.47847,115.54724
mc_q3_choice_B,0,DOWN,1.0,0.0,798307229,157.83466,87.75476
mc_q3_choice_B,60,UP,1.0,0.0,798307289,157.83466,87.75476
mc_q3_choice_A,0,DOWN,1.0,0.0,798307540,26.589851,34.557007
mc_q3_choice_A,58,UP,1.0,0.0,798307598,26.589851,34.557007
mc_q4_choice_A,0,DOWN,1.0,0.0,798307795,375.55753,114.526855
mc_q4_choice_A,78,UP,1.0,0.0,798307873,375.55753,114.526855
mc_q4_choice_D,0,DOWN,1.0,0.0,798308640,208.22998,61.62268
mc_q5_choice_D,0,DOWN,1.0,0.0,798309156,256.22552,29.130127
mc_q5_choice_D,61,UP,1.0,0.0,798309217,256.22552,29.130127
mc_q5_choice_C,0,DOWN,1.0,0.0,798309340,145.27885,76.4281
mc_q5_choice_C,44,UP,1.0,0.0,798309384,145.27885,76.4281
mc_q7_choice_A,0,DOWN,1.0,0.0,798309938,128.28044,50.2312
mc_q7_choice_A,57,UP,1.0,0.0,798309995,128.28044,50.2312
mc_q6_choice_D,0,DOWN,1.0,0.0,798310321,221.02881,59.35132
mc_q6_choice_D,57,UP,1.0,0.0,798310378,221.02881,59.35132
mc_q7_choice_A,0,DOWN,1.0,0.0,798310627,128.48042,1.2332764
mc_q8_choice_B,0,DOWN,1.0,0.0,798311330,302.62122,128.17114
mc_q8_choice_B,81,UP,1.0,0.0,798311411,302.62122,128.17114
mc_q9_choice_C,0,DOWN,1.0,0.0,798311503,211.57272,131.44043
mc_q9_choice_C,104,UP,1.0,0.0,798311607,211.57272,131.44043
