timestamp_ns,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,activity
738121282967225,-3.1782668,6.222236,6.1217375,-0.10659285,0.068567604,-0.019852536,-29.306252,-7.0875,-22.59375,sitting
738121302967225,-3.2775688,6.2569323,6.5084777,-0.0904054,0.11163234,-0.018325418,-29.306252,-6.8625,-23.15625,sitting
738121322967225,-3.2991042,6.2066827,6.530013,-0.0775776,0.11957335,-0.01343864,-29.175001,-7.3875003,-23.34375,sitting
738121342967225,-3.3194432,6.215058,6.5659056,-0.080020994,0.07284354,-0.006413896,-29.062502,-7.275,-23.475,sitting
738121362967225,-3.3290145,6.207879,6.6999035,-0.080020994,0.0077883024,-3.0542363E-4,-29.00625,-7.2562504,-23.925001,sitting
738121382967225,-3.3840494,6.241379,6.710671,-0.05619795,-0.028862532,0.0036650836,-29.062502,-7.275,-23.7,sitting
738121402967225,-3.4869409,6.285646,6.771688,-0.025044737,-0.020921519,0.004275931,-28.875002,-7.1625004,-23.79375,sitting
738121422967225,-3.589832,6.3454666,6.8853474,0.0018325418,-0.004428643,0.009468133,-28.518751,-7.1250005,-23.8125,sitting
738121442967225,-3.519244,6.3370914,7.003792,0.003970507,0.024281178,0.007330167,-28.406252,-7.275,-24.206251,sitting
738121462967225,-3.4534414,6.241379,7.0818577,-0.01007898,0.044744562,0.0027488125,-28.331251,-7.33125,-24.300001,sitting
738121482967225,-3.3864422,6.1899333,7.085447,-0.015576605,0.06826218,-0.002443389,-28.181252,-7.18125,-24.281252,sitting
738121502967225,-3.3876386,6.1695943,6.9990063,-0.0021379655,0.06215371,3.0542363E-4,-28.050001,-7.2187505,-24.45,sitting
738121522967225,-3.3589249,6.2258253,6.893722,0.0036650836,0.014202199,0.01343864,-28.10625,-7.18125,-24.16875,sitting
738121542967225,-3.3194432,6.1935225,6.735796,-0.024739314,-0.028251685,0.014049487,-27.956251,-7.2562504,-24.31875,sitting
738121562967225,-3.3661032,6.2174506,6.650851,-0.052532863,-0.042606596,0.015271181,-28.218752,-7.2187505,-24.093752,sitting
738121582967225,-3.4103706,6.2365932,6.5611196,-0.051616594,-0.0047340663,0.02443389,-28.518751,-7.2562504,-24.075,sitting
738121602967225,-3.5072799,6.2641106,6.6891356,-0.029931515,0.06123744,0.038483378,-28.44375,-7.1062503,-23.925001,sitting
738121622967225,-3.4761732,6.2676997,6.7561345,-0.019547112,0.0762032,0.044897273,-28.66875,-6.9,-23.85,sitting
738121642967225,-3.4151561,6.2270217,6.7118673,-0.0219905,0.06734591,0.03603999,-28.781252,-6.9187503,-24.0,sitting
738121662967225,-3.4474592,6.2497535,6.7429743,-0.010689827,0.081395395,0.02687728,-28.9125,-6.9750004,-23.85,sitting
738121682967225,-3.5001013,6.2545395,6.698707,-0.025044737,0.06062659,0.042453885,-28.593752,-6.9750004,-23.962502,sitting
738121702967225,-3.551547,6.261718,6.7202425,-0.070552856,0.049325917,0.0387888,-28.5375,-7.0125003,-24.206251,sitting
738121722967225,-3.4737802,6.2174506,6.769295,-0.0904054,0.03863609,0.029320668,-28.312502,-7.0687504,-24.6375,sitting
738121742967225,-3.441477,6.1791654,6.7645097,-0.0684149,0.032222193,0.022906773,-28.406252,-7.0687504,-24.88125,sitting
738121762967225,-3.4749768,6.261718,6.708278,-0.04031592,0.01267508,0.016187452,-28.275002,-7.36875,-24.843752,sitting
738121782967225,-3.4857445,6.2054863,6.6161547,-0.035123717,-0.0062611843,0.0070247436,-28.1625,-7.33125,-25.031252,sitting
738121802967225,-3.4307094,6.1863437,6.5922265,-0.040926766,-0.0071774554,0.0076355906,-27.91875,-7.18125,-24.88125,sitting
738121822967225,-3.423531,6.148059,6.748956,-0.04214846,0.024281178,0.009162709,-27.862501,-7.14375,-25.050001,sitting
738121842967225,-3.4570305,6.133702,6.867401,-0.029931515,0.045049984,0.012827792,-28.10625,-7.275,-25.125002,sitting
738121862967225,-3.458227,6.1157556,6.9116683,-0.026571855,0.05054761,0.017714571,-28.06875,-7.1062503,-25.143751,sitting
738121882967225,-3.449852,6.1121664,6.8949184,-0.026571855,0.05482354,0.039094225,-28.087502,-7.05,-24.843752,sitting
738121902967225,-3.4247274,6.1935225,6.8135624,-0.034818295,0.05054761,0.060168456,-27.843752,-6.8625,-24.806252,sitting
738121922967225,-3.403192,6.22104,6.741778,-0.04459185,0.07375981,0.0659715,-27.975,-6.6000004,-24.937502,sitting
738121942967225,-3.429513,6.2605214,6.814759,-0.052532863,0.10246963,0.0503949,-27.675001,-6.8625,-25.181252,sitting
738121962967225,-3.5120654,6.2401824,6.762117,-0.06230642,0.11010522,0.049478628,-27.712502,-6.9750004,-25.25625,sitting
738121982967225,-3.6436708,6.265307,6.8135624,-0.08460235,0.09239065,0.10483666,-27.712502,-6.7312503,-25.143751,sitting
738122002967225,-3.6005998,6.343074,6.802795,-0.10109522,0.040163208,0.145458,-27.806252,-6.5437503,-25.050001,sitting
738122022967225,-3.5503507,6.1935225,6.751349,-0.11667182,0.030695075,0.1427092,-27.91875,-6.4875,-24.806252,sitting
738122042967225,-3.5132618,6.2007008,6.669993,-0.10964708,0.01175881,0.12071869,-28.181252,-6.5437503,-24.900002,sitting
738122062967225,-3.700201,6.2641106,6.6628146,-0.10353861,0.009009997,0.10850175,-28.368752,-6.6937504,-24.7875,sitting
738122082967225,-3.670291,6.3681984,6.7058854,-0.0891837,0.00503949,0.09720107,-28.29375,-6.4687505,-24.7875,sitting
738122102967225,-3.6161532,5.999704,6.6963143,-0.07452337,0.029778805,0.097811915,-28.29375,-6.2625003,-24.525002,sitting
738122122967225,-3.3864422,6.0020967,6.765706,-0.067193195,0.04352287,0.12102412,-28.425001,-6.0375004,-24.468752,sitting
738122142967225,-3.3445678,5.9267225,6.890133,-0.057725064,0.025502874,0.1026987,-28.48125,-5.9812503,-24.525002,sitting
738122162967225,-3.4211383,6.1013985,6.928418,-0.03787253,-0.035581853,0.048256934,-28.425001,-5.9812503,-24.675001,sitting
738122182967225,-3.3936207,6.061917,7.02443,-0.030542362,-0.052991,0.02443389,-28.575,-5.83125,-25.031252,sitting
738122202967225,-3.4474592,6.154041,7.0543404,-0.019547112,-0.036498122,0.04123219,-28.275002,-5.7375,-25.312502,sitting
738122222967225,-3.4953158,6.1899333,6.937989,-0.0036650836,0.03130592,0.054059982,-28.29375,-5.53125,-25.425001,sitting
738122242967225,-3.2847474,6.0343995,6.927222,0.016798299,0.062459134,0.040621344,-28.48125,-5.45625,-25.425001,sitting
738122262967225,-3.0702906,5.796015,7.266105,0.018630842,0.0413849,0.020768806,-28.725,-5.34375,-25.48125,sitting
738122282967225,-3.2368908,6.0810595,6.987042,0.0021379655,0.011453386,0.0021379655,-28.687502,-5.4375,-25.575,sitting
738122302967225,-3.3170505,6.0367923,6.896115,-0.015882028,0.0010689828,-0.009162709,-28.556252,-5.71875,-25.800001,sitting
738122322967225,-3.3266218,6.1289163,6.768099,-0.008551862,0.004428643,-0.005803049,-28.44375,-5.4,-25.85625,sitting
738122342967225,-3.2333016,6.087042,6.79442,0.007330167,0.033749312,-0.00335966,-28.275002,-5.0437503,-25.63125,sitting
738122362967225,-3.1555347,6.090631,6.879365,0.024739314,0.07314896,-0.0012216945,-28.3875,-4.7625003,-25.3875,sitting
738122382967225,-3.2285159,6.0810595,6.7872415,0.036956258,0.11102149,0.008246438,-28.44375,-4.7625003,-25.3875,sitting
738122402967225,-3.3649068,6.133702,6.843473,0.03634541,0.13117945,0.012522369,-28.500002,-4.5375004,-25.29375,sitting
738122422967225,-3.3960135,6.1731834,6.914061,0.029931515,0.11193776,0.004275931,-28.181252,-4.5375004,-25.3875,sitting
738122442967225,-3.342175,6.1360946,6.8578296,0.017409148,0.04871507,-0.005803049,-28.275002,-4.4812503,-25.500002,sitting
738122462967225,-3.382853,6.0714884,6.8949184,-0.0027488125,-0.011147963,-0.008246438,-28.1625,-4.2000003,-25.237501,sitting
738122482967225,-3.423531,6.102595,6.9451675,-0.019241689,-0.027335415,-0.008246438,-28.237501,-4.3500004,-24.900002,sitting
738122502967225,-3.417549,6.1061845,6.856633,-0.016492875,0.00167983,-0.005497625,-28.29375,-4.6875,-24.975,sitting
738122522967225,-3.4067812,6.133702,6.8709903,-0.004886778,0.028557109,-0.0070247436,-28.143751,-4.93125,-24.993752,sitting
738122542967225,-3.4630125,6.1492553,6.908079,-0.013744064,0.017867282,-0.01343864,-28.087502,-4.9875,-24.900002,sitting
738122562967225,-3.502494,6.2030935,6.873383,-0.02260135,-0.0019852535,-0.018019995,-27.88125,-5.3812504,-25.125002,sitting
738122582967225,-3.4713874,6.143273,6.778867,-0.022906773,-0.010231691,-0.014965758,-27.993752,-5.3250003,-24.91875,sitting
738122602967225,-3.4450665,6.113363,6.721439,-0.024128467,-0.0013744063,-0.010689827,-27.937502,-5.25,-24.806252,sitting
738122622967225,-3.423531,6.0834527,6.7848487,-0.01343864,0.016951011,-0.007330167,-27.88125,-5.4,-25.031252,sitting
