answerId,holdMs,phase,pressure,size,timestamp,x,y
mc_q1_choice_D,0,DOWN,1.0,0.033333335,475573872,300.75977,43.023438
mc_q1_choice_D,81,UP,1.0,0.021568628,475573953,300.75977,43.023438
mc_q2_choice_D,0,DOWN,1.0,0.023529414,475574399,275.44727,66.61719
mc_q2_choice_D,78,UP,1.0,0.015686275,475574477,275.44727,66.61719
mc_q2_choice_C,0,DOWN,1.0,0.03137255,475575102,349.73047,95.328125
mc_q2_choice_C,60,UP,1.0,0.0058823535,475575162,349.73047,95.328125
mc_q2_choice_D,0,DOWN,1.0,0.033333335,475576180,276.76562,65.44531
mc_q2_choice_D,83,UP,1.0,0.011764707,475576263,276.76562,65.44531
mc_q2_choice_C,0,DOWN,1.0,0.043137256,475577806,308.0703,25.242188
mc_q2_choice_C,76,UP,1.0,0.027450982,475577882,308.0703,25.242188
mc_q3_choice_D,0,DOWN,1.0,0.033333335,475578164,218.75781,55.867188
mc_q3_choice_D,64,UP,1.0,0.027450982,475578228,218.75781,55.867188
mc_q3_choice_D,0,DOWN,1.0,0.03529412,475578418,291.0039,4.890625
mc_q4_choice_C,0,DOWN,1.0,0.037254903,475582851,134.57422,65.890625
mc_q4_choice_C,83,UP,1.0,0.0058823535,475582934,134.57422,65.890625
mc_q5_choice_C,0,DOWN,1.0,0.033333335,475583710,118.490234,59.867188
mc_q5_choice_C,103,UP,1.0,0.011764707,475583813,118.490234,59.867188
mc_q6_choice_C,0,DOWN,1.0,0.03137255,475585523,88.16797,48.101562
mc_q6_choice_C,68,UP,1.0,0.013725491,475585591,88.16797,48.101562
mc_q7_choice_B,0,DOWN,1.0,0.027450982,475585729,84.28516,7.6953125
mc_q7_choice_C,0,DOWN,1.0,0.03529412,475586979,157.25,52.054688
mc_q7_choice_C,64,UP,1.0,0.027450982,475587043,157.25,52.054688
mc_q8_choice_A,0,DOWN,1.0,0.027450982,475587871,139.05664,74.4375
mc_q8_choice_A,77,UP,1.0,0.011764707,475587948,139.05664,74.4375
mc_q9_choice_D,0,DOWN,1.0,0.033333335,475588184,46.052734,118.609375
mc_q10_choice_D,0,DOWN,1.0,0.023529414,475589234,63.45508,24.0625
mc_q9_choice_A,0,DOWN,1.0,0.04705883,475589801,169.11523,74.99219
mc_q9_choice_A,57,UP,1.0,0.019607844,475589858,169.11523,74.99219
mc_q10_choice_D,0,DOWN,1.0,0.03137255,475591078,240.64258,59.257812
mc_q10_choice_D,97,UP,1.0,0.023529414,475591175,240.64258,59.257812
mc_q11_choice_A,0,DOWN,1.0,0.029411767,475591716,155.14062,45.84375
mc_q11_choice_A,110,UP,1.0,0.011764707,475591826,155.14062,45.84375
mc_q12_choice_C,0,DOWN,1.0,0.029411767,475593411,211.83008,27.65625
mc_q12_choice_C,64,UP,1.0,0.015686275,475593475,211.83008,27.65625
mc_q13_choice_D,0,DOWN,1.0,0.019607844,475593639,36.033203,100.40625
mc_q13_choice_A,0,DOWN,1.0,0.037254903,475594513,135.36523,94.53125
mc_q13_choice_A,56,UP,1.0,0.015686275,475594569,135.36523,94.53125
mc_q14_choice_A,0,DOWN,1.0,0.021568628,475595287,151.18555,14.0078125
mc_q14_choice_A,98,UP,1.0,0.021568628,475595385,151.18555,14.0078125
